	coreid	status	nwords_original	nwords_result	nwords_val	nwords_recovered	nwords_omitted	nwords_created	nwords_recovered_val	nwords_created_val	common_words	original_only	result_only	common_words_val	val_only
0	wfo-0001025652	success	156	108	70	87	69	21	68	2	.3,.5,0.5-1,1.5-2,10-20,15-17,2-3,2-6,20-50,4,4-7,acuminate,acute,anther,anthesi,apex,bark,base,bilobed,blade,calyx,closed,cm,completely,corolla,decurrent,densely,elliptic,emerge,envelope,filament,fleshy,fruit,furcate,glabrous,green,greyish,growth,lateral,leaf,lobe,main,margin,matte,middle,minutely,mm,nearly,new,occasionally,onto,opposite,ovary,ovoid,ovoid-reniform,pair,pale,paler,papillose,parallel,pedicel,petiole,pinkish-grey,plant,poricidal,red-papillose,shape,shiny,shrub,simple,size,small,stem,stigma,strongly,style,surface,tan,tear,tip,tree,tube,vein,white,widest,winged,x	1,1-1.5,15-19,2-5,3-3.5,3-5,3-5-flowered,4-6,9-11,abruptly,appearing,broad,campanulate,closely,connate,dia,differing,difoliate,dry,eaf,edicel,eed,flower,free,geminat,glabrate,greyi,growing,irregular,like,live,lobed,lon,long,lower,major,minor,minute,narrowing,nflorescence,older,one,overlappin,papillae,papillo,pitted,planar,pore,portion,rather,ry,scar,shaped,soon,spaced,specimen,straight,tall,tapering,tear-drop,thick,thicker,tightly,ud,unit,wider,wing,ympodial,young	arrangement,berry,bud,characteristic,colour,diameter,exertion,form,glabrousnes,height,history,inflorescence,length,life,lobing,peduncle,perennial,primary,seed,texture,type	.3,.5,0.5-1,1.5-2,10-20,15-17,2-3,2-6,20-50,4,4-7,acuminate,acute,anthesi,base,bilobed,blade,closed,cm,completely,decurrent,densely,elliptic,emerge,envelope,fleshy,furcate,glabrous,green,greyish,lateral,leaf,lobe,main,matte,middle,minutely,mm,nearly,occasionally,onto,opposite,ovoid,ovoid-reniform,pair,pale,paler,papillose,parallel,petiole,pinkish-grey,poricidal,red-papillose,shiny,shrub,simple,small,stem,strongly,tan,tear,tip,tree,vein,white,widest,winged,x	berry,perennial
1	wfo-0001025657	success	239	144	88	109	130	35	86	2	0.1-0.4,0.2-0.4,0.5-2.5,1-1.1,1-1.3,1-1.6,1-3,1.2-1.5,1.3-2,1.5-1.8,1.7-1.9,2-10,2.7-4.3,25-60,3-6,3.2-6,4-4.4,5-14,5-16,6-12,6-8,6.5-10,7-27,8.3-12,acute,also,anther,anthesi,apex,base,berry,bluish,blunt-tipped,branch,branched,brown,bud,calyx,cm,conical,cordate,corolla,dark,deltoid,dendritic-multangulate,diameter,dried,elliptic,entire,exserted,filament,fleshy,flower,fruit,glabrous,glandular,granular,green,hair,lateral,leaf,length,light,lobe,long-stalked,margin,midrib,mixed,mm,multangulate,narrowly,oblong,orbicular,ovate,pedicel,peduncle,persistently,petiole,pseudo-terminal,rachi,ray,reportedly,reticulate-punctate,ripe,short-,shrub,side,simple,soft,stellate,stem,stigma,style,suborbicular,surface,tan,terete,tomentose,tomentose-pubescent,tree,tube,unarmed,vein,velutinous-pubescent,weakly,white,x,yellow,yellowish	-2,/3,12x,2-3.5,2.2-5.5,2.5-9.3,2/3,3-4,3-4.8,4-4.5,4-7,7-9,7-9.5,8-10.5,abaxially,accrescent,adaxially,ag,apart,apparently,appearing,ark,around,articulated,ascending,axe,axillary,ba,blade,broadly,capitat,central,chartaceous,closely,cylindrical,dendritic-multangulat,dense,densely,directed,distally,due,eaf,earl,edge,eed,especially,evident,exerted,expanded,farinose,few-rayed,free,fruiting,glandula,half,inserted,lanate-pubescent,lanceolate,lengthening,lobed,long,longitudinal,lower,m.,magnification,main,minutely,nearly,nflorescence,obtuse,occasional,often,older,open,orolla,ovat,ovate-lanceolate,overlapping,pale,part,parted,partly,perfect,persistent,plurifoliate,pore,poricidal,porrect-stellate,present,pubescence,pubescent,ruit,scented,semi-ovate,sessile,short,short-stalked,slightly,slit,somewhat,spaced,splitting,stamen,stellate-pubescent,stipitate-glandular,stipitate-multangulate,strongly,subcampanulate,subcoriaceous,suture,tall,tamen,thick-stalked,thickened,thin-stalked,time,tip,tomentum,transparent,two-third,ud,unarme,unit,upper,usually,vary,way,wide,ympodial,young	abaxial,adaxial,appearance,arrangement,bark,border,capitate,characteristic,colour,corrugation,drying,exertion,form,giving,glabrousnes,growth,height,history,inflorescence,life,midpoint,na,new,ovary,plant,prickle,primary,seed,shape,size,texture,thicknes,type,variation,width	0.1-0.4,0.2-0.4,0.5-2.5,1-1.1,1-1.3,1-1.6,1-3,1.2-1.5,1.3-2,1.5-1.8,1.7-1.9,2-10,2.7-4.3,25-60,3-6,3.2-6,4-4.4,5-14,5-16,6-12,6-8,6.5-10,7-27,8.3-12,acute,also,anthesi,berry,bluish,blunt-tipped,branched,brown,calyx,cm,conical,cordate,dark,deltoid,dendritic-multangulate,diameter,dried,elliptic,entire,exserted,fleshy,flower,fruit,glabrous,glandular,granular,green,hair,light,long-stalked,midrib,mixed,mm,multangulate,narrowly,oblong,orbicular,ovate,persistently,pseudo-terminal,reportedly,reticulate-punctate,ripe,short-,shrub,side,simple,soft,stellate,suborbicular,tan,terete,tomentose,tomentose-pubescent,tree,unarmed,velutinous-pubescent,weakly,white,x,yellow,yellowish	capitate,na
2	wfo-0001025669	success	214	158	98	115	99	43	95	3	.5,0-7,0.1-0.3,0.8-2.4,1,1-2,1-2.2,1-4,1.3-4.2,1.4-2.5,1.6-4.4,13-35,2-3,2-4,2.2-6,2.2-6.5,2.4-7,3-7,9-24.5,abaxially,absent,adaxially,anther,apex,base,berry,blue,brownish,cell,chartaceous,clavate,cm,condition,corolla,covering,cuneate,diameter,distal,distinct,drying,extra,filament,flower,forming,fresh,fruit,glabrous,globose,green,green-white,greenish,hair,hair-like,herb,interjected,lanceolate,lateral,leaflet,like,lobe,long,make,margin,membranous,minute,mm,moderately,monochasium,mottled,mucilaginous,multicellular,oblique,obtuse,odd-pinnate,orbicular,ovate,ovoid,pedicel,peduncle,petiole,petiolulate,plant,pubescent,purple,rarely,ripe,rosette,rotate,scale-like,seed,sessile,short,size,slightly,sometimes,species,stem,stigma,streaked,style,subglabrous,terminal,testal,thick,throughout,tinged,tube,typically,unwinged,wall,wet,white,whitish,wide,x	0-1,0-5,1-10,1-3,2,3-5,4-6,5-merou,absen,acumen,acuminate,acute,ag,along,alyx,apart,apparently,articulation,axe,blade,broadly,capitat,ciliate,clearly,connivent,contracted,decurrent,digestion,discussion,dorsally,eaf,edge,eed,elliptic,end,enzyme,erec,especially,exceeding,except,flat,flowered,folded,geminat,glabrou,greatly,half,highly,homostylous,honeycomb-shaped,larger,lengthening,living,lower,midrib,minutely,near,nflorescence,obovate,often,one,orolla,pair,perfect,petiolule,placed,plurifoliate,pore,poricidal,proximal,puberulent,reduced,removed,rounded,ruit,see,seudostipule,single,slit,spaced,specimen,stamen,ste,stolo,straight,subequal,tall,tamen,tem,tip,tri-,truncate,tuber,unbranched,unequal,unit,vary,yellow,ympodial	appearance,arrangement,bark,border,branch,bud,calyx,capitate,characteristic,colour,corrugation,erect,exertion,form,fruiting,giving,glabrousnes,growth,height,history,inflorescence,leaf,length,life,lobing,midpoint,na,new,number,ovary,per,prickle,primary,pseudostipule,ray,shape,surface,texture,thicknes,type,variation,vein,width	.5,0-7,0.1-0.3,0.8-2.4,1,1-2,1-2.2,1-4,1.3-4.2,1.4-2.5,1.6-4.4,13-35,2-3,2-4,2.2-6,2.2-6.5,2.4-7,3-7,9-24.5,abaxially,absent,adaxially,base,berry,blue,brownish,cell,chartaceous,clavate,cm,condition,covering,cuneate,distinct,drying,extra,flower,forming,fresh,glabrous,globose,green,green-white,greenish,hair,hair-like,herb,lanceolate,lateral,like,long,make,membranous,minute,mm,moderately,monochasium,mottled,mucilaginous,multicellular,oblique,obtuse,odd-pinnate,orbicular,ovate,ovoid,petiolulate,pubescent,purple,rarely,ripe,rosette,rotate,scale-like,seed,sessile,short,slightly,sometimes,species,stem,streaked,subglabrous,testal,thick,throughout,tinged,typically,unwinged,wall,wet,white,whitish,wide,x	capitate,erect,na
3	wfo-0001025697	success	181	141	81	97	84	44	77	4	-9,0-14,0.15-0.75,0.6-3.5,1-1.7,1-2,1-3,1.5-1.8,1.7-8.6,2-10.5,2-2.6,2-6,25-35,3-10,3-4,3-6,3.3-11,4-7.5,6.5-13.5,abaxially,acuminate,acute,adaxially,anther,apex,attenuate,axillary,base,berry,blue,brownish,bud,clavate,cm,condition,connivent,coriaceous,corolla,dark,deep,diameter,distal,drying,elliptic,filament,forked,fresh,fruit,generally,glabrescent,glabrous,globose,green,green-white,greenish,hair,half,herb,interjected,lanceolate,lateral,leaf,leaflet,light,lilac,lobe,long,medium,mm,mucilaginous,odd-pinnate,ovate,ovoid,pedicel,peduncle,petiole,plant,purple,ripe,rounded,seed,sessile,short,size,stigma,stripe,style,subtending,terminal,throughout,tube,typically,unwinged,usually,wet,whitish,x	0.8-2,10-26,2-4,3-5,5-merou,5.5-11.5,acumen,adaxiall,ag,alyx,apart,apparently,articulated,asymmetric,axe,basiscopic,blade,capitat,cell,covering,decreasing,decurrent,digestion,dorsally,eaf,edge,eed,enzyme,erec,exceeding,flat,flower,folded,geminat,glabrou,hair-like,hal,high,homostylous,honeycomb-shaped,lengthening,linear,living,lower,make,nflorescence,orbicular,orolla,pair,pentagonal,perfect,petiolulate,plurifoliate,pore,poricidal,rachi,removed,rotate,ruit,seudostipule,side,slightly,slit,spaced,specimen,stamen,straight,subequal,subglabrou,tall,tamen,tem,testal,thick,tip,tissue,toward,tri-,unit,vary,wall,wood,yellow,ympodial	appearance,arrangement,bark,border,branch,calyx,capitate,characteristic,colour,corrugation,erect,exertion,form,fruiting,giving,glabrousnes,growth,height,history,inflorescence,length,life,lobing,margin,midpoint,na,new,number,ovary,per,prickle,primary,pseudostipule,ray,shape,stem,surface,texture,thicknes,type,variation,vein,width,woody	-9,0-14,0.15-0.75,0.6-3.5,1-1.7,1-2,1-3,1.5-1.8,1.7-8.6,2-10.5,2-2.6,2-6,25-35,3-10,3-4,3-6,3.3-11,4-7.5,6.5-13.5,abaxially,acuminate,acute,adaxially,attenuate,axillary,berry,blue,brownish,bud,clavate,cm,condition,connivent,coriaceous,dark,deep,distal,drying,elliptic,forked,fresh,generally,glabrescent,glabrous,globose,green,green-white,greenish,hair,half,herb,lanceolate,light,lilac,long,medium,mm,mucilaginous,odd-pinnate,ovate,ovoid,plant,purple,ripe,rounded,sessile,short,stripe,subtending,terminal,throughout,typically,unwinged,usually,wet,whitish,x	capitate,erect,na,woody
4	wfo-0001025699	success	181	148	89	108	73	40	86	3	.2,.5,0.5,1,1-1.5,1-2.5,1-3,1.5-2,1/3,10,15-20,2,2-2.5,2-6,2cm,3-15,3-5.5,4-5,5-8,5-winged,5.5-14,8-9,absent,acute,adaxially,almost,anther,apex,attenuate,bark,base,becoming,berry,branching,brown,c.,calyx,capitate,cm,completely,conical,corolla,dark,darker,diameter,drying,ellipsoid,elliptic,entire,erect,exerted,filament,flower,fruiting,glabrous,globose,green,grey-brown,growth,immature,inflorescence,leaf,leaf-opposed,leafy,less,lobe,margin,markedly,midrib,minutely,mm,new,older,ovary,pair,pale,pedicel,peduncle,per,petiole,poricidal,primary,red,reddish,reniform,reticulate-pitted,rounded,rounded-sagittate,shoot,short,simple,slightly,somewhat,stem,stigma,style,surface,time,tip,tree,tube,vein,way,white,x,yellow,young,½	1-2,1.5,3-3.5,3-8,499,abaxially,age,anthesi,apart,apparently,appearing,articulating,campanulate,conspicuously,continuing,corrugate,crystal,cup-shaped,deltate,densely,difoliate,dorsal,dry,eaf,eed,face,fide,free,glabrou,included,inclusion,inflorescenc,irregularly,lanceolate,leaving,lengthening,lobed,lower,narrowly,nflorescence,nodding,one,onto,oxalate,papillat,papillose,peg,penden,perfect,plurifoliate,pore,portion,ruit,sand,scar,slit,small,spaced,stearn,straight,strongly,tangled,thickened,triangular,trichome,ud,unit,white-spotted,wide,wing,winged,woody,ympodial	appearance,arrangement,border,branch,bud,characteristic,colour,corrugated,corrugation,distal,exertion,form,fruit,giving,glabrousnes,height,history,interjected,lateral,leaflet,length,life,lobing,midpoint,na,number,papillate,plant,prickle,pseudostipule,ray,seed,shape,size,terminal,texture,thicknes,type,variation,width	.2,.5,0.5,1,1-1.5,1-2.5,1-3,1.5-2,1/3,10,15-20,2,2-2.5,2-6,2cm,3-15,3-5.5,4-5,5-8,5-winged,5.5-14,8-9,absent,acute,adaxially,almost,attenuate,base,becoming,berry,branching,brown,c.,calyx,capitate,cm,completely,conical,dark,darker,ellipsoid,elliptic,entire,erect,exerted,flower,glabrous,globose,green,grey-brown,immature,leaf,leaf-opposed,leafy,less,lobe,markedly,midrib,minutely,mm,older,pair,pale,poricidal,red,reddish,reniform,reticulate-pitted,rounded,rounded-sagittate,shoot,short,simple,slightly,somewhat,surface,time,tip,tree,tube,way,white,x,yellow,young,½	corrugated,na,papillate
5	wfo-0001025700	success	189	158	101	116	73	42	99	2	0-16,0.30-2.0,0.5-2,0.7-2.7,0.8-2.6,1.1-2.3,1.5-2,10-40,10.5-12,15-40,2-12,2.5-4,3.5-10.5,3.7-8.6,5-15,5.5-18,5.5-8,9-31,abaxially,acuminate,acute,adaxially,anther,apex,apiculate,apparently,articulated,asymmetric,attenuate,axillary,base,basiscopic,berry,brownish,bud,cell,chartaceous,clavate,cm,condition,connivent,corolla,covering,diameter,distal,dot,drying,filament,flower,forked,fresh,fruit,generally,glabrescent,glabrous,globose,green,green-white,greenish,hair,hair-like,half,herb,high,interjected,lanceolate,lateral,leaf,leaflet,light,lilac,lobe,long,make,medium,mm,mucilaginous,narrowly,odd-pinnate,ovate,ovoid,pedicel,peduncle,perfect,petiole,petiolulate,plant,poricidal,purple,ripe,rounded,seed,short,side,size,sometimes,stigma,style,subtending,terminal,testal,thick,throughout,tip,tissue,tube,typically,unwinged,usually,wall,wet,white,whitish,winged,x,yellow	0.8-4,1-2,1-3,2-7,3-4,3-8,4-5,5-20,5-merou,5.3-17.5,acuman,acumen,ag,alyx,axe,basal,blade,capitat,considerably,decrease,decreasing,digestion,dorsally,eaf,edge,eed,elliptic,enzyme,erec,exceeding,except,flat,folded,geminat,glabrou,hal,homostylous,honeycomb-shaped,larger,lengthening,linear,living,lower,nflorescence,orbicular,orolla,pair,par,pentagonal,plurifoliate,pore,proximal,removed,rotate-pentagonal,ruit,sessile,seudostipule,slightly,slit,specimen,stamen,straight,subequal,subglabrou,tall,tamen,tem,toward,tri-,unit,vary,whose,ympodial	appearance,arrangement,bark,border,branch,calyx,capitate,characteristic,colour,corrugation,exertion,form,fruiting,giving,glabrousnes,growth,height,history,inflorescence,length,life,lobing,margin,midpoint,na,new,number,ovary,per,prickle,primary,pseudostipule,ray,shape,stem,surface,texture,thicknes,type,variation,vein,width	0-16,0.30-2.0,0.5-2,0.7-2.7,0.8-2.6,1.1-2.3,1.5-2,10-40,10.5-12,15-40,2-12,2.5-4,3.5-10.5,3.7-8.6,5-15,5.5-18,5.5-8,9-31,abaxially,acuminate,acute,adaxially,apiculate,apparently,articulated,asymmetric,attenuate,axillary,basiscopic,berry,brownish,bud,cell,chartaceous,clavate,cm,condition,connivent,covering,diameter,distal,dot,drying,flower,forked,fresh,generally,glabrescent,glabrous,globose,green,green-white,greenish,hair,hair-like,half,herb,high,lanceolate,lateral,light,lilac,long,make,medium,mm,mucilaginous,narrowly,odd-pinnate,ovate,ovoid,perfect,petiolulate,plant,poricidal,purple,ripe,rounded,seed,short,side,sometimes,subtending,terminal,testal,thick,throughout,tip,tissue,typically,unwinged,usually,wall,wet,white,whitish,winged,x,yellow	capitate,na
6	wfo-0001025704	success	247	152	107	126	121	26	104	3	0-100,0-2,0-3.5,0.3-0.8,0.5-1.5,0.7-1,1-3.5,1-6,1.2-3,1.5-3.2,1.5-4.5,1.8-3.5,1/2-4/5,2-10,2-3,2-4.5,2.5-4.5,2.7-4,3-15,3-5,3-6,4-5,6-12,8-15,acute,almost,anther,apex,apparently,articulated,auriculate,bark,base,berry,branched,calyx,cell,chartaceous,cm,connivent,cordate,densely,diameter,discolorous,drying,ellipsoid,elliptic,erect,evenly,filament,flattened-reniform,flower,fruit,fruiting,gray,green,green-yellow,irregular,lateral,leaf,length,lobe,lobed,lobing,long,long-styled,margin,maturity,mauve,mm,near,often,orange-brown,outline,ovate,pair,pale,pedicel,peduncle,per,petiole,pit,plant,poricidal,prickle,prickly,primary,raised,rarely,red-brown,red-green,round,rounded,shape,short-styled,shrub,side,small,smooth,sometimes,somewhat,sparsely,spherical,stellate,stellate-pubescent,stem,strongly,style,surface,tapering,terminal,tip,tree,truncate,tube,unarmed,unbranched,vein,way,white,wide,yellow,yellow-green,yellowish,young,×	/6,0-10,0-5,0.1,0.1-0.3,0.1-0.5,0.15-0.8,1,1-2,1-3,1-4,1-5,1.5-2,1/4-3/4,1/5,2,2-5,2-7,3-10,4-12,4.5-6.5,5-20,5-merous,6-15,8-12,8-17,abaxial,abaxially,adaxial,age,alyx,andromonoecious,apar,apart,apically,apiculate,axe,ba,blade,broad-deltate,brow,covering,curved,deltate,development,distal,distance,eaf,eed,elongating,end,equal,extending,flattened,free,glabrescent,glabrous,half,hermaphrodite,heterostylous,infructescence,less,longer,lower,lowermost,mature,midpoint,midvein,moderately,multangulate,nflorescence,obtuse,occasionally,older,one,open,orange,orolla,oung,pendulous,pericarp,plurifoliat,porrect,portion,prickl,prominent,ray,recurved,reflexed,retaining,ruit,scar,secondary,sessile,shorter,slender,spaced,spreading,stalk,stalked,staminat,stellate-pubescen,stout,straight,tamen,terete,tertiary,throughout,time,trichome,unit,upper,variously,vary,venation,visible,warty,white-gray,widening,woody,ympodial	arrangement,branch,brown,bud,characteristic,colour,corolla,corrugation,exertion,form,glabrousnes,growth,height,history,inflorescence,life,na,new,number,ovary,perennial,seed,size,stigma,texture,type	0-100,0-2,0-3.5,0.3-0.8,0.5-1.5,0.7-1,1-3.5,1-6,1.2-3,1.5-3.2,1.5-4.5,1.8-3.5,1/2-4/5,2-10,2-3,2-4.5,2.5-4.5,2.7-4,3-15,3-5,3-6,4-5,6-12,8-15,acute,almost,apparently,articulated,auriculate,base,berry,branched,cell,chartaceous,cm,connivent,cordate,densely,diameter,discolorous,drying,ellipsoid,elliptic,erect,evenly,flattened-reniform,flower,gray,green,green-yellow,irregular,lateral,lobe,lobed,long,long-styled,maturity,mauve,mm,near,often,orange-brown,outline,ovate,pair,pale,per,pit,poricidal,prickle,prickly,raised,rarely,red-brown,red-green,round,rounded,short-styled,shrub,side,small,smooth,sometimes,somewhat,sparsely,spherical,stellate,stellate-pubescent,strongly,tapering,terminal,tip,tree,truncate,unarmed,unbranched,way,white,wide,yellow,yellow-green,yellowish,young,×	brown,na,perennial
7	wfo-0001025729	success	177	164	111	120	57	44	106	5	.5,/4,0.25-0.5,0.7-1.2,1-1.5,1-5,1.1-1.5,1.2-1.8,1.75,2,20,4-5,4-8,5-50-flowered,7-8,9-17,abaxial,abaxially,abrupt,acute,adaxially,anther,apex,apiculate,appearing,axil,bark,basal,base,berry,black,blackish,bright,bristly,bud,calyx,cm,corolla,covering,dark,densely,dia,difoliate,dirty,drying,elliptic,enclosed,f,filament,flattened-reniform,fleshy,fruiting,furcate,glabrous,globose,green,greenish-yellow,greyish-brown,growing,lamina,lateral,leaf,like,live,lobe,lobed,long,main,margin,minutely,mm,oblique,occasionally,often,opposite,ovary,overtopping,pair,pale,papillose,pedicel,petiole,pit,pitted,plant,pore,poricidal,pubescent,quite,ripening,rounded,shaped,shiny,short,simple,size,sparsely,stem,stigma,stout,style,surface,tapering,tear-drop,terminal,tip,tree,treelet,trichome,tube,tuft,uniseriate,unit,usually,vein,way,white,widening,x,yellow	-20,1.5-2,2-3.5,3-6,6-8,along,anthesi,apar,apical,branched,covered,cyathiform,deflexed,deltoid,denser,diam,differing,eaf,edicel,eed,expanded,free,geminat,gently,glabrou,incrassate,lat,lon,lower,m.,mainly,major,member,middle,minor,minute,nflorescence,older,one,overlapping,papillo,partially,portion,prominent,raised,reflexed,ruit,scar,straight,tall,touching,tub,ud,widest,woody,ympodial,young	4-20,appearance,arrangement,border,branch,characteristic,colour,corrugation,diameter,distal,exertion,form,fruit,geminate,giving,glabrousnes,growth,height,history,inflorescence,interjected,late,leaflet,length,life,lobing,midpoint,na,new,number,peduncle,per,prickle,primary,pseudostipule,ray,seed,shape,sympodial,texture,thicknes,type,variation,width	.5,/4,0.25-0.5,0.7-1.2,1-1.5,1-5,1.1-1.5,1.2-1.8,1.75,2,20,4-5,4-8,5-50-flowered,7-8,9-17,abaxial,abaxially,abrupt,acute,adaxially,apiculate,appearing,axil,basal,base,berry,black,blackish,bright,bristly,bud,calyx,cm,corolla,covering,dark,densely,dia,difoliate,dirty,drying,elliptic,enclosed,f,flattened-reniform,fleshy,furcate,glabrous,globose,green,greenish-yellow,greyish-brown,growing,lamina,lateral,leaf,like,live,lobed,long,main,minutely,mm,oblique,occasionally,often,opposite,overtopping,pair,pale,papillose,pit,pitted,plant,pore,poricidal,pubescent,quite,ripening,rounded,shaped,shiny,short,simple,sparsely,stem,stout,tapering,tear-drop,terminal,tip,tree,treelet,trichome,tube,tuft,uniseriate,unit,usually,vein,way,white,widening,x,yellow	4-20,geminate,late,na,sympodial
8	wfo-0001025749	success	215	115	78	95	120	20	77	1	/5,0.2-1.5,0.3-1.5,0.5-0.8,0.5-0.9,0.5-3,0.6-4.5,0.8-0.9,1-10,1-2,1-3,1-8.5,1-9,5-10-12,abaxially,acute,adaxially,anther,apex,apparently,bark,base,berry,branched,calyx,chartaceous,cm,cuneate,curved,dark,densely,diameter,dull,filament,flattened,flattened-reniform,fruit,gently,glabrescent,glabrous,gray,green-brown,lateral,leaf,length,light,lobed,long,long-ovate,margin,maturity,mauve,mm,moderately,narrow-deltate,orange-brown,orange-red,orbicular,ovate,pair,pale,pedicel,peduncle,petiole,poricidal,prickle,prickly,primary,rarely,red-brown,rounded,shrub,sparsely,spherical,spreading,stellate,stellate-pubescent,stem,straight,straw-yellow,style,surface,tapering,terete,tip,usually,vein,visible,way,white,wide,yellow,yellow-green,yellow-orange,yellowish	.5,0-10,0-3,0-5,0-6,0-8,0.1,0.1-0.2,0.1-0.3,0.1-0.4,0.2,0.4-0.7,0.5-1,0.5-1.3,1,1-13,1-6,1.5,1.5-2,1.5-2.5,1/4-1/3,1/5-1/2,2-10,2-2.5,2.5-6,2/3,3-20,3-5,4-8,5-20,5-6-8,5-merous,6-8,abaxial,acuminat,adaxial,adnate,almost,alyx,apar,apart,apically,articulated,blade,broad-deltate,concolorous,difoliate,discolorous,distance,drying,eaf,eed,elongating,equal,erect,extending,filiform,flower,free,fruiting,geminat,herbaceous,indistinct,infructescence,lobe,lon,longer,lower,magnification,markedly,mature,midpoint,midvein,narrow-ovate,nflorescence,oblong,obtuse,occasionally,older,one,open,orange-brow,orolla,oung,pendulous,per,perfec,pericarp,porrect,portion,prickl,procumbent,purple,ray,recurved,reduced,ruit,scar,sessile,shorter,side,smooth,sometimes,spaced,stalk,stalked,strongly,tamen,tertiary,time,toward,trichome,tube,unit,variously,vary,venation,without,ympodial,½-2/	arrangement,characteristic,colour,corolla,form,growth,height,history,inflorescence,life,lobing,ovary,perennial,plant,seed,shape,size,texture,type,width	/5,0.2-1.5,0.3-1.5,0.5-0.8,0.5-0.9,0.5-3,0.6-4.5,0.8-0.9,1-10,1-2,1-3,1-8.5,1-9,5-10-12,abaxially,acute,adaxially,apparently,base,berry,branched,chartaceous,cm,cuneate,curved,dark,densely,diameter,dull,flattened,flattened-reniform,gently,glabrescent,glabrous,gray,green-brown,lateral,light,lobed,long,long-ovate,maturity,mauve,mm,moderately,narrow-deltate,orange-brown,orange-red,orbicular,ovate,pair,pale,poricidal,prickly,rarely,red-brown,rounded,shrub,sparsely,spherical,spreading,stellate,stellate-pubescent,straight,straw-yellow,tapering,terete,tip,usually,visible,way,white,wide,yellow,yellow-green,yellow-orange,yellowish	perennial
9	wfo-0001025754	success	164	139	82	93	71	46	79	3	.5,0.5-1,0.5-1.5,1,1-2,1-3,1-3.5,1.5,1.5-3,1.5-4,10-20,10-35,2-foliate,4-6,5-12,5-15,absent,acuminate,acute,anther,apex,asymmetrical,base,berry,branch,brown,calyx,center,chartaceous,ciliate,cm,cordate,cordiform,decumbent,decurrent,densely,diameter,dm,drying,edge,entire,filament,fine,flower,fruit,glabrous,globose,hair,herb,immature,leaf,leaving,linear-lanceolate,lobe,margin,maturing,membranaceous,mm,moderately,much-branched,nearly,oblong,often,palmately,parallel,pedicel,peduncle,per,petiole,pubescent,radiating,raised,ridge,rotate,running,semitransparent,shallow,short,slightly,sparsely,stem,stigma,style,surface,triangular,truncate,tube,unbranched,upright,vein,white,x,yellow	-celled,0.1-0.2,2-4,2-5-celled,2-7,3-10,3-5,3-6,4,abaxially,abundant,adaxiall,adaxially,along,axe,barely,beyond,blade,connected,dehiscing,denser,dried,eaf,eed,eglandular,emarginat,equal,erect,explosively,exserted,flat,geminat,glandular,held,interpetalar,like,long,lower,lying,main,material,maturit,mesocarp,mixed,nfloresence,notch,orolla,penden,placenta,pressure,probably,pubescen,rachi,ruit,small,solitary,sometimes,stamen,straight,swollen,tal,tamen,tem,tissue,unit,vary,visible,watery,wid,woody,ympodial	appearance,arrangement,bark,border,bud,characteristic,colour,corolla,corrugation,distal,exertion,form,fruiting,giving,glabrousnes,growth,height,history,inflorescence,interjected,lateral,leaflet,length,life,lobing,midpoint,na,new,number,ovary,pendent,plant,prickle,primary,pseudostipule,ray,seed,shape,size,terminal,texture,thicknes,type,variation,wide,width	.5,0.5-1,0.5-1.5,1,1-2,1-3,1-3.5,1.5,1.5-3,1.5-4,10-20,10-35,2-foliate,4-6,5-12,5-15,absent,acuminate,acute,apex,asymmetrical,base,berry,brown,center,chartaceous,ciliate,cm,cordate,cordiform,decumbent,decurrent,densely,diameter,dm,drying,edge,entire,fine,flower,fruit,glabrous,globose,hair,herb,immature,leaf,leaving,linear-lanceolate,margin,maturing,membranaceous,mm,moderately,much-branched,nearly,oblong,often,palmately,parallel,petiole,pubescent,radiating,raised,ridge,rotate,running,semitransparent,shallow,short,slightly,sparsely,triangular,truncate,unbranched,upright,white,x,yellow	na,pendent,wide
