	coreid	status	nwords_original	nwords_result	nwords_val	nwords_recovered	nwords_omitted	nwords_created	nwords_recovered_val	nwords_created_val	common_words	original_only	result_only	common_words_val	val_only
0	wfo-0001025652	success	156	126	85	100	56	26	83	2	.3,.5,0.5-1,1,1.5-2,10-20,15-19,2-6,20-50,3-5,4,4-7,9-11,abruptly,acuminate,acute,anther,anthesi,apex,bark,base,bilobed,blade,calyx,closed,cm,completely,connate,corolla,decurrent,densely,dia,elliptic,envelope,filament,fleshy,flower,fruit,furcate,glabrate,glabrous,green,greyish,growing,growth,irregular,leaf,like,lobe,lobed,matte,minor,minute,minutely,mm,narrowing,nearly,new,occasionally,onto,opposite,ovary,ovoid,ovoid-reniform,paler,papillae,papillose,pedicel,petiole,pinkish-grey,pitted,planar,plant,pore,poricidal,red-papillose,ry,shape,shaped,shiny,shrub,simple,size,small,specimen,stem,stigma,strongly,style,surface,tapering,tear-drop,tightly,tip,tree,tube,white,winged,x,young	1-1.5,15-17,2-3,2-5,3-3.5,3-5-flowered,4-6,appearing,broad,campanulate,closely,differing,difoliate,dry,eaf,edicel,eed,emerge,free,geminat,greyi,lateral,live,lon,long,lower,main,major,margin,middle,nflorescence,older,one,overlappin,pair,pale,papillo,parallel,portion,rather,scar,soon,spaced,straight,tall,tan,tear,thick,thicker,ud,unit,vein,wider,widest,wing,ympodial	abaxial,adaxial,alternate,arrangement,bud,colour,connation,diameter,discoid,feature,form,fruiting,height,history,inflorescence,length,life,na,number,papilla,reproduction,seed,texture,type,width,winging	.3,.5,0.5-1,1,1.5-2,10-20,15-19,2-6,20-50,3-5,4,4-7,9-11,abruptly,acuminate,acute,anthesi,base,bilobed,blade,calyx,closed,cm,completely,connate,decurrent,densely,dia,elliptic,envelope,fleshy,flower,fruit,furcate,glabrate,glabrous,green,greyish,growing,irregular,leaf,like,lobed,matte,minute,minutely,mm,narrowing,nearly,occasionally,onto,opposite,ovoid,ovoid-reniform,paler,papillae,papillose,petiole,pinkish-grey,pitted,planar,poricidal,red-papillose,ry,shape,shaped,shiny,shrub,simple,small,specimen,stem,strongly,tapering,tear-drop,tightly,tip,tree,tube,white,winged,x,young	alternate,na
1	wfo-0001025657	success	239	131	84	100	139	31	80	4	1-1.3,1-3,1.2-1.5,1.3-2,1.7-1.9,2-10,25-60,3-4.8,3-6,4-4.4,4-4.5,5-14,5-16,6-12,7-27,acute,also,anther,apex,appearing,articulated,base,berry,bluish,blunt-tipped,branched,brown,bud,calyx,chartaceous,cm,cordate,corolla,dark,deltoid,dendritic-multangulate,dense,diameter,dried,due,elliptic,expanded,filament,fleshy,flower,free,fruit,fruiting,glandular,granular,green,hair,lanate-pubescent,leaf,length,light,lobe,long-stalked,mixed,mm,multangulate,narrowly,oblong,ovate,ovate-lanceolate,pale,pedicel,persistently,petiole,pore,poricidal,pseudo-terminal,pubescence,reportedly,reticulate-punctate,ripe,short-,shrub,simple,slightly,soft,stellate,stem,stigma,style,subcampanulate,suborbicular,surface,thickened,tip,tomentose,tomentose-pubescent,tree,tube,velutinous-pubescent,white,x,yellow,yellowish,young	-2,/3,0.1-0.4,0.2-0.4,0.5-2.5,1-1.1,1-1.6,1.5-1.8,12x,2-3.5,2.2-5.5,2.5-9.3,2.7-4.3,2/3,3-4,3.2-6,4-7,6-8,6.5-10,7-9,7-9.5,8-10.5,8.3-12,abaxially,accrescent,adaxially,ag,anthesi,apart,apparently,ark,around,ascending,axe,axillary,ba,blade,branch,broadly,capitat,central,closely,conical,cylindrical,dendritic-multangulat,densely,directed,distally,eaf,earl,edge,eed,entire,especially,evident,exerted,exserted,farinose,few-rayed,glabrous,glandula,half,inserted,lanceolate,lateral,lengthening,lobed,long,longitudinal,lower,m.,magnification,main,margin,midrib,minutely,nearly,nflorescence,obtuse,occasional,often,older,open,orbicular,orolla,ovat,overlapping,part,parted,partly,peduncle,perfect,persistent,plurifoliate,porrect-stellate,present,pubescent,rachi,ray,ruit,scented,semi-ovate,sessile,short,short-stalked,side,slit,somewhat,spaced,splitting,stamen,stellate-pubescent,stipitate-glandular,stipitate-multangulate,strongly,subcoriaceous,suture,tall,tamen,tan,terete,thick-stalked,thin-stalked,time,tomentum,transparent,two-third,ud,unarme,unarmed,unit,upper,usually,vary,vein,way,weakly,wide,ympodial	abaxial,adaxial,arrangement,capitate,colour,connation,discoid,feature,form,growth,height,history,inflorescence,life,minor,na,new,number,ovary,papilla,perennial,plant,reproduction,seed,shape,size,texture,type,unknown,width,winging	1-1.3,1-3,1.2-1.5,1.3-2,1.7-1.9,2-10,25-60,3-4.8,3-6,4-4.4,4-4.5,5-14,5-16,6-12,7-27,acute,also,appearing,articulated,base,berry,bluish,blunt-tipped,branched,brown,chartaceous,cm,cordate,dark,deltoid,dendritic-multangulate,dense,dried,due,elliptic,expanded,fleshy,flower,free,fruit,glandular,granular,green,hair,lanate-pubescent,light,long-stalked,mixed,mm,multangulate,narrowly,oblong,ovate,ovate-lanceolate,pale,persistently,poricidal,pseudo-terminal,pubescence,reportedly,reticulate-punctate,ripe,short-,shrub,simple,slightly,soft,stellate,subcampanulate,suborbicular,thickened,tip,tomentose,tomentose-pubescent,tree,velutinous-pubescent,white,x,yellow,yellowish	capitate,na,perennial,unknown
2	wfo-0001025669	success	214	124	75	89	125	35	71	4	.5,0-5,0-7,0.1-0.3,1-2,1-2.2,1-4,13-35,2,2-4,2.2-6,2.2-6.5,3-5,3-7,9-24.5,acuminate,acute,anther,apex,base,berry,blue,cell,chartaceous,clavate,cm,connivent,corolla,covering,cuneate,diameter,filament,flower,fruit,glabrous,globose,green,hair,hair-like,herb,lanceolate,lateral,lengthening,like,lobe,long,membranous,mm,moderately,monochasium,multicellular,oblique,obtuse,odd-pinnate,orbicular,ovate,ovoid,pedicel,petiole,petiolulate,petiolule,plant,pore,poricidal,pubescent,purple,rarely,ripe,rotate,rounded,seed,short,size,slightly,slit,stem,stigma,streaked,style,subglabrous,testal,thick,tinged,tip,truncate,tube,unbranched,wall,white	0-1,0.8-2.4,1,1-10,1-3,1.3-4.2,1.4-2.5,1.6-4.4,2-3,2.4-7,4-6,5-merou,abaxially,absen,absent,acumen,adaxially,ag,along,alyx,apart,apparently,articulation,axe,blade,broadly,brownish,capitat,ciliate,clearly,condition,contracted,decurrent,digestion,discussion,distal,distinct,dorsally,drying,eaf,edge,eed,elliptic,end,enzyme,erec,especially,exceeding,except,extra,flat,flowered,folded,forming,fresh,geminat,glabrou,greatly,green-white,greenish,half,highly,homostylous,honeycomb-shaped,interjected,larger,leaflet,living,lower,make,margin,midrib,minute,minutely,mottled,mucilaginous,near,nflorescence,obovate,often,one,orolla,pair,peduncle,perfect,placed,plurifoliate,proximal,puberulent,reduced,removed,rosette,ruit,scale-like,see,sessile,seudostipule,single,sometimes,spaced,species,specimen,stamen,ste,stolo,straight,subequal,tall,tamen,tem,terminal,throughout,tri-,tuber,typically,unequal,unit,unwinged,vary,wet,whitish,wide,x,yellow,ympodial	abaxial,adaxial,age,arrangement,bud,calyx,capitate,colour,connation,discoid,feature,form,fruiting,growth,height,history,inflorescence,leaf,length,life,minor,na,new,number,ovary,papilla,perennial,reproduction,shape,surface,texture,type,width,winging,young	.5,0-5,0-7,0.1-0.3,1-2,1-2.2,1-4,13-35,2,2-4,2.2-6,2.2-6.5,3-5,3-7,9-24.5,acuminate,acute,berry,blue,cell,chartaceous,clavate,cm,connivent,covering,cuneate,glabrous,globose,green,hair,hair-like,herb,lanceolate,lateral,lengthening,like,long,membranous,mm,moderately,monochasium,multicellular,oblique,obtuse,odd-pinnate,orbicular,ovate,ovoid,petiolulate,petiolule,poricidal,pubescent,purple,rarely,ripe,rotate,rounded,short,slightly,slit,stem,streaked,subglabrous,testal,thick,tinged,tip,truncate,unbranched,wall,white	age,capitate,na,perennial
3	wfo-0001025697	success	181	113	64	78	103	35	59	5	0-14,0.15-0.75,1-1.7,1-2,10-26,2-6,25-35,3-10,5.5-11.5,6.5-13.5,acuminate,acute,anther,apex,attenuate,axillary,base,berry,blue,bud,clavate,cm,connivent,coriaceous,corolla,dark,deep,diameter,filament,flower,forked,fruit,glabrescent,glabrous,globose,green,hair,herb,lanceolate,leaf,lengthening,light,lilac,lobe,long,medium,mm,mucilaginous,odd-pinnate,orbicular,ovate,ovoid,pedicel,pentagonal,petiole,petiolulate,plant,pore,poricidal,purple,ripe,rotate,rounded,seed,sessile,short,size,slit,stigma,stripe,style,subtending,terminal,tip,tube,typically,unwinged,wet	-9,0.6-3.5,0.8-2,1-3,1.5-1.8,1.7-8.6,2-10.5,2-2.6,2-4,3-4,3-5,3-6,3.3-11,4-7.5,5-merou,abaxially,acumen,adaxiall,adaxially,ag,alyx,apart,apparently,articulated,asymmetric,axe,basiscopic,blade,brownish,capitat,cell,condition,covering,decreasing,decurrent,digestion,distal,dorsally,drying,eaf,edge,eed,elliptic,enzyme,erec,exceeding,flat,folded,fresh,geminat,generally,glabrou,green-white,greenish,hair-like,hal,half,high,homostylous,honeycomb-shaped,interjected,lateral,leaflet,linear,living,lower,make,nflorescence,orolla,pair,peduncle,perfect,plurifoliate,rachi,removed,ruit,seudostipule,side,slightly,spaced,specimen,stamen,straight,subequal,subglabrou,tall,tamen,tem,testal,thick,throughout,tissue,toward,tri-,unit,usually,vary,wall,whitish,wood,x,yellow,ympodial	abaxial,adaxial,age,arrangement,calyx,capitate,colour,connation,discoid,feature,form,fruiting,geminate,growth,height,history,inflorescence,length,life,minor,na,new,number,ovary,papilla,reproduction,shape,stem,surface,texture,type,width,winging,woody,young	0-14,0.15-0.75,1-1.7,1-2,10-26,2-6,25-35,3-10,5.5-11.5,6.5-13.5,acuminate,acute,attenuate,axillary,berry,blue,bud,clavate,cm,connivent,coriaceous,dark,deep,forked,glabrescent,glabrous,globose,green,hair,herb,lanceolate,lengthening,light,lilac,long,medium,mm,mucilaginous,odd-pinnate,orbicular,ovate,ovoid,pentagonal,petiolulate,poricidal,purple,ripe,rotate,rounded,sessile,short,slit,stripe,subtending,terminal,tip,typically,unwinged,wet	age,capitate,geminate,na,woody
4	wfo-0001025699	success	181	111	63	80	101	31	58	5	0.5,1,1-2.5,1.5,1.5-2,1/3,10,15-20,2,2-6,3-15,3-5.5,5-winged,5.5-14,8-9,acute,anther,apex,attenuate,base,berry,calyx,capitate,cm,corolla,cup-shaped,darker,diameter,ellipsoid,elliptic,filament,flower,fruiting,glabrous,globose,green,grey-brown,growth,immature,inflorescence,lanceolate,leaf,leaf-opposed,leafy,less,lobe,lobed,minutely,mm,narrowly,new,ovary,pale,pedicel,perfect,petiole,pore,poricidal,reniform,reticulate-pitted,rounded,rounded-sagittate,shoot,short,simple,slightly,somewhat,stem,stigma,style,surface,tip,tree,triangular,tube,way,white,x,young,½	.2,.5,1-1.5,1-2,1-3,2-2.5,2cm,3-3.5,3-8,4-5,499,5-8,abaxially,absent,adaxially,age,almost,anthesi,apart,apparently,appearing,articulating,bark,becoming,branching,brown,c.,campanulate,completely,conical,conspicuously,continuing,corrugate,crystal,dark,deltate,densely,difoliate,dorsal,dry,drying,eaf,eed,entire,erect,exerted,face,fide,free,glabrou,included,inclusion,inflorescenc,irregularly,leaving,lengthening,lower,margin,markedly,midrib,nflorescence,nodding,older,one,onto,oxalate,pair,papillat,papillose,peduncle,peg,penden,per,plurifoliate,portion,primary,red,reddish,ruit,sand,scar,slit,small,spaced,stearn,straight,strongly,tangled,thickened,time,trichome,ud,unit,vein,white-spotted,wide,wing,winged,woody,yellow,ympodial	1.2,3,abaxial,adaxial,arrangement,bud,colour,connation,discoid,feature,form,fruit,height,history,length,life,minor,na,number,papilla,papillate,perennial,plant,reproduction,seed,shape,size,texture,type,width,winging	0.5,1,1-2.5,1.5,1.5-2,1/3,10,15-20,2,2-6,3-15,3-5.5,5-winged,5.5-14,8-9,acute,apex,attenuate,base,berry,capitate,cm,cup-shaped,darker,ellipsoid,elliptic,glabrous,globose,green,grey-brown,immature,lanceolate,leaf-opposed,leafy,less,lobed,minutely,mm,narrowly,pale,perfect,poricidal,reniform,reticulate-pitted,rounded,rounded-sagittate,shoot,short,simple,slightly,somewhat,tip,tree,triangular,way,white,x,½	1.2,3,na,papillate,perennial
5	wfo-0001025700	success	189	119	70	85	104	34	66	4	0.30-2.0,0.5-2,0.8-2.6,1-2,1.1-2.3,1.5-2,10-40,10.5-12,15-40,2-7,3.7-8.6,5-20,5.3-17.5,5.5-18,9-31,acuminate,acute,anther,apex,apiculate,articulated,attenuate,base,berry,bud,cell,chartaceous,clavate,cm,connivent,corolla,covering,diameter,distal,dot,elliptic,filament,flower,fruit,glabrescent,glabrous,globose,green,hair-like,half,herb,high,lanceolate,lateral,leaf,lengthening,light,lilac,lobe,long,medium,mm,odd-pinnate,ovate,ovoid,pedicel,pentagonal,petiole,petiolulate,plant,pore,poricidal,purple,ripe,rotate-pentagonal,rounded,seed,size,slit,sometimes,stigma,style,terminal,testal,thick,tip,tube,wall,white,x	0-16,0.7-2.7,0.8-4,1-3,2-12,2.5-4,3-4,3-8,3.5-10.5,4-5,5-15,5-merou,5.5-8,abaxially,acuman,acumen,adaxially,ag,alyx,apparently,asymmetric,axe,axillary,basal,basiscopic,blade,brownish,capitat,condition,considerably,decrease,decreasing,digestion,dorsally,drying,eaf,edge,eed,enzyme,erec,exceeding,except,flat,folded,forked,fresh,geminat,generally,glabrou,green-white,greenish,hair,hal,homostylous,honeycomb-shaped,interjected,larger,leaflet,linear,living,lower,make,mucilaginous,narrowly,nflorescence,orbicular,orolla,pair,par,peduncle,perfect,plurifoliate,proximal,removed,ruit,sessile,seudostipule,short,side,slightly,specimen,stamen,straight,subequal,subglabrou,subtending,tall,tamen,tem,throughout,tissue,toward,tri-,typically,unit,unwinged,usually,vary,wet,whitish,whose,winged,yellow,ympodial	abaxial,adaxial,age,arrangement,calyx,capitate,colour,connation,discoid,feature,form,fruiting,growth,height,history,inflorescence,length,life,minor,na,new,number,ovary,papilla,perennial,reproduction,shape,stem,surface,texture,type,width,winging,young	0.30-2.0,0.5-2,0.8-2.6,1-2,1.1-2.3,1.5-2,10-40,10.5-12,15-40,2-7,3.7-8.6,5-20,5.3-17.5,5.5-18,9-31,acuminate,acute,apiculate,articulated,attenuate,berry,cell,chartaceous,clavate,cm,connivent,covering,diameter,distal,dot,elliptic,glabrescent,glabrous,globose,green,hair-like,half,herb,high,lanceolate,lateral,lengthening,light,lilac,long,medium,mm,odd-pinnate,ovate,ovoid,pentagonal,petiolulate,poricidal,purple,ripe,rotate-pentagonal,rounded,slit,sometimes,terminal,testal,thick,tip,wall,white,x	age,capitate,na,perennial
6	wfo-0001025704	success	247	151	104	120	127	31	100	4	/6,0-10,0.3-0.8,0.5-1.5,0.7-1,1-3.5,1-6,1.2-3,1.8-3.5,1/2-4/5,1/5,2-3,2-5,2.5-4.5,2.7-4,3-5,3-6,4-12,4-5,6-12,8-15,abaxial,acute,adaxial,almost,andromonoecious,anther,apex,apically,apiculate,articulated,auriculate,base,berry,branched,broad-deltate,calyx,cell,cm,connivent,cordate,covering,deltate,densely,diameter,ellipsoid,elongating,erect,evenly,filament,flattened-reniform,flower,fruit,fruiting,glabrescent,gray,green,green-yellow,irregular,lateral,leaf,length,less,lobe,lobed,mature,maturity,mauve,mm,moderately,multangulate,often,orange,orange-brown,outline,pedicel,petiole,pit,plant,poricidal,porrect,prickle,prickly,raised,rarely,red-brown,red-green,reflexed,round,sessile,shape,shrub,small,smooth,sometimes,somewhat,spherical,spreading,stalked,stellate-pubescent,stem,style,surface,tapering,terminal,tip,tree,trichome,truncate,tube,unbranched,upper,variously,way,white,white-gray,yellow,yellow-green,young,×	0-100,0-2,0-3.5,0-5,0.1,0.1-0.3,0.1-0.5,0.15-0.8,1,1-2,1-3,1-4,1-5,1.5-2,1.5-3.2,1.5-4.5,1/4-3/4,2,2-10,2-4.5,2-7,3-10,3-15,4.5-6.5,5-20,5-merous,6-15,8-12,8-17,abaxially,age,alyx,apar,apart,apparently,axe,ba,bark,blade,brow,chartaceous,curved,development,discolorous,distal,distance,drying,eaf,eed,elliptic,end,equal,extending,flattened,free,glabrous,half,hermaphrodite,heterostylous,infructescence,lobing,long,long-styled,longer,lower,lowermost,margin,midpoint,midvein,near,nflorescence,obtuse,occasionally,older,one,open,orolla,oung,ovate,pair,pale,peduncle,pendulous,per,pericarp,plurifoliat,portion,prickl,primary,prominent,ray,recurved,retaining,rounded,ruit,scar,secondary,short-styled,shorter,side,slender,spaced,sparsely,stalk,staminat,stellate,stellate-pubescen,stout,straight,strongly,tamen,terete,tertiary,throughout,time,unarmed,unit,vary,vein,venation,visible,warty,wide,widening,woody,yellowish,ympodial	arrangement,brown,bud,colour,connation,corolla,discoid,feature,form,growth,height,history,inflorescence,life,minor,na,new,number,ovary,papilla,perennial,plurifoliate,pore,reproduction,seed,size,stigma,texture,type,width,winging	/6,0-10,0.3-0.8,0.5-1.5,0.7-1,1-3.5,1-6,1.2-3,1.8-3.5,1/2-4/5,1/5,2-3,2-5,2.5-4.5,2.7-4,3-5,3-6,4-12,4-5,6-12,8-15,acute,almost,andromonoecious,apically,apiculate,articulated,auriculate,base,berry,branched,broad-deltate,cell,cm,connivent,cordate,covering,deltate,densely,ellipsoid,elongating,erect,evenly,flattened-reniform,fruit,glabrescent,gray,green,green-yellow,irregular,lateral,less,lobed,mature,maturity,mauve,mm,moderately,multangulate,often,orange,orange-brown,outline,pit,poricidal,porrect,prickle,prickly,raised,rarely,red-brown,red-green,reflexed,round,sessile,shrub,small,smooth,sometimes,somewhat,spherical,spreading,stalked,stellate-pubescent,tapering,terminal,tip,tree,trichome,truncate,unbranched,upper,variously,way,white,white-gray,yellow,yellow-green,young,×	brown,na,perennial,plurifoliate
7	wfo-0001025729	success	177	126	80	94	83	32	74	6	.5,/4,0.25-0.5,0.7-1.2,1-1.5,1-5,1.1-1.5,1.5-2,2,2-3.5,20,3-6,4-5,4-8,6-8,9-17,abaxial,acute,anther,apex,apiculate,base,berry,blackish,bright,bristly,bud,calyx,cm,corolla,cyathiform,dark,deltoid,densely,dia,dirty,elliptic,filament,flattened-reniform,fleshy,fruiting,furcate,glabrous,globose,green,greenish-yellow,greyish-brown,leaf,live,lobe,lobed,long,minor,minutely,mm,oblique,occasionally,opposite,ovary,pale,papillose,pedicel,petiole,pit,pitted,plant,pore,poricidal,pubescent,rounded,shaped,shiny,short,simple,size,sparsely,stem,stigma,stout,style,surface,tapering,tear-drop,tip,tree,treelet,trichome,tube,tuft,uniseriate,way,white,x,young	-20,1.2-1.8,1.75,5-50-flowered,7-8,abaxially,abrupt,adaxially,along,anthesi,apar,apical,appearing,axil,bark,basal,black,branched,covered,covering,deflexed,denser,diam,differing,difoliate,drying,eaf,edicel,eed,enclosed,expanded,f,free,geminat,gently,glabrou,growing,incrassate,lamina,lat,lateral,like,lon,lower,m.,main,mainly,major,margin,member,middle,minute,nflorescence,often,older,one,overlapping,overtopping,pair,papillo,partially,portion,prominent,quite,raised,reflexed,ripening,ruit,scar,straight,tall,terminal,touching,tub,ud,unit,usually,vein,widening,widest,woody,yellow,ympodial	3,4-20,5-50,adaxial,alternate,arrangement,colour,connation,diameter,discoid,feature,flower,form,fruit,growth,height,history,inflorescence,length,life,na,new,number,papilla,perennial,reproduction,seed,shape,texture,type,width,winging	.5,/4,0.25-0.5,0.7-1.2,1-1.5,1-5,1.1-1.5,1.5-2,2,2-3.5,20,3-6,4-5,4-8,6-8,9-17,acute,apiculate,base,berry,blackish,bright,bristly,bud,cm,cyathiform,dark,deltoid,densely,dia,dirty,elliptic,flattened-reniform,fleshy,furcate,glabrous,globose,green,greenish-yellow,greyish-brown,leaf,live,lobed,long,minutely,mm,oblique,occasionally,opposite,pale,papillose,pit,pitted,plant,poricidal,pubescent,rounded,shaped,shiny,short,simple,sparsely,stout,tapering,tear-drop,tip,tree,treelet,trichome,tuft,uniseriate,way,white,x	3,4-20,5-50,alternate,na,perennial
8	wfo-0001025749	success	215	110	60	77	138	33	57	3	.5,0.2-1.5,0.3-1.5,0.4-0.7,0.5-0.8,0.5-0.9,0.5-1.3,0.6-4.5,0.8-0.9,1-13,1-8.5,1-9,1.5-2.5,2-2.5,abaxial,acute,adaxial,anther,apex,base,berry,calyx,cm,cuneate,curved,dark,densely,diameter,dull,filament,flattened-reniform,flower,fruit,fruiting,gently,glabrescent,glabrous,green-brown,lateral,leaf,length,lobe,lobed,long-ovate,maturity,mauve,mm,moderately,narrow-deltate,narrow-ovate,orange-brown,orange-red,pale,pedicel,petiole,poricidal,prickly,red-brown,rounded,shrub,sometimes,sparsely,spherical,spreading,stellate-pubescent,stem,straight,straw-yellow,style,surface,tapering,tip,tube,white,yellow,yellow-green,yellow-orange	/5,0-10,0-3,0-5,0-6,0-8,0.1,0.1-0.2,0.1-0.3,0.1-0.4,0.2,0.5-1,0.5-3,1,1-10,1-2,1-3,1-6,1.5,1.5-2,1/4-1/3,1/5-1/2,2-10,2.5-6,2/3,3-20,3-5,4-8,5-10-12,5-20,5-6-8,5-merous,6-8,abaxially,acuminat,adaxially,adnate,almost,alyx,apar,apart,apically,apparently,articulated,bark,blade,branched,broad-deltate,chartaceous,concolorous,difoliate,discolorous,distance,drying,eaf,eed,elongating,equal,erect,extending,filiform,flattened,free,geminat,gray,herbaceous,indistinct,infructescence,light,lon,long,longer,lower,magnification,margin,markedly,mature,midpoint,midvein,nflorescence,oblong,obtuse,occasionally,older,one,open,orange-brow,orbicular,orolla,oung,ovate,pair,peduncle,pendulous,per,perfec,pericarp,porrect,portion,prickl,prickle,primary,procumbent,purple,rarely,ray,recurved,reduced,ruit,scar,sessile,shorter,side,smooth,spaced,stalk,stalked,stellate,strongly,tamen,terete,tertiary,time,toward,trichome,unit,usually,variously,vary,vein,venation,visible,way,wide,without,yellowish,ympodial,½-2/	alternate,arrangement,bud,colour,connation,corolla,discoid,feature,form,growth,height,history,inflorescence,life,minor,na,new,number,ovary,papilla,perennial,plant,pore,reproduction,seed,shape,size,stigma,texture,type,width,winging,young	.5,0.2-1.5,0.3-1.5,0.4-0.7,0.5-0.8,0.5-0.9,0.5-1.3,0.6-4.5,0.8-0.9,1-13,1-8.5,1-9,1.5-2.5,2-2.5,acute,berry,cm,cuneate,curved,dark,densely,dull,flattened-reniform,gently,glabrescent,glabrous,green-brown,lateral,lobed,long-ovate,maturity,mauve,mm,moderately,narrow-deltate,narrow-ovate,orange-brown,orange-red,pale,poricidal,prickly,red-brown,rounded,shrub,sometimes,sparsely,spherical,spreading,stellate-pubescent,straight,straw-yellow,tapering,tip,white,yellow,yellow-green,yellow-orange	alternate,na,perennial
9	wfo-0001025754	success	164	119	72	80	84	39	67	5	0.5-1,0.5-1.5,1,1-3,1-3.5,1.5,1.5-4,10-20,10-35,2-5-celled,3-10,4-6,5-12,5-15,acuminate,acute,anther,apex,asymmetrical,base,berry,brown,calyx,center,chartaceous,cm,cordate,cordiform,decurrent,diameter,dm,drying,edge,filament,fine,flower,fruit,glabrous,globose,hair,herb,immature,leaf,lobe,long,margin,maturing,membranaceous,mm,moderately,nearly,oblong,often,parallel,pedicel,per,petiole,pubescent,radiating,raised,ridge,rotate,running,semitransparent,shallow,slightly,solitary,sparsely,stem,stigma,straight,style,surface,triangular,truncate,tube,unbranched,white,x,yellow	-celled,.5,0.1-0.2,1-2,1.5-3,2-4,2-7,2-foliate,3-5,3-6,4,abaxially,absent,abundant,adaxiall,adaxially,along,axe,barely,beyond,blade,branch,ciliate,connected,decumbent,dehiscing,densely,denser,dried,eaf,eed,eglandular,emarginat,entire,equal,erect,explosively,exserted,flat,geminat,glandular,held,interpetalar,leaving,like,linear-lanceolate,lower,lying,main,material,maturit,mesocarp,mixed,much-branched,nfloresence,notch,orolla,palmately,peduncle,penden,placenta,pressure,probably,pubescen,rachi,ruit,short,small,sometimes,stamen,swollen,tal,tamen,tem,tissue,unit,upright,vary,vein,visible,watery,wid,woody,ympodial	2.5,abaxial,adaxial,arrangement,bud,colour,connation,corolla,discoid,emarginate,feature,form,fruiting,geminate,growth,height,history,inflorescence,length,life,minor,na,new,number,ovary,papilla,perennial,plant,pore,reproduction,seed,shape,size,texture,tip,type,width,winging,young	0.5-1,0.5-1.5,1,1-3,1-3.5,1.5,1.5-4,10-20,10-35,2-5-celled,3-10,4-6,5-12,5-15,acuminate,acute,apex,asymmetrical,berry,brown,center,chartaceous,cm,cordate,cordiform,decurrent,dm,drying,edge,fine,flower,fruit,glabrous,globose,hair,herb,immature,long,margin,maturing,membranaceous,mm,moderately,nearly,oblong,often,parallel,per,petiole,pubescent,radiating,raised,ridge,rotate,running,semitransparent,shallow,slightly,solitary,sparsely,straight,triangular,truncate,unbranched,white,x,yellow	2.5,emarginate,geminate,na,perennial
