	coreid	status	nwords_original	nwords_result	nwords_val	nwords_recovered	nwords_omitted	nwords_created	nwords_recovered_val	nwords_created_val	common_words	original_only	result_only	common_words_val	val_only
0	wfo-0001025652	success	156	118	68	93	63	25	67	1	.3,.5,0.5-1,1-1.5,1.5-2,15-17,2-3,2-5,2-6,3-3.5,3-5,4,4-6,4-7,abruptly,acuminate,acute,anther,anthesi,apex,bark,base,broad,calyx,cm,connate,corolla,decurrent,densely,elliptic,filament,fleshy,free,fruit,furcate,glabrate,glabrous,green,greyish,growth,irregular,leaf,lobe,long,margin,matte,middle,minutely,mm,narrowing,occasionally,ovary,ovoid-reniform,pale,paler,papillose,parallel,pedicel,petiole,pinkish-grey,pitted,planar,plant,poricidal,red-papillose,shape,shaped,shiny,shrub,simple,small,stem,straight,strongly,style,surface,tan,tapering,tear-drop,thick,tightly,tip,tree,tube,ud,unit,vein,white,wider,widest,wing,winged,x	1,10-20,15-19,20-50,3-5-flowered,9-11,appearing,bilobed,blade,campanulate,closed,closely,completely,dia,differing,difoliate,dry,eaf,edicel,eed,emerge,envelope,flower,geminat,greyi,growing,lateral,like,live,lobed,lon,lower,main,major,minor,minute,nearly,new,nflorescence,older,one,onto,opposite,overlappin,ovoid,pair,papillae,papillo,pore,portion,rather,ry,scar,size,soon,spaced,specimen,stigma,tall,tear,thicker,ympodial,young	abaxial,adaxial,arrangement,branching,characteristic,colour,diameter,form,height,history,inflorescence,length,life,midvein,na,peduncle,primary,pseudostipule,rachi,seed,staman,tertiary,texture,unarmed,venation	.3,.5,0.5-1,1-1.5,1.5-2,15-17,2-3,2-5,2-6,3-3.5,3-5,4,4-6,4-7,abruptly,acuminate,acute,anthesi,broad,cm,connate,decurrent,densely,elliptic,fleshy,furcate,glabrate,glabrous,green,greyish,irregular,long,matte,middle,minutely,mm,narrowing,occasionally,ovoid-reniform,pale,paler,papillose,parallel,pinkish-grey,pitted,planar,poricidal,red-papillose,shaped,shiny,shrub,simple,small,straight,strongly,tan,tapering,tear-drop,thick,tightly,tip,tree,white,wider,widest,winged,x	na
1	wfo-0001025657	success	239	128	88	102	137	26	85	3	0.1-0.4,0.2-0.4,0.5-2.5,1-1.1,1-1.3,1-1.6,1-3,1.2-1.5,1.3-2,1.5-1.8,2-10,2-3.5,2.2-5.5,2.5-9.3,2.7-4.3,25-60,3-6,4-4.4,5-14,5-16,6-8,7-9.5,8-10.5,8.3-12,abaxially,acute,anther,apart,apex,articulated,base,berry,bluish,branched,brown,calyx,chartaceous,closely,cm,conical,cordate,corolla,dark,deltoid,densely,diameter,dried,entire,expanded,filament,fleshy,flower,fruit,glabrous,granular,green,hair,half,lanate-pubescent,lanceolate,leaf,length,lobe,lower,margin,midrib,mm,narrowly,orbicular,ovate,pale,pedicel,peduncle,persistently,petiole,plurifoliate,porrect-stellate,pseudo-terminal,rachi,reticulate-punctate,ripe,semi-ovate,shrub,side,slightly,soft,spaced,stellate-pubescent,stem,style,suborbicular,surface,tan,tomentose,tomentose-pubescent,tree,unarmed,vein,white,x,yellow,yellowish	-2,/3,1.7-1.9,12x,2/3,3-4,3-4.8,3.2-6,4-4.5,4-7,6-12,6.5-10,7-27,7-9,accrescent,adaxially,ag,also,anthesi,apparently,appearing,ark,around,ascending,axe,axillary,ba,blade,blunt-tipped,branch,broadly,bud,capitat,central,cylindrical,dendritic-multangulat,dendritic-multangulate,dense,directed,distally,due,eaf,earl,edge,eed,elliptic,especially,evident,exerted,exserted,farinose,few-rayed,free,fruiting,glandula,glandular,inserted,lateral,lengthening,light,lobed,long,long-stalked,longitudinal,m.,magnification,main,minutely,mixed,multangulate,nearly,nflorescence,oblong,obtuse,occasional,often,older,open,orolla,ovat,ovate-lanceolate,overlapping,part,parted,partly,perfect,persistent,pore,poricidal,present,pubescence,pubescent,ray,reportedly,ruit,scented,sessile,short,short-,short-stalked,simple,slit,somewhat,splitting,stamen,stellate,stigma,stipitate-glandular,stipitate-multangulate,strongly,subcampanulate,subcoriaceous,suture,tall,tamen,terete,thick-stalked,thickened,thin-stalked,time,tip,tomentum,transparent,tube,two-third,ud,unarme,unit,upper,usually,vary,velutinous-pubescent,way,weakly,wide,ympodial,young	abaxial,adaxial,arrangement,branching,characteristic,colour,form,growth,height,history,inflorescence,life,midvein,na,ovary,perennial,plant,primary,pseudostipule,seed,shape,staman,tertiary,texture,true,venation	0.1-0.4,0.2-0.4,0.5-2.5,1-1.1,1-1.3,1-1.6,1-3,1.2-1.5,1.3-2,1.5-1.8,2-10,2-3.5,2.2-5.5,2.5-9.3,2.7-4.3,25-60,3-6,4-4.4,5-14,5-16,6-8,7-9.5,8-10.5,8.3-12,abaxially,acute,apart,articulated,base,berry,bluish,branched,brown,chartaceous,closely,cm,conical,cordate,dark,deltoid,densely,diameter,dried,entire,expanded,fleshy,flower,fruit,glabrous,granular,green,hair,half,lanate-pubescent,lanceolate,lower,midrib,mm,narrowly,orbicular,ovate,pale,persistently,plurifoliate,porrect-stellate,pseudo-terminal,reticulate-punctate,ripe,semi-ovate,shrub,side,slightly,soft,spaced,stellate-pubescent,suborbicular,tan,tomentose,tomentose-pubescent,tree,unarmed,white,x,yellow,yellowish	na,perennial,true
2	wfo-0001025669	success	214	124	82	93	121	31	79	3	.5,0.1-0.3,1,1-2,1-2.2,1-4,1.4-2.5,13-35,2,2-3,2-4,2.2-6.5,3-5,absent,acuminate,acute,anther,apex,articulation,base,berry,blue,broadly,brownish,cell,chartaceous,cm,condition,contracted,corolla,covering,cuneate,diameter,distinct,drying,elliptic,extra,filament,flower,flowered,fresh,fruit,glabrous,globose,green,greenish,hair,hair-like,herb,highly,lateral,like,lobe,long,margin,membranous,minute,mm,moderately,monochasium,mottled,oblique,obtuse,odd-pinnate,often,ovate,ovoid,pedicel,peduncle,petiole,plant,pubescent,purple,rarely,ripe,scale-like,seed,single,slightly,sometimes,species,stem,streaked,style,subglabrous,testal,thick,tinged,typically,unbranched,wall,white,whitish	0-1,0-5,0-7,0.8-2.4,1-10,1-3,1.3-4.2,1.6-4.4,2.2-6,2.4-7,3-7,4-6,5-merou,9-24.5,abaxially,absen,acumen,adaxially,ag,along,alyx,apart,apparently,axe,blade,capitat,ciliate,clavate,clearly,connivent,decurrent,digestion,discussion,distal,dorsally,eaf,edge,eed,end,enzyme,erec,especially,exceeding,except,flat,folded,forming,geminat,glabrou,greatly,green-white,half,homostylous,honeycomb-shaped,interjected,lanceolate,larger,leaflet,lengthening,living,lower,make,midrib,minutely,mucilaginous,multicellular,near,nflorescence,obovate,one,orbicular,orolla,pair,perfect,petiolulate,petiolule,placed,plurifoliate,pore,poricidal,proximal,puberulent,reduced,removed,rosette,rotate,rounded,ruit,see,sessile,seudostipule,short,size,slit,spaced,specimen,stamen,ste,stigma,stolo,straight,subequal,tall,tamen,tem,terminal,throughout,tip,tri-,truncate,tube,tuber,unequal,unit,unwinged,vary,wet,wide,x,yellow,ympodial	abaxial,adaxial,arrangement,branching,calyx,characteristic,colour,form,growth,height,history,inflorescence,leaf,length,life,midvein,na,ovary,perennial,primary,pseudostipule,rachi,shape,staman,surface,tertiary,texture,true,unarmed,vein,venation	.5,0.1-0.3,1,1-2,1-2.2,1-4,1.4-2.5,13-35,2,2-3,2-4,2.2-6.5,3-5,absent,acuminate,acute,articulation,base,berry,blue,broadly,brownish,cell,chartaceous,cm,condition,contracted,covering,cuneate,distinct,drying,elliptic,extra,flower,flowered,fresh,glabrous,globose,green,greenish,hair,hair-like,herb,highly,lateral,like,long,membranous,minute,mm,moderately,monochasium,mottled,oblique,obtuse,odd-pinnate,often,ovate,ovoid,pubescent,purple,rarely,ripe,scale-like,single,slightly,sometimes,species,stem,streaked,subglabrous,testal,thick,tinged,typically,unbranched,wall,white,whitish	na,perennial,true
3	wfo-0001025697	invalid_json	181	118	NA	86	95	32	NA	NA	-9,0.15-0.75,1-1.7,1-2,1.7-8.6,10-26,2-6,25-35,3-10,3-4,3-6,acuminate,acute,anther,apex,articulated,attenuate,axillary,base,berry,blue,brownish,bud,cell,cm,condition,coriaceous,corolla,covering,dark,deep,diameter,distal,drying,elliptic,filament,flower,forked,fresh,fruit,generally,glabrescent,glabrous,globose,green,green-white,greenish,hair-like,half,herb,high,lanceolate,lateral,leaf,light,lilac,lobe,long,make,medium,mm,mucilaginous,odd-pinnate,ovate,ovoid,pedicel,peduncle,petiole,plant,purple,rachi,ripe,rounded,seed,sessile,stripe,style,subtending,terminal,testal,thick,throughout,usually,wall,wet,whitish	0-14,0.6-3.5,0.8-2,1-3,1.5-1.8,2-10.5,2-2.6,2-4,3-5,3.3-11,4-7.5,5-merou,5.5-11.5,6.5-13.5,abaxially,acumen,adaxiall,adaxially,ag,alyx,apart,apparently,asymmetric,axe,basiscopic,blade,capitat,clavate,connivent,decreasing,decurrent,digestion,dorsally,eaf,edge,eed,enzyme,erec,exceeding,flat,folded,geminat,glabrou,hair,hal,homostylous,honeycomb-shaped,interjected,leaflet,lengthening,linear,living,lower,nflorescence,orbicular,orolla,pair,pentagonal,perfect,petiolulate,plurifoliate,pore,poricidal,removed,rotate,ruit,seudostipule,short,side,size,slightly,slit,spaced,specimen,stamen,stigma,straight,subequal,subglabrou,tall,tamen,tem,tip,tissue,toward,tri-,tube,typically,unit,unwinged,vary,wood,x,yellow,ympodial	2,abaxial,adaxial,arrangement,branching,calyx,characteristic,colour,form,growth,height,inflorescence,length,margin,midvein,na,ovary,primary,pseudostipule,shape,staman,stem,subglabrous,surface,tertiary,texture,unarmed,value,vein,venation,woody,ye	NA	NA
4	wfo-0001025699	success	181	114	83	90	91	24	78	5	.2,1,1-1.5,1-2.5,1-3,1.5,1.5-2,10,15-20,2,2-2.5,2-6,2cm,3-15,3-3.5,3-8,4-5,5-winged,8-9,absent,acute,almost,anther,anthesi,apex,attenuate,base,becoming,berry,branching,brown,calyx,cm,completely,conical,conspicuously,continuing,corolla,dark,darker,diameter,ellipsoid,elliptic,entire,filament,flower,glabrous,globose,green,grey-brown,growth,immature,inflorescence,lanceolate,leaf,leaf-opposed,leafy,lobe,margin,markedly,midrib,minutely,mm,narrowly,nodding,onto,ovary,pale,pedicel,peduncle,petiole,reniform,reticulate-pitted,rounded,shoot,short,simple,somewhat,stem,strongly,style,surface,time,tip,tree,triangular,white,wide,wing,x	.5,0.5,1-2,1/3,3-5.5,499,5-8,5.5-14,abaxially,adaxially,age,apart,apparently,appearing,articulating,bark,c.,campanulate,capitate,corrugate,crystal,cup-shaped,deltate,densely,difoliate,dorsal,dry,drying,eaf,eed,erect,exerted,face,fide,free,fruiting,glabrou,included,inclusion,inflorescenc,irregularly,leaving,lengthening,less,lobed,lower,new,nflorescence,older,one,oxalate,pair,papillat,papillose,peg,penden,per,perfect,plurifoliate,pore,poricidal,portion,primary,red,reddish,rounded-sagittate,ruit,sand,scar,slightly,slit,small,spaced,stearn,stigma,straight,tangled,thickened,trichome,tube,ud,unit,vein,way,white-spotted,winged,woody,yellow,ympodial,young,½	1.2,3,abaxial,adaxial,arrangement,characteristic,colour,corrugated,form,fruit,height,history,length,life,na,perennial,plant,pseudostipule,rachi,seed,shape,staman,texture,unarmed	.2,1,1-1.5,1-2.5,1-3,1.5,1.5-2,10,15-20,2,2-2.5,2-6,2cm,3-15,3-3.5,3-8,4-5,5-winged,8-9,absent,acute,almost,anthesi,apex,attenuate,base,becoming,berry,branching,brown,calyx,cm,completely,conical,conspicuously,continuing,dark,darker,diameter,ellipsoid,elliptic,entire,flower,glabrous,globose,green,grey-brown,immature,lanceolate,leaf-opposed,leafy,lobe,markedly,midrib,minutely,mm,narrowly,nodding,onto,pale,pedicel,reniform,reticulate-pitted,rounded,shoot,short,simple,somewhat,strongly,surface,time,tip,tree,triangular,white,wide,wing,x	1.2,3,corrugated,na,perennial
5	wfo-0001025700	success	189	107	63	75	114	32	60	3	0.30-2.0,0.5-2,0.8-2.6,1-2,10.5-12,15-40,2-12,2-7,2.5-4,3-8,5-15,5-20,5.5-8,acuminate,acute,anther,apex,apiculate,articulated,attenuate,base,berry,brownish,cell,chartaceous,cm,condition,corolla,covering,diameter,distal,dot,drying,elliptic,filament,fresh,fruit,glabrescent,glabrous,globose,green,greenish,hair-like,half,herb,high,lateral,leaf,light,lilac,lobe,long,medium,mm,narrowly,odd-pinnate,ovate,ovoid,pedicel,peduncle,petiole,petiolulate,plant,purple,rounded,seed,sometimes,style,testal,thick,unwinged,wall,white,whitish,winged	0-16,0.7-2.7,0.8-4,1-3,1.1-2.3,1.5-2,10-40,3-4,3.5-10.5,3.7-8.6,4-5,5-merou,5.3-17.5,5.5-18,9-31,abaxially,acuman,acumen,adaxially,ag,alyx,apparently,asymmetric,axe,axillary,basal,basiscopic,blade,bud,capitat,clavate,connivent,considerably,decrease,decreasing,digestion,dorsally,eaf,edge,eed,enzyme,erec,exceeding,except,flat,flower,folded,forked,geminat,generally,glabrou,green-white,hair,hal,homostylous,honeycomb-shaped,interjected,lanceolate,larger,leaflet,lengthening,linear,living,lower,make,mucilaginous,nflorescence,orbicular,orolla,pair,par,pentagonal,perfect,plurifoliate,pore,poricidal,proximal,removed,ripe,rotate-pentagonal,ruit,sessile,seudostipule,short,side,size,slightly,slit,specimen,stamen,stigma,straight,subequal,subglabrou,subtending,tall,tamen,tem,terminal,throughout,tip,tissue,toward,tri-,tube,typically,unit,usually,vary,wet,whose,x,yellow,ympodial	2,abaxial,adaxial,arrangement,branching,calyx,characteristic,colour,form,growth,height,history,inflorescence,length,life,margin,midvein,na,ovary,primary,pseudostipule,rachi,shape,staman,stem,subglabrous,surface,tertiary,texture,unarmed,vein,venation	0.30-2.0,0.5-2,0.8-2.6,1-2,10.5-12,15-40,2-12,2-7,2.5-4,3-8,5-15,5-20,5.5-8,acuminate,acute,apiculate,articulated,attenuate,berry,brownish,cell,chartaceous,cm,condition,covering,distal,dot,drying,elliptic,fresh,glabrescent,glabrous,globose,green,greenish,hair-like,half,herb,high,lateral,light,lilac,long,medium,mm,narrowly,odd-pinnate,ovate,ovoid,petiolulate,purple,rounded,sometimes,testal,thick,unwinged,wall,white,whitish,winged	2,na,subglabrous
6	wfo-0001025704	success	247	139	99	118	129	21	95	4	0-100,0-2,0-3.5,0.3-0.8,0.5-1.5,0.7-1,1-3.5,1-6,1.2-3,1.5-3.2,1/5,2-3,2-7,2.7-4,3-15,3-5,3-6,4-5,4.5-6.5,abaxial,acute,adaxial,almost,anther,apex,apically,apiculate,apparently,articulated,auriculate,base,berry,branched,calyx,cell,chartaceous,cm,cordate,deltate,densely,diameter,discolorous,drying,ellipsoid,elliptic,erect,evenly,filament,flattened-reniform,fruit,glabrous,green,green-yellow,irregular,lateral,leaf,length,lobe,lobed,long,margin,maturity,mauve,midvein,mm,near,often,orange,orange-brown,outline,ovate,pair,pale,pedicel,peduncle,per,petiole,pit,plant,prickle,prickly,primary,raised,rarely,red-green,round,shape,shrub,side,small,smooth,sometimes,somewhat,sparsely,spherical,stellate-pubescent,stem,strongly,style,surface,terminal,tertiary,tree,truncate,unarmed,unbranched,unit,upper,vein,venation,visible,white,white-gray,yellow,yellow-green,yellowish,young,×	/6,0-10,0-5,0.1,0.1-0.3,0.1-0.5,0.15-0.8,1,1-2,1-3,1-4,1-5,1.5-2,1.5-4.5,1.8-3.5,1/2-4/5,1/4-3/4,2,2-10,2-4.5,2-5,2.5-4.5,3-10,4-12,5-20,5-merous,6-12,6-15,8-12,8-15,8-17,abaxially,age,alyx,andromonoecious,apar,apart,axe,ba,bark,blade,broad-deltate,brow,connivent,covering,curved,development,distal,distance,eaf,eed,elongating,end,equal,extending,flattened,flower,free,fruiting,glabrescent,gray,half,hermaphrodite,heterostylous,infructescence,less,lobing,long-styled,longer,lower,lowermost,mature,midpoint,moderately,multangulate,nflorescence,obtuse,occasionally,older,one,open,orolla,oung,pendulous,pericarp,plurifoliat,poricidal,porrect,portion,prickl,prominent,ray,recurved,red-brown,reflexed,retaining,rounded,ruit,scar,secondary,sessile,short-styled,shorter,slender,spaced,spreading,stalk,stalked,staminat,stellate,stellate-pubescen,stout,straight,tamen,tapering,terete,throughout,time,tip,trichome,tube,variously,vary,warty,way,wide,widening,woody,ympodial	arrangement,branching,characteristic,colour,corolla,form,growth,height,history,inflorescence,life,na,ovary,perennial,plurifoliate,pseudostipule,rachi,seed,staman,sympodial,texture	0-100,0-2,0-3.5,0.3-0.8,0.5-1.5,0.7-1,1-3.5,1-6,1.2-3,1.5-3.2,1/5,2-3,2-7,2.7-4,3-15,3-5,3-6,4-5,4.5-6.5,acute,almost,apically,apiculate,apparently,articulated,auriculate,base,berry,branched,cell,chartaceous,cm,cordate,deltate,densely,discolorous,drying,ellipsoid,elliptic,erect,evenly,flattened-reniform,glabrous,green,green-yellow,irregular,lateral,lobe,lobed,long,maturity,mauve,mm,near,often,orange,orange-brown,outline,ovate,pair,pale,per,pit,prickle,prickly,raised,rarely,red-green,round,shrub,side,small,smooth,sometimes,somewhat,sparsely,spherical,stellate-pubescent,strongly,surface,terminal,tree,truncate,unarmed,unbranched,unit,upper,visible,white,white-gray,yellow,yellow-green,yellowish,young,×	na,perennial,plurifoliate,sympodial
7	wfo-0001025729	success	177	131	96	101	76	30	92	4	.5,0.25-0.5,0.7-1.2,1-1.5,1-5,1.1-1.5,1.2-1.8,1.5-2,1.75,2,20,4-5,5-50-flowered,7-8,abaxial,abaxially,abrupt,acute,adaxially,anther,apex,apiculate,appearing,axil,basal,base,berry,black,calyx,cm,corolla,covering,deltoid,densely,dia,diam,dirty,drying,elliptic,f,filament,flattened-reniform,fleshy,furcate,glabrous,globose,green,greenish-yellow,greyish-brown,growing,incrassate,lamina,lateral,leaf,like,live,lobe,long,main,margin,minutely,mm,oblique,occasionally,often,opposite,ovary,overtopping,pair,pale,papillose,pedicel,petiole,pit,pitted,plant,pubescent,ripening,rounded,shiny,simple,sparsely,stem,straight,style,surface,tapering,terminal,tip,tree,treelet,trichome,tube,tuft,uniseriate,usually,vein,white,widening,x,yellow	-20,/4,2-3.5,3-6,4-8,6-8,9-17,along,anthesi,apar,apical,bark,blackish,branched,bright,bristly,bud,covered,cyathiform,dark,deflexed,denser,differing,difoliate,eaf,edicel,eed,enclosed,expanded,free,fruiting,geminat,gently,glabrou,lat,lobed,lon,lower,m.,mainly,major,member,middle,minor,minute,nflorescence,older,one,overlapping,papillo,partially,pore,poricidal,portion,prominent,quite,raised,reflexed,ruit,scar,shaped,short,size,stigma,stout,tall,tear-drop,touching,tub,ud,unit,way,widest,woody,ympodial,young	4-20,adaxial,alternate,arrangement,branching,characteristic,colour,diameter,form,fruit,growth,height,history,inflorescence,length,life,midvein,na,peduncle,perennial,primary,pseudostipule,rachi,seed,shape,staman,tertiary,texture,unarmed,venation	.5,0.25-0.5,0.7-1.2,1-1.5,1-5,1.1-1.5,1.2-1.8,1.5-2,1.75,2,20,4-5,5-50-flowered,7-8,abaxial,abaxially,abrupt,acute,adaxially,apiculate,appearing,axil,basal,base,berry,black,calyx,cm,covering,deltoid,densely,dia,diam,dirty,drying,elliptic,f,flattened-reniform,fleshy,furcate,glabrous,globose,green,greenish-yellow,greyish-brown,growing,incrassate,lamina,lateral,leaf,like,live,long,main,margin,minutely,mm,oblique,occasionally,often,opposite,overtopping,pair,pale,papillose,pit,pitted,plant,pubescent,ripening,rounded,shiny,simple,sparsely,stem,straight,surface,tapering,terminal,tip,tree,treelet,trichome,tube,tuft,uniseriate,usually,vein,white,widening,x,yellow	4-20,alternate,na,perennial
8	wfo-0001025749	success	215	129	88	106	109	23	85	3	0-10,0-3,0-5,0-6,0.2-1.5,0.3-1.5,0.5-0.8,0.5-0.9,0.8-0.9,1-10,1-13,1-2,1-3,1-6,1-9,1.5-2,1.5-2.5,2-2.5,2.5-6,3-5,5-20,abaxial,acute,adaxial,anther,apex,apically,apparently,articulated,base,berry,branched,calyx,chartaceous,cm,cuneate,curved,dark,densely,diameter,dull,filament,flattened-reniform,flower,fruit,gently,glabrous,green-brown,indistinct,infructescence,lateral,leaf,length,lobe,lobed,long,long-ovate,lower,magnification,margin,maturity,mauve,midvein,mm,moderately,narrow-deltate,orange-brown,orange-red,orbicular,ovate,pair,pale,pedicel,peduncle,per,petiole,prickle,prickly,primary,rarely,red-brown,rounded,shrub,sometimes,sparsely,spherical,stellate,stellate-pubescent,stem,straight,straw-yellow,style,surface,tertiary,toward,trichome,usually,vein,venation,visible,white,wide,without,yellow,yellow-green,yellow-orange	.5,/5,0-8,0.1,0.1-0.2,0.1-0.3,0.1-0.4,0.2,0.4-0.7,0.5-1,0.5-1.3,0.5-3,0.6-4.5,1,1-8.5,1.5,1/4-1/3,1/5-1/2,2-10,2/3,3-20,4-8,5-10-12,5-6-8,5-merous,6-8,abaxially,acuminat,adaxially,adnate,almost,alyx,apar,apart,bark,blade,broad-deltate,concolorous,difoliate,discolorous,distance,drying,eaf,eed,elongating,equal,erect,extending,filiform,flattened,free,fruiting,geminat,glabrescent,gray,herbaceous,light,lon,longer,markedly,mature,midpoint,narrow-ovate,nflorescence,oblong,obtuse,occasionally,older,one,open,orange-brow,orolla,oung,pendulous,perfec,pericarp,poricidal,porrect,portion,prickl,procumbent,purple,ray,recurved,reduced,ruit,scar,sessile,shorter,side,smooth,spaced,spreading,stalk,stalked,strongly,tamen,tapering,terete,time,tip,tube,unit,variously,vary,way,yellowish,ympodial,½-2/	acuminate,arrangement,branching,characteristic,colour,corolla,form,growth,height,history,inflorescence,life,na,ovary,plant,pseudostipule,rachi,seed,shape,staman,texture,unarmed,½-2/3	0-10,0-3,0-5,0-6,0.2-1.5,0.3-1.5,0.5-0.8,0.5-0.9,0.8-0.9,1-10,1-13,1-2,1-3,1-6,1-9,1.5-2,1.5-2.5,2-2.5,2.5-6,3-5,5-20,acute,apex,apically,apparently,articulated,base,berry,branched,chartaceous,cm,cuneate,curved,dark,densely,diameter,dull,flattened-reniform,flower,gently,glabrous,green-brown,indistinct,infructescence,lateral,lobed,long,long-ovate,lower,magnification,maturity,mauve,mm,moderately,narrow-deltate,orange-brown,orange-red,orbicular,ovate,pair,pale,per,prickle,prickly,rarely,red-brown,rounded,shrub,sometimes,sparsely,spherical,stellate,stellate-pubescent,straight,straw-yellow,toward,trichome,usually,visible,white,wide,without,yellow,yellow-green,yellow-orange	acuminate,na,½-2/3
9	wfo-0001025754	success	164	119	80	89	75	30	76	4	.5,0.5-1,0.5-1.5,1,1-3,1.5,1.5-3,10-20,10-35,2-7,3-10,3-5,4-6,5-12,5-15,absent,acuminate,acute,anther,apex,asymmetrical,base,berry,beyond,brown,calyx,center,chartaceous,ciliate,cm,cordate,cordiform,decurrent,densely,diameter,dm,drying,edge,entire,equal,exserted,filament,fine,flower,fruit,glabrous,globose,hair,herb,immature,leaf,leaving,linear-lanceolate,lobe,margin,maturing,membranaceous,mm,moderately,much-branched,nearly,often,palmately,parallel,pedicel,peduncle,per,petiole,pubescent,rachi,radiating,raised,ridge,running,semitransparent,shallow,slightly,solitary,sparsely,stamen,stem,style,surface,truncate,unbranched,vein,white,x,yellow	-celled,0.1-0.2,1-2,1-3.5,1.5-4,2-4,2-5-celled,2-foliate,3-6,4,abaxially,abundant,adaxiall,adaxially,along,axe,barely,blade,branch,connected,decumbent,dehiscing,denser,dried,eaf,eed,eglandular,emarginat,erect,explosively,flat,geminat,glandular,held,interpetalar,like,long,lower,lying,main,material,maturit,mesocarp,mixed,nfloresence,notch,oblong,orolla,penden,placenta,pressure,probably,pubescen,rotate,ruit,short,small,sometimes,stigma,straight,swollen,tal,tamen,tem,tissue,triangular,tube,unit,upright,vary,visible,watery,wid,woody,ympodial	abaxial,adaxial,arrangement,branching,characteristic,colour,corolla,form,geminate,growth,height,history,inflorescence,length,life,midvein,na,ovary,pendent,perennial,plant,primary,pseudostipule,seed,shape,staman,tertiary,texture,unarmed,venation	.5,0.5-1,0.5-1.5,1,1-3,1.5,1.5-3,10-20,10-35,2-7,3-10,3-5,4-6,5-12,5-15,absent,acuminate,acute,asymmetrical,base,berry,beyond,brown,center,chartaceous,ciliate,cm,cordate,cordiform,decurrent,densely,dm,drying,edge,entire,equal,exserted,fine,flower,fruit,glabrous,globose,hair,herb,immature,leaf,leaving,linear-lanceolate,margin,maturing,membranaceous,mm,moderately,much-branched,nearly,often,palmately,parallel,per,petiole,pubescent,radiating,raised,ridge,running,semitransparent,shallow,slightly,solitary,sparsely,stamen,truncate,unbranched,white,x,yellow	geminate,na,pendent,perennial
