	coreid	status	nwords_original	nwords_result	nwords_val	nwords_recovered	nwords_omitted	nwords_created	nwords_recovered_val	nwords_created_val	common_words	original_only	result_only	common_words_val	val_only
0	wfo-0001025652	success	156	154	76	101	55	53	75	1	.3,.5,0.5-1,1,1-1.5,1.5-2,10-20,15-17,15-19,2-5,2-6,20-50,3-3.5,3-5-flowered,4,4-6,4-7,9-11,abruptly,acuminate,acute,anther,anthesi,apex,bark,base,bilobed,calyx,campanulate,cm,connate,corolla,decurrent,densely,elliptic,filament,fleshy,flower,fruit,furcate,glabrate,glabrous,green,greyish,growth,lateral,leaf,lobed,lower,main,margin,matte,minor,minutely,mm,narrowing,nearly,new,occasionally,opposite,ovary,ovoid-reniform,pair,pale,paler,papillose,parallel,pedicel,petiole,pinkish-grey,pitted,planar,plant,pore,poricidal,red-papillose,shape,shaped,shiny,shrub,simple,size,small,stem,stigma,strongly,style,surface,tan,tear-drop,tightly,tip,tree,tube,unit,vein,white,wing,winged,x,young	2-3,3-5,appearing,blade,broad,closed,closely,completely,dia,differing,difoliate,dry,eaf,edicel,eed,emerge,envelope,free,geminat,greyi,growing,irregular,like,live,lobe,lon,long,major,middle,minute,nflorescence,older,one,onto,overlappin,ovoid,papillae,papillo,portion,rather,ry,scar,soon,spaced,specimen,straight,tall,tapering,tear,thick,thicker,ud,wider,widest,ympodial	abaxial,adaxial,articulation,bract,branching,breeding,broad-based,cell,colour,connective,form,hair,height,heteromorphism,inflorescence,insertion,interjected,interpetalar,leaflet,length,marking,mature,na,needle-like,number,odour,orientation,pattern,placement,position,prickle,pseudostipule,rhizome,scale,seed,smell,spot,staman,stone,structure,symmetry,sympodial,system,texture,tissue,trichome,tuber,type,vegetative,venation,width,xylopodia,zygomorphy	.3,.5,0.5-1,1,1-1.5,1.5-2,10-20,15-17,15-19,2-5,2-6,20-50,3-3.5,3-5-flowered,4,4-6,4-7,9-11,abruptly,acuminate,acute,anthesi,base,bilobed,calyx,campanulate,cm,connate,decurrent,densely,elliptic,fleshy,furcate,glabrate,glabrous,green,greyish,lateral,leaf,lobed,main,matte,minutely,mm,narrowing,nearly,occasionally,opposite,ovoid-reniform,pair,pale,paler,papillose,parallel,pinkish-grey,pitted,planar,poricidal,red-papillose,shaped,shiny,shrub,simple,small,strongly,tan,tear-drop,tightly,tip,tree,tube,vein,white,winged,x	na
1	wfo-0001025657	success	239	110	51	67	172	43	50	1	/3,1-1.6,1.3-2,2-10,2.7-4.3,accrescent,anther,apex,articulated,ascending,base,berry,blade,bluish,blunt-tipped,branched,brown,calyx,chartaceous,cm,conical,cordate,corolla,dark,dried,entire,filament,fleshy,fruit,fruiting,hair,leaf,length,long,lower,margin,mixed,mm,multangulate,oblong,orbicular,pedicel,petiole,plurifoliate,pore,poricidal,pseudo-terminal,ray,ripe,scented,sessile,short-stalked,shrub,simple,somewhat,stellate,stem,strongly,surface,tip,tomentose-pubescent,tree,unarmed,unit,white,x,yellow	-2,0.1-0.4,0.2-0.4,0.5-2.5,1-1.1,1-1.3,1-3,1.2-1.5,1.5-1.8,1.7-1.9,12x,2-3.5,2.2-5.5,2.5-9.3,2/3,25-60,3-4,3-4.8,3-6,3.2-6,4-4.4,4-4.5,4-7,5-14,5-16,6-12,6-8,6.5-10,7-27,7-9,7-9.5,8-10.5,8.3-12,abaxially,acute,adaxially,ag,also,anthesi,apart,apparently,appearing,ark,around,axe,axillary,ba,branch,broadly,bud,capitat,central,closely,cylindrical,deltoid,dendritic-multangulat,dendritic-multangulate,dense,densely,diameter,directed,distally,due,eaf,earl,edge,eed,elliptic,especially,evident,exerted,expanded,exserted,farinose,few-rayed,flower,free,glabrous,glandula,glandular,granular,green,half,inserted,lanate-pubescent,lanceolate,lateral,lengthening,light,lobe,lobed,long-stalked,longitudinal,m.,magnification,main,midrib,minutely,narrowly,nearly,nflorescence,obtuse,occasional,often,older,open,orolla,ovat,ovate,ovate-lanceolate,overlapping,pale,part,parted,partly,peduncle,perfect,persistent,persistently,porrect-stellate,present,pubescence,pubescent,rachi,reportedly,reticulate-punctate,ruit,semi-ovate,short,short-,side,slightly,slit,soft,spaced,splitting,stamen,stellate-pubescent,stigma,stipitate-glandular,stipitate-multangulate,style,subcampanulate,subcoriaceous,suborbicular,suture,tall,tamen,tan,terete,thick-stalked,thickened,thin-stalked,time,tomentose,tomentum,transparent,tube,two-third,ud,unarme,upper,usually,vary,vein,velutinous-pubescent,way,weakly,wide,yellowish,ympodial,young	articulation,bract,branching,broad-based,cell,colour,form,growth,heteromorphism,inflorescence,insertion,interjected,interpetalar,leaflet,marking,mature,na,needle-like,odour,orientation,paired,placement,position,prickle,pseudostipule,rhizome,scale,shape,smell,spot,staman,stone,structure,symmetry,sympodial,texture,tissue,trichome,tuber,type,vegetative,xylopodia,zygomorphy	/3,1-1.6,1.3-2,2-10,2.7-4.3,accrescent,articulated,ascending,base,berry,blade,bluish,blunt-tipped,branched,brown,chartaceous,cm,conical,cordate,dark,dried,entire,fleshy,length,long,mixed,mm,multangulate,oblong,orbicular,plurifoliate,poricidal,pseudo-terminal,ray,ripe,scented,sessile,short-stalked,shrub,simple,somewhat,stellate,strongly,tip,tomentose-pubescent,tree,unarmed,white,x,yellow	na
2	wfo-0001025669	success	214	135	93	116	98	19	89	4	.5,0-7,0.1-0.3,1,1-10,1-2,1-2.2,1-4,1.3-4.2,1.4-2.5,13-35,2-3,2-4,2.2-6,2.2-6.5,2.4-7,3-5,3-7,4-6,9-24.5,absent,anther,base,blade,blue,broadly,brownish,cell,chartaceous,ciliate,clavate,cm,condition,corolla,diameter,digestion,dorsally,drying,edge,end,enzyme,extra,filament,flat,flower,folded,fresh,fruit,glabrous,globose,green,greenish,hair,herb,homostylous,honeycomb-shaped,interjected,lanceolate,lateral,leaflet,lengthening,lobe,long,margin,membranous,midrib,minute,minutely,mm,moderately,monochasium,mottled,obovate,odd-pinnate,one,orbicular,ovoid,pair,pedicel,peduncle,petiole,placed,plant,pore,poricidal,puberulent,pubescent,purple,rarely,removed,ripe,rotate,scale-like,seed,size,slightly,slit,sometimes,stem,stigma,straight,streaked,style,subglabrous,terminal,testal,tinged,tip,tube,tuber,typically,wall,white,whitish,wide,x	0-1,0-5,0.8-2.4,1-3,1.6-4.4,2,5-merou,abaxially,absen,acumen,acuminate,acute,adaxially,ag,along,alyx,apart,apex,apparently,articulation,axe,berry,capitat,clearly,connivent,contracted,covering,cuneate,decurrent,discussion,distal,distinct,eaf,eed,elliptic,erec,especially,exceeding,except,flowered,forming,geminat,glabrou,greatly,green-white,hair-like,half,highly,larger,like,living,lower,make,mucilaginous,multicellular,near,nflorescence,oblique,obtuse,often,orolla,ovate,perfect,petiolulate,petiolule,plurifoliate,proximal,reduced,rosette,rounded,ruit,see,sessile,seudostipule,short,single,spaced,species,specimen,stamen,ste,stolo,subequal,tall,tamen,tem,thick,throughout,tri-,truncate,unbranched,unequal,unit,unwinged,vary,wet,yellow,ympodial	5-merous,age,arrangement,calyx,capitate,colour,form,growth,height,inflorescence,leaf,length,placement,pseudostipule,shape,spacing,stolon,texture,type	.5,0-7,0.1-0.3,1,1-10,1-2,1-2.2,1-4,1.3-4.2,1.4-2.5,13-35,2-3,2-4,2.2-6,2.2-6.5,2.4-7,3-5,3-7,4-6,9-24.5,absent,base,blue,broadly,brownish,chartaceous,ciliate,clavate,cm,condition,corolla,digestion,dorsally,drying,end,enzyme,extra,flat,flower,folded,fresh,glabrous,globose,green,greenish,herb,homostylous,honeycomb-shaped,lanceolate,lateral,lengthening,long,membranous,minute,minutely,mm,moderately,monochasium,mottled,obovate,odd-pinnate,one,orbicular,ovoid,placed,pore,poricidal,puberulent,pubescent,purple,rarely,removed,ripe,rotate,scale-like,slightly,slit,sometimes,straight,streaked,subglabrous,tinged,tip,typically,wall,white,whitish,wide,x	5-merous,age,capitate,stolon
3	wfo-0001025697	success	181	174	89	114	67	60	85	4	-9,0-14,0.15-0.75,0.8-2,1-1.7,1-2,1-3,1.5-1.8,1.7-8.6,10-26,2-2.6,2-4,2-6,25-35,3-10,3-4,3-5,3-6,3.3-11,4-7.5,5.5-11.5,6.5-13.5,acumen,anther,apex,asymmetric,attenuate,base,basiscopic,berry,blade,blue,brownish,cell,clavate,cm,condition,coriaceous,corolla,dark,deep,diameter,digestion,distal,dorsally,drying,edge,elliptic,enzyme,filament,flat,flower,folded,forked,fresh,fruit,glabrescent,glabrous,globose,green,greenish,hair,half,herb,high,homostylous,honeycomb-shaped,interjected,lanceolate,lateral,leaf,leaflet,light,lilac,lobe,long,lower,medium,mm,odd-pinnate,ovate,ovoid,pair,pedicel,peduncle,pentagonal,petiole,plant,plurifoliate,pore,poricidal,purple,removed,rotate,rounded,seed,sessile,short,side,size,stigma,straight,stripe,style,terminal,testal,tip,tissue,tri-,tube,unit,wall,whitish,x	0.6-3.5,2-10.5,5-merou,abaxially,acuminate,acute,adaxiall,adaxially,ag,alyx,apart,apparently,articulated,axe,axillary,bud,capitat,connivent,covering,decreasing,decurrent,eaf,eed,erec,exceeding,geminat,generally,glabrou,green-white,hair-like,hal,lengthening,linear,living,make,mucilaginous,nflorescence,orbicular,orolla,perfect,petiolulate,rachi,ripe,ruit,seudostipule,slightly,slit,spaced,specimen,stamen,subequal,subglabrou,subtending,tall,tamen,tem,thick,throughout,toward,typically,unwinged,usually,vary,wet,wood,yellow,ympodial	abaxial,adaxial,appressed,arrangement,articulation,bract,branching,breeding,broad-based,calyx,capitate,colour,connective,form,fruiting,growth,height,heteromorphism,inflated,inflorescence,insertion,interpetalar,length,margin,marking,mature,modification,na,needle-like,odour,orientation,ovary,paired,pattern,placement,position,prickle,pseudostipule,rhizome,scale,shape,smell,spacing,spot,staman,stem,stone,structure,subglabrous,surface,symmetry,sympodial,system,texture,trichome,tuber,type,vegetative,woody,xylopodia	-9,0-14,0.15-0.75,0.8-2,1-1.7,1-2,1-3,1.5-1.8,1.7-8.6,10-26,2-2.6,2-4,2-6,25-35,3-10,3-4,3-5,3-6,3.3-11,4-7.5,5.5-11.5,6.5-13.5,asymmetric,attenuate,basiscopic,berry,blue,brownish,clavate,cm,condition,coriaceous,dark,deep,diameter,digestion,distal,dorsally,drying,elliptic,enzyme,flat,folded,forked,fresh,glabrescent,glabrous,globose,green,greenish,hair,half,herb,high,homostylous,honeycomb-shaped,lanceolate,lateral,light,lilac,long,medium,mm,odd-pinnate,ovate,ovoid,pentagonal,plurifoliate,poricidal,purple,removed,rotate,rounded,sessile,short,side,straight,stripe,terminal,tip,tissue,tri-,wall,whitish,x	capitate,na,subglabrous,woody
4	wfo-0001025699	success	181	118	53	68	113	50	51	2	1-1.5,1-2.5,1-3,1.5-2,1/3,4-5,acute,age,anther,apex,attenuate,base,becoming,berry,branching,calyx,cm,corolla,crystal,cup-shaped,densely,ellipsoid,entire,filament,fruiting,glabrous,globose,green,growth,inflorescence,leaf,leaf-opposed,leafy,lengthening,lobed,lower,margin,markedly,minutely,mm,papillose,pedicel,perfect,petiole,plurifoliate,pore,poricidal,rounded-sagittate,sand,shoot,short,simple,slightly,slit,somewhat,stem,surface,tangled,time,tip,tree,trichome,unit,way,white,white-spotted,x,½	.2,.5,0.5,1,1-2,1.5,10,15-20,2,2-2.5,2-6,2cm,3-15,3-3.5,3-5.5,3-8,499,5-8,5-winged,5.5-14,8-9,abaxially,absent,adaxially,almost,anthesi,apart,apparently,appearing,articulating,bark,brown,c.,campanulate,capitate,completely,conical,conspicuously,continuing,corrugate,dark,darker,deltate,diameter,difoliate,dorsal,dry,drying,eaf,eed,elliptic,erect,exerted,face,fide,flower,free,glabrou,grey-brown,immature,included,inclusion,inflorescenc,irregularly,lanceolate,leaving,less,lobe,midrib,narrowly,new,nflorescence,nodding,older,one,onto,ovary,oxalate,pair,pale,papillat,peduncle,peg,penden,per,portion,primary,red,reddish,reniform,reticulate-pitted,rounded,ruit,scar,small,spaced,stearn,stigma,straight,strongly,style,thickened,triangular,tube,ud,vein,wide,wing,winged,woody,yellow,ympodial,young	appressed,articulation,bract,breeding,broad-based,cell,colour,connective,corrugated,form,fruit,hair,heteromorphism,inflated,insertion,interjected,interpetalar,leaflet,length,marking,mature,modification,na,needle-like,odour,orientation,paired,pattern,placement,position,prickle,pseudostipule,rhizome,scale,shape,smell,spot,staman,stone,structure,symmetry,sympodial,system,texture,tissue,tuber,type,vegetative,xylopodia,zygomorphy	1-1.5,1-2.5,1-3,1.5-2,1/3,4-5,acute,age,attenuate,base,becoming,berry,cm,crystal,cup-shaped,densely,ellipsoid,entire,glabrous,globose,green,leaf-opposed,leafy,lengthening,lobed,markedly,minutely,mm,papillose,perfect,plurifoliate,pore,poricidal,rounded-sagittate,sand,shoot,short,simple,slightly,slit,somewhat,tangled,time,tip,tree,trichome,way,white,white-spotted,x,½	corrugated,na
5	wfo-0001025700	success	189	174	96	116	73	58	93	3	0-16,0.30-2.0,0.5-2,0.7-2.7,0.8-2.6,1-3,1.5-2,10-40,10.5-12,15-40,2-12,2-7,2.5-4,3-8,3.5-10.5,4-5,5-15,5-20,5.3-17.5,5.5-18,5.5-8,9-31,abaxially,acumen,adaxially,anther,apex,articulated,attenuate,axillary,base,berry,blade,brownish,bud,cell,chartaceous,clavate,cm,condition,corolla,covering,diameter,distal,dot,drying,filament,flower,forked,fresh,fruit,glabrescent,glabrous,globose,green,green-white,greenish,hair,hair-like,half,herb,high,homostylous,interjected,lanceolate,lateral,leaf,leaflet,lilac,lobe,long,lower,make,medium,mm,mucilaginous,narrowly,odd-pinnate,ovoid,pedicel,peduncle,pentagonal,petiole,petiolulate,plant,plurifoliate,pore,poricidal,purple,ripe,rotate-pentagonal,rounded,seed,short,size,sometimes,stigma,straight,style,subtending,terminal,testal,thick,throughout,tip,tissue,tri-,tube,unit,unwinged,wall,wet,white,whitish,winged,x	0.8-4,1-2,1.1-2.3,3-4,3.7-8.6,5-merou,acuman,acuminate,acute,ag,alyx,apiculate,apparently,asymmetric,axe,basal,basiscopic,capitat,connivent,considerably,decrease,decreasing,digestion,dorsally,eaf,edge,eed,elliptic,enzyme,erec,exceeding,except,flat,folded,geminat,generally,glabrou,hal,honeycomb-shaped,larger,lengthening,light,linear,living,nflorescence,orbicular,orolla,ovate,pair,par,perfect,proximal,removed,ruit,sessile,seudostipule,side,slightly,slit,specimen,stamen,subequal,subglabrou,tall,tamen,tem,toward,typically,usually,vary,whose,yellow,ympodial	appressed,arrangement,articulation,bract,branching,breeding,broad-based,calyx,capitate,colour,connective,form,fruiting,growth,height,heteromorphism,inflated,inflorescence,insertion,interpetalar,length,margin,marking,mature,modification,na,needle-like,number,odour,orientation,ovary,paired,pattern,placement,position,prickle,pseudostipule,rhizome,scale,shape,smell,spot,staman,stem,stone,structure,subglabrous,surface,symmetry,sympodial,system,texture,trichome,tuber,type,vegetative,winging,xylopodia	0-16,0.30-2.0,0.5-2,0.7-2.7,0.8-2.6,1-3,1.5-2,10-40,10.5-12,15-40,2-12,2-7,2.5-4,3-8,3.5-10.5,4-5,5-15,5-20,5.3-17.5,5.5-18,5.5-8,9-31,abaxially,acumen,adaxially,articulated,attenuate,axillary,berry,brownish,bud,cell,chartaceous,clavate,cm,condition,corolla,covering,diameter,distal,dot,drying,forked,fresh,glabrescent,glabrous,globose,green,green-white,greenish,hair,hair-like,half,herb,high,homostylous,lanceolate,lateral,lilac,long,make,medium,mm,mucilaginous,narrowly,odd-pinnate,ovoid,pentagonal,petiolulate,plurifoliate,poricidal,purple,ripe,rotate-pentagonal,rounded,seed,short,sometimes,straight,subtending,terminal,testal,thick,throughout,tip,tri-,unwinged,wall,wet,white,whitish,winged,x	capitate,na,subglabrous
6	wfo-0001025704	success	247	114	59	69	178	45	56	3	/6,1.2-3,1/2-4/5,2-3,4.5-6.5,8-17,andromonoecious,anther,apex,articulated,auriculate,base,berry,branched,calyx,cell,chartaceous,cm,connivent,cordate,covering,curved,ellipsoid,elongating,equal,evenly,filament,fruit,fruiting,green,green-yellow,lateral,leaf,length,less,lobed,long,lower,margin,mature,maturity,mauve,mm,occasionally,pedicel,petiole,poricidal,prickle,rarely,shape,shrub,small,sometimes,spherical,stellate,stem,straight,surface,tapering,terminal,tip,tree,truncate,unbranched,unit,way,white,yellow,young	0-10,0-100,0-2,0-3.5,0-5,0.1,0.1-0.3,0.1-0.5,0.15-0.8,0.3-0.8,0.5-1.5,0.7-1,1,1-2,1-3,1-3.5,1-4,1-5,1-6,1.5-2,1.5-3.2,1.5-4.5,1.8-3.5,1/4-3/4,1/5,2,2-10,2-4.5,2-5,2-7,2.5-4.5,2.7-4,3-10,3-15,3-5,3-6,4-12,4-5,5-20,5-merous,6-12,6-15,8-12,8-15,abaxial,abaxially,acute,adaxial,age,almost,alyx,apar,apart,apically,apiculate,apparently,axe,ba,bark,blade,broad-deltate,brow,deltate,densely,development,diameter,discolorous,distal,distance,drying,eaf,eed,elliptic,end,erect,extending,flattened,flattened-reniform,flower,free,glabrescent,glabrous,gray,half,hermaphrodite,heterostylous,infructescence,irregular,lobe,lobing,long-styled,longer,lowermost,midpoint,midvein,moderately,multangulate,near,nflorescence,obtuse,often,older,one,open,orange,orange-brown,orolla,oung,outline,ovate,pair,pale,peduncle,pendulous,per,pericarp,pit,plant,plurifoliat,porrect,portion,prickl,prickly,primary,prominent,raised,ray,recurved,red-brown,red-green,reflexed,retaining,round,rounded,ruit,scar,secondary,sessile,short-styled,shorter,side,slender,smooth,somewhat,spaced,sparsely,spreading,stalk,stalked,staminat,stellate-pubescen,stellate-pubescent,stout,strongly,style,tamen,terete,tertiary,throughout,time,trichome,tube,unarmed,upper,variously,vary,vein,venation,visible,warty,white-gray,wide,widening,woody,yellow-green,yellowish,ympodial,×	appressed,articulation,bract,branching,breeding,colour,connective,corolla,form,growth,hair,heteromorphism,inflated,inflorescence,insertion,interjected,interpetalar,leaflet,marking,modification,na,needle-like,odour,orientation,paired,pattern,placement,plurifoliate,pore,position,pseudostipule,rhizome,scale,spot,staman,stone,structure,symmetry,sympodial,system,texture,tissue,tuber,type,xylopodia	/6,1.2-3,1/2-4/5,2-3,4.5-6.5,8-17,andromonoecious,articulated,auriculate,base,berry,branched,chartaceous,cm,connivent,cordate,covering,curved,ellipsoid,elongating,equal,evenly,fruit,green,green-yellow,lateral,leaf,less,lobed,long,lower,mature,maturity,mauve,mm,occasionally,poricidal,rarely,shrub,small,sometimes,spherical,stellate,stem,straight,surface,tapering,terminal,tip,tree,truncate,unbranched,way,white,yellow,young	na,needle-like,plurifoliate
7	wfo-0001025729	success	177	159	83	104	73	55	80	3	.5,/4,0.25-0.5,0.7-1.2,1-1.5,1-5,1.75,2,2-3.5,3-6,4-5,4-8,5-50-flowered,6-8,9-17,abaxial,abaxially,acute,adaxially,anther,apex,apiculate,axil,bark,base,blackish,bud,calyx,cm,corolla,covering,deflexed,densely,dia,difoliate,dirty,drying,elliptic,filament,flattened-reniform,fruiting,furcate,glabrous,globose,green,greenish-yellow,greyish-brown,lamina,lateral,leaf,lobed,long,lower,main,margin,member,minor,minutely,mm,oblique,occasionally,opposite,ovary,overlapping,pair,pale,papillose,pedicel,petiole,pit,pitted,plant,pore,pubescent,ripening,rounded,scar,shaped,shiny,short,simple,size,sparsely,stem,stigma,stout,style,surface,tear-drop,tip,touching,tree,treelet,trichome,tuft,uniseriate,unit,usually,vein,way,white,woody,x,yellow	-20,1.1-1.5,1.2-1.8,1.5-2,20,7-8,abrupt,along,anthesi,apar,apical,appearing,basal,berry,black,branched,bright,bristly,covered,cyathiform,dark,deltoid,denser,diam,differing,eaf,edicel,eed,enclosed,expanded,f,fleshy,free,geminat,gently,glabrou,growing,incrassate,lat,like,live,lobe,lon,m.,mainly,major,middle,minute,nflorescence,often,older,one,overtopping,papillo,partially,poricidal,portion,prominent,quite,raised,reflexed,ruit,straight,tall,tapering,terminal,tub,tube,ud,widening,widest,ympodial,young	4-20,articulation,bract,branching,breeding,broad-based,cell,colour,connective,flower,form,fruit,geminate,growth,hair,height,heteromorphism,inflorescence,insertion,interjected,interpetalar,leaflet,length,marking,mature,modification,na,needle-like,number,odour,orientation,pattern,placement,position,prickle,pseudostipule,rhizome,scale,seed,shape,smell,spot,staman,stone,structure,symmetry,sympodial,system,texture,tissue,tuber,type,vegetative,xylopodia,zygomorphy	.5,/4,0.25-0.5,0.7-1.2,1-1.5,1-5,1.75,2,2-3.5,3-6,4-5,4-8,5-50-flowered,6-8,9-17,abaxial,acute,apiculate,axil,base,blackish,bud,cm,covering,deflexed,densely,dia,difoliate,dirty,drying,elliptic,flattened-reniform,furcate,glabrous,globose,green,greenish-yellow,greyish-brown,lamina,lateral,leaf,lobed,long,main,member,minutely,mm,oblique,occasionally,opposite,overlapping,pair,pale,papillose,pit,pitted,pubescent,ripening,rounded,shaped,shiny,short,simple,sparsely,stout,tear-drop,tip,touching,tree,treelet,trichome,tuft,uniseriate,usually,vein,way,white,woody,x,yellow	4-20,geminate,na
8	wfo-0001025749	success	215	142	77	101	114	41	74	3	0-5,0.1,0.1-0.4,0.2-1.5,0.3-1.5,0.5-1,0.5-3,0.8-0.9,1,1-10,1-13,2-10,2.5-6,3-20,5-10-12,5-20,5-6-8,abaxial,adaxial,anther,apart,apex,articulated,bark,base,berry,branched,calyx,chartaceous,cm,cuneate,curved,dark,difoliate,dull,elongating,equal,flattened,flattened-reniform,flower,fruit,fruiting,gently,glabrescent,glabrous,gray,green-brown,lateral,leaf,length,light,lobed,long,lower,margin,markedly,maturity,mauve,midpoint,mm,narrow-deltate,orange-brown,orange-red,orbicular,ovate,pale,pedicel,peduncle,per,petiole,poricidal,prickle,rarely,ray,red-brown,reduced,rounded,scar,shorter,shrub,sometimes,spaced,spherical,spreading,stalk,stellate-pubescent,stem,straight,straw-yellow,style,surface,tapering,tip,trichome,unit,white,wide,yellow,yellow-green,yellow-orange,yellowish	.5,/5,0-10,0-3,0-6,0-8,0.1-0.2,0.1-0.3,0.2,0.4-0.7,0.5-0.8,0.5-0.9,0.5-1.3,0.6-4.5,1-2,1-3,1-6,1-8.5,1-9,1.5,1.5-2,1.5-2.5,1/4-1/3,1/5-1/2,2-2.5,2/3,3-5,4-8,5-merous,6-8,abaxially,acuminat,acute,adaxially,adnate,almost,alyx,apar,apically,apparently,blade,broad-deltate,concolorous,densely,diameter,discolorous,distance,drying,eaf,eed,erect,extending,filament,filiform,free,geminat,herbaceous,indistinct,infructescence,lobe,lon,long-ovate,longer,magnification,mature,midvein,moderately,narrow-ovate,nflorescence,oblong,obtuse,occasionally,older,one,open,orange-brow,orolla,oung,pair,pendulous,perfec,pericarp,porrect,portion,prickl,prickly,primary,procumbent,purple,recurved,ruit,sessile,side,smooth,sparsely,stalked,stellate,strongly,tamen,terete,tertiary,time,toward,tube,usually,variously,vary,vein,venation,visible,way,without,ympodial,½-2/	articulation,bract,branching,broad-based,colour,corolla,form,geminate,growth,hair,height,heteromorphism,inflorescence,insertion,interjected,interpetalar,leaflet,na,needle-like,number,odour,orientation,ovary,placement,plant,position,scale,seed,shape,smell,spacing,staman,structure,symmetry,sympodial,texture,tissue,type,vegetative,width,zygomorphy	0-5,0.1,0.1-0.4,0.2-1.5,0.3-1.5,0.5-1,0.5-3,0.8-0.9,1,1-10,1-13,2-10,2.5-6,3-20,5-10-12,5-20,5-6-8,apart,articulated,base,berry,branched,chartaceous,cm,cuneate,curved,dark,difoliate,dull,elongating,equal,flattened,flattened-reniform,gently,glabrescent,glabrous,gray,green-brown,lateral,light,lobed,long,markedly,maturity,mauve,mm,narrow-deltate,orange-brown,orange-red,orbicular,ovate,pale,per,poricidal,rarely,red-brown,rounded,shrub,sometimes,spaced,spherical,spreading,stellate-pubescent,straight,straw-yellow,surface,tapering,tip,white,wide,yellow,yellow-green,yellow-orange,yellowish	geminate,na,zygomorphy
9	wfo-0001025754	success	164	133	66	78	86	55	62	4	-celled,.5,0.5-1,0.5-1.5,1,1-2,1-3,1.5,1.5-3,10-20,10-35,2-4,2-foliate,3-10,4,4-6,5-12,5-15,abundant,acuminate,acute,anther,apex,asymmetrical,base,berry,brown,calyx,center,chartaceous,ciliate,cm,cordate,cordiform,diameter,drying,edge,eglandular,entire,filament,fine,flower,fruit,glabrous,globose,hair,herb,immature,interpetalar,leaf,margin,maturing,membranaceous,mm,much-branched,oblong,parallel,pedicel,per,petiole,radiating,raised,ridge,rotate,running,semitransparent,shallow,solitary,stigma,style,surface,tissue,truncate,unbranched,unit,white,x,yellow	0.1-0.2,1-3.5,1.5-4,2-5-celled,2-7,3-5,3-6,abaxially,absent,adaxiall,adaxially,along,axe,barely,beyond,blade,branch,connected,decumbent,decurrent,dehiscing,densely,denser,dm,dried,eaf,eed,emarginat,equal,erect,explosively,exserted,flat,geminat,glandular,held,leaving,like,linear-lanceolate,lobe,long,lower,lying,main,material,maturit,mesocarp,mixed,moderately,nearly,nfloresence,notch,often,orolla,palmately,peduncle,penden,placenta,pressure,probably,pubescen,pubescent,rachi,ruit,short,slightly,small,sometimes,sparsely,stamen,stem,straight,swollen,tal,tamen,tem,triangular,tube,upright,vary,vein,visible,watery,wid,woody,ympodial	abaxial,appressed,arrangement,articulation,bract,branching,breeding,cell,colour,connective,corolla,form,fruiting,geminate,growth,heteromorphism,inflated,inflorescence,insertion,interjected,leaflet,length,marking,mature,modification,na,number,odour,orientation,ovary,paired,pattern,pendent,placement,pore,position,prickle,pseudostipule,rhizome,scale,seed,shape,spot,staman,stone,structure,symmetry,sympodial,system,texture,tuber,type,width,xylopodia,zygomorphy	-celled,.5,0.5-1,0.5-1.5,1,1-2,1-3,1.5,1.5-3,10-20,10-35,2-4,2-foliate,3-10,4,4-6,5-12,5-15,abundant,acuminate,acute,asymmetrical,berry,brown,center,chartaceous,ciliate,cm,cordate,cordiform,drying,edge,eglandular,entire,fine,flower,fruit,glabrous,globose,hair,herb,immature,margin,maturing,membranaceous,mm,much-branched,oblong,parallel,radiating,raised,ridge,rotate,running,semitransparent,shallow,solitary,truncate,unbranched,white,x,yellow	geminate,na,pendent,zygomorphy
