	coreid	status	nwords_original	nwords_result	nwords_val	nwords_recovered	nwords_omitted	nwords_created	nwords_recovered_val	nwords_created_val	common_words	original_only	result_only	common_words_val	val_only
0	wfo-0001025652	success	156	113	70	90	66	23	68	2	.3,.5,0.5-1,1,1.5-2,10-20,15-19,2-6,20-50,3-5,4,4-7,9-11,abruptly,acuminate,acute,anther,anthesi,apex,bark,base,bilobed,calyx,closed,closely,cm,completely,connate,corolla,decurrent,densely,elliptic,envelope,filament,fleshy,flower,fruit,furcate,glabrate,green,greyish,growth,irregular,leaf,lobe,matte,minor,minute,minutely,mm,narrowing,new,occasionally,onto,opposite,ovary,ovoid,ovoid-reniform,papillose,pedicel,petiole,pinkish-grey,pitted,planar,plant,pore,poricidal,red-papillose,scar,shape,shaped,shrub,simple,size,small,spaced,stem,stigma,strongly,style,surface,tear-drop,tightly,tip,tree,tube,white,winged,x,young	1-1.5,15-17,2-3,2-5,3-3.5,3-5-flowered,4-6,appearing,blade,broad,campanulate,dia,differing,difoliate,dry,eaf,edicel,eed,emerge,free,geminat,glabrous,greyi,growing,lateral,like,live,lobed,lon,long,lower,main,major,margin,middle,nearly,nflorescence,older,one,overlappin,pair,pale,paler,papillae,papillo,parallel,portion,rather,ry,shiny,soon,specimen,straight,tall,tan,tapering,tear,thick,thicker,ud,unit,vein,wider,widest,wing,ympodial	arrangement,bud,colour,connation,decurrency,feature,form,height,history,inflorescence,length,life,na,number,overlapping,papilla,reproduction,seed,spacing,texture,type,width,winging	.3,.5,0.5-1,1,1.5-2,10-20,15-19,2-6,20-50,3-5,4,4-7,9-11,abruptly,acuminate,acute,anthesi,bilobed,calyx,closed,closely,cm,completely,connate,decurrent,densely,elliptic,envelope,fleshy,flower,furcate,glabrate,green,greyish,irregular,leaf,matte,minute,minutely,mm,narrowing,occasionally,onto,opposite,ovoid,ovoid-reniform,papillose,petiole,pinkish-grey,pitted,planar,poricidal,red-papillose,shape,shaped,shrub,simple,small,spaced,strongly,tear-drop,tightly,tip,tree,tube,white,winged,x	na,overlapping
1	wfo-0001025657	success	239	115	67	84	155	31	63	4	1-1.1,1-1.3,1-3,1.2-1.5,1.3-2,1.7-1.9,2-10,25-60,3-4.8,3-6,4-4.4,4-4.5,5-14,6-12,7-27,acute,anther,apex,base,berry,bluish,blunt-tipped,branched,brown,bud,calyx,cm,conical,cordate,corolla,dark,deltoid,dendritic-multangulate,dried,elliptic,filament,fleshy,flower,free,fruit,glandular,granular,green,hair,lanate-pubescent,leaf,length,lobe,long-stalked,mixed,mm,multangulate,narrowly,oblong,orbicular,ovate,ovate-lanceolate,pedicel,petiole,pore,poricidal,pseudo-terminal,reticulate-punctate,ripe,short-,shrub,simple,soft,stellate,stem,stigma,style,subcampanulate,suborbicular,surface,tip,tomentose,tree,tube,white,x,yellow,yellowish,young	-2,/3,0.1-0.4,0.2-0.4,0.5-2.5,1-1.6,1.5-1.8,12x,2-3.5,2.2-5.5,2.5-9.3,2.7-4.3,2/3,3-4,3.2-6,4-7,5-16,6-8,6.5-10,7-9,7-9.5,8-10.5,8.3-12,abaxially,accrescent,adaxially,ag,also,anthesi,apart,apparently,appearing,ark,around,articulated,ascending,axe,axillary,ba,blade,branch,broadly,capitat,central,chartaceous,closely,cylindrical,dendritic-multangulat,dense,densely,diameter,directed,distally,due,eaf,earl,edge,eed,entire,especially,evident,exerted,expanded,exserted,farinose,few-rayed,fruiting,glabrous,glandula,half,inserted,lanceolate,lateral,lengthening,light,lobed,long,longitudinal,lower,m.,magnification,main,margin,midrib,minutely,nearly,nflorescence,obtuse,occasional,often,older,open,orolla,ovat,overlapping,pale,part,parted,partly,peduncle,perfect,persistent,persistently,plurifoliate,porrect-stellate,present,pubescence,pubescent,rachi,ray,reportedly,ruit,scented,semi-ovate,sessile,short,short-stalked,side,slightly,slit,somewhat,spaced,splitting,stamen,stellate-pubescent,stipitate-glandular,stipitate-multangulate,strongly,subcoriaceous,suture,tall,tamen,tan,terete,thick-stalked,thickened,thin-stalked,time,tomentose-pubescent,tomentum,transparent,two-third,ud,unarme,unarmed,unit,upper,usually,vary,vein,velutinous-pubescent,way,weakly,wide,ympodial	arrangement,capitate,colour,connation,decurrency,feature,form,growth,height,history,inflorescence,life,minor,new,number,ovary,papilla,perennial,plant,reproduction,scar,seed,shape,size,spacing,texture,tommentose-pubescent,type,unknown,width,winging	1-1.1,1-1.3,1-3,1.2-1.5,1.3-2,1.7-1.9,2-10,25-60,3-4.8,3-6,4-4.4,4-4.5,5-14,6-12,7-27,acute,berry,bluish,blunt-tipped,branched,brown,cm,conical,cordate,dark,deltoid,dendritic-multangulate,dried,elliptic,fleshy,free,glandular,granular,green,hair,lanate-pubescent,long-stalked,mixed,mm,multangulate,narrowly,oblong,orbicular,ovate,ovate-lanceolate,poricidal,pseudo-terminal,reticulate-punctate,ripe,short-,shrub,simple,soft,stellate,subcampanulate,suborbicular,tip,tomentose,tree,white,x,yellow,yellowish	capitate,perennial,tommentose-pubescent,unknown
2	wfo-0001025669	success	214	126	78	91	123	35	73	5	.5,0.1-0.3,1-10,1-2,1-2.2,1-4,13-35,2,2-4,2.2-6,3-7,9-24.5,acuminate,acute,anther,apart,apex,base,berry,blue,broadly,cell,clavate,cm,connivent,corolla,covering,cuneate,decurrent,diameter,distinct,filament,flower,fruit,glabrous,globose,green,hair,hair-like,herb,lanceolate,lateral,lengthening,like,lobe,long,mm,moderately,monochasium,mottled,oblique,obtuse,odd-pinnate,orbicular,ovate,ovoid,pedicel,petiole,petiolulate,plant,pore,poricidal,pubescent,purple,rarely,ripe,rotate,rounded,seed,sessile,size,slightly,slit,sometimes,species,stem,stigma,streaked,style,subglabrous,testal,thick,tinged,tip,truncate,tube,typically,unwinged,wall,white,yellow	0-1,0-5,0-7,0.8-2.4,1,1-3,1.3-4.2,1.4-2.5,1.6-4.4,2-3,2.2-6.5,2.4-7,3-5,4-6,5-merou,abaxially,absen,absent,acumen,adaxially,ag,along,alyx,apparently,articulation,axe,blade,brownish,capitat,chartaceous,ciliate,clearly,condition,contracted,digestion,discussion,distal,dorsally,drying,eaf,edge,eed,elliptic,end,enzyme,erec,especially,exceeding,except,extra,flat,flowered,folded,forming,fresh,geminat,glabrou,greatly,green-white,greenish,half,highly,homostylous,honeycomb-shaped,interjected,larger,leaflet,living,lower,make,margin,membranous,midrib,minute,minutely,mucilaginous,multicellular,near,nflorescence,obovate,often,one,orolla,pair,peduncle,perfect,petiolule,placed,plurifoliate,proximal,puberulent,reduced,removed,rosette,ruit,scale-like,see,seudostipule,short,single,spaced,specimen,stamen,ste,stolo,straight,subequal,tall,tamen,tem,terminal,throughout,tri-,tuber,unbranched,unequal,unit,vary,wet,whitish,wide,x,ympodial	age,arrangement,bud,calyx,capitate,colour,connation,decurrency,feature,form,geminate,growth,height,history,inflorescence,leaf,length,life,minor,na,new,number,ovary,papilla,perennial,reproduction,scar,shape,spacing,surface,texture,type,width,winging,young	.5,0.1-0.3,1-10,1-2,1-2.2,1-4,13-35,2,2-4,2.2-6,3-7,9-24.5,acuminate,acute,apart,berry,blue,broadly,cell,clavate,cm,connivent,covering,cuneate,decurrent,distinct,glabrous,globose,green,hair,hair-like,herb,lanceolate,lateral,lengthening,like,long,mm,moderately,monochasium,mottled,oblique,obtuse,odd-pinnate,orbicular,ovate,ovoid,petiolulate,poricidal,pubescent,purple,rarely,ripe,rotate,rounded,sessile,slightly,slit,sometimes,species,stem,streaked,subglabrous,testal,thick,tinged,tip,truncate,typically,unwinged,wall,white,yellow	age,capitate,geminate,na,perennial
3	wfo-0001025697	success	181	105	69	81	100	24	65	4	-9,0-14,0.15-0.75,0.6-3.5,1-1.7,1-2,1-3,1.5-1.8,10-26,2-10.5,2-2.6,2-6,3-10,3-4,3-6,3.3-11,4-7.5,5.5-11.5,6.5-13.5,anther,axillary,blade,blue,bud,cell,clavate,cm,connivent,coriaceous,corolla,covering,dark,deep,diameter,elliptic,flower,forked,fruit,glabrescent,glabrous,globose,green,hair-like,herb,homostylous,interjected,lanceolate,lateral,leaf,leaflet,light,lilac,lobe,long,medium,mm,odd-pinnate,ovate,ovoid,pentagonal,petiole,plant,poricidal,purple,ripe,rotate,seed,size,stigma,straight,stripe,style,subtending,terminal,testal,thick,tip,tube,wall,x,yellow	0.8-2,1.7-8.6,2-4,25-35,3-5,5-merou,abaxially,acumen,acuminate,acute,adaxiall,adaxially,ag,alyx,apart,apex,apparently,articulated,asymmetric,attenuate,axe,base,basiscopic,berry,brownish,capitat,condition,decreasing,decurrent,digestion,distal,dorsally,drying,eaf,edge,eed,enzyme,erec,exceeding,filament,flat,folded,fresh,geminat,generally,glabrou,green-white,greenish,hair,hal,half,high,honeycomb-shaped,lengthening,linear,living,lower,make,mucilaginous,nflorescence,orbicular,orolla,pair,pedicel,peduncle,perfect,petiolulate,plurifoliate,pore,rachi,removed,rounded,ruit,sessile,seudostipule,short,side,slightly,slit,spaced,specimen,stamen,subequal,subglabrou,tall,tamen,tem,throughout,tissue,toward,tri-,typically,unit,unwinged,usually,vary,wet,whitish,wood,ympodial	5-merous,abaxial,adaxial,arrangement,calyx,capitate,colour,connation,feature,form,growth,height,inflorescence,length,number,ovary,pseudostipule,shape,stem,subglabrous,surface,texture,type,woody	-9,0-14,0.15-0.75,0.6-3.5,1-1.7,1-2,1-3,1.5-1.8,10-26,2-10.5,2-2.6,2-6,3-10,3-4,3-6,3.3-11,4-7.5,5.5-11.5,6.5-13.5,axillary,blue,bud,cell,clavate,cm,connivent,coriaceous,covering,dark,deep,diameter,elliptic,forked,glabrescent,glabrous,globose,green,hair-like,herb,homostylous,lanceolate,lateral,light,lilac,long,medium,mm,odd-pinnate,ovate,ovoid,pentagonal,poricidal,purple,ripe,rotate,straight,stripe,subtending,terminal,testal,thick,tip,wall,x,yellow	5-merous,capitate,subglabrous,woody
4	wfo-0001025699	success	181	123	67	86	95	37	62	5	0.5,1,1-2,1-2.5,1.5-2,1/3,10,15-20,2,2-6,3-15,3-3.5,3-8,5-winged,5.5-14,8-9,acute,age,anther,anthesi,apart,apex,attenuate,base,becoming,berry,calyx,capitate,cm,corolla,cup-shaped,dry,ellipsoid,elliptic,filament,flower,glabrous,globose,green,grey-brown,growth,immature,inflorescence,lanceolate,leaf,leaf-opposed,leafy,lengthening,less,lobe,lobed,minutely,mm,narrowly,new,ovary,pale,pedicel,petiole,pore,poricidal,reniform,reticulate-pitted,rounded,rounded-sagittate,scar,shoot,short,simple,slightly,slit,somewhat,stem,stigma,style,surface,tip,tree,triangular,tube,way,white,woody,x,young,½	.2,.5,1-1.5,1-3,1.5,2-2.5,2cm,3-5.5,4-5,499,5-8,abaxially,absent,adaxially,almost,apparently,appearing,articulating,bark,branching,brown,c.,campanulate,completely,conical,conspicuously,continuing,corrugate,crystal,dark,darker,deltate,densely,diameter,difoliate,dorsal,drying,eaf,eed,entire,erect,exerted,face,fide,free,fruiting,glabrou,included,inclusion,inflorescenc,irregularly,leaving,lower,margin,markedly,midrib,nflorescence,nodding,older,one,onto,oxalate,pair,papillat,papillose,peduncle,peg,penden,per,perfect,plurifoliate,portion,primary,red,reddish,ruit,sand,small,spaced,stearn,straight,strongly,tangled,thickened,time,trichome,ud,unit,vein,white-spotted,wide,wing,winged,yellow,ympodial	1.2,3,arrangement,bud,coat,colour,connation,decurrency,embryo,feature,form,fruit,height,history,length,life,midpoint,minor,na,number,papilla,papillate,pendent,plant,prickle,ray,reproduction,seed,shape,size,spacing,specimen,texture,tuberculation,type,width,winging	0.5,1,1-2,1-2.5,1.5-2,1/3,10,15-20,2,2-6,3-15,3-3.5,3-8,5-winged,5.5-14,8-9,acute,age,apart,attenuate,base,becoming,berry,capitate,cm,cup-shaped,ellipsoid,elliptic,glabrous,globose,green,grey-brown,immature,lanceolate,leaf-opposed,leafy,lengthening,less,lobed,minutely,mm,narrowly,pale,poricidal,reniform,reticulate-pitted,rounded,rounded-sagittate,shoot,short,simple,slightly,slit,somewhat,tip,tree,triangular,way,white,woody,x,½	1.2,3,na,papillate,pendent
5	wfo-0001025700	success	189	86	46	60	129	26	43	3	0.30-2.0,0.5-2,0.8-2.6,1-2,1.5-2,10-40,10.5-12,15-40,2-12,2-7,2.5-4,3-8,5-15,5-20,5.3-17.5,5.5-18,5.5-8,9-31,anther,apiculate,chartaceous,clavate,cm,connivent,corolla,diameter,dot,elliptic,filament,flower,fruit,glabrous,globose,green,greenish,herb,lanceolate,lateral,leaf,light,lobe,medium,mm,odd-pinnate,ovate,ovoid,pedicel,peduncle,pentagonal,petiole,plant,purple,rotate-pentagonal,seed,size,stigma,style,terminal,tube,whitish	0-16,0.7-2.7,0.8-4,1-3,1.1-2.3,3-4,3.5-10.5,3.7-8.6,4-5,5-merou,abaxially,acuman,acumen,acuminate,acute,adaxially,ag,alyx,apex,apparently,articulated,asymmetric,attenuate,axe,axillary,basal,base,basiscopic,berry,blade,brownish,bud,capitat,cell,condition,considerably,covering,decrease,decreasing,digestion,distal,dorsally,drying,eaf,edge,eed,enzyme,erec,exceeding,except,flat,folded,forked,fresh,geminat,generally,glabrescent,glabrou,green-white,hair,hair-like,hal,half,high,homostylous,honeycomb-shaped,interjected,larger,leaflet,lengthening,lilac,linear,living,long,lower,make,mucilaginous,narrowly,nflorescence,orbicular,orolla,pair,par,perfect,petiolulate,plurifoliate,pore,poricidal,proximal,removed,ripe,rounded,ruit,sessile,seudostipule,short,side,slightly,slit,sometimes,specimen,stamen,straight,subequal,subglabrou,subtending,tall,tamen,tem,testal,thick,throughout,tip,tissue,toward,tri-,typically,unit,unwinged,usually,vary,wall,wet,white,whose,winged,x,yellow,ympodial	abaxial,adaxial,arrangement,calyx,capitate,colour,connation,feature,form,growth,height,history,inflorescence,length,life,na,number,ovary,pseudostipule,reproduction,shape,stem,subglabrous,surface,texture,width	0.30-2.0,0.5-2,0.8-2.6,1-2,1.5-2,10-40,10.5-12,15-40,2-12,2-7,2.5-4,3-8,5-15,5-20,5.3-17.5,5.5-18,5.5-8,9-31,apiculate,chartaceous,clavate,cm,connivent,dot,elliptic,glabrous,globose,green,greenish,herb,lanceolate,lateral,light,medium,mm,odd-pinnate,ovate,ovoid,pentagonal,purple,rotate-pentagonal,terminal,whitish	capitate,na,subglabrous
6	wfo-0001025704	success	247	142	91	109	138	33	89	2	0.1-0.3,0.3-0.8,0.5-1.5,0.7-1,1-3.5,1-4,1-6,1.2-3,1/2-4/5,1/5,2-10,2-3,2-4.5,2-5,2.7-4,3-10,3-15,3-5,3-6,4-12,4-5,5-20,6-12,8-15,8-17,acute,almost,anther,apart,apex,articulated,auriculate,base,berry,branched,broad-deltate,calyx,cell,cm,connivent,cordate,curved,densely,ellipsoid,erect,evenly,filament,flattened,flattened-reniform,flower,fruit,glabrous,green,green-yellow,lateral,leaf,length,lobe,lobed,long,maturity,mauve,midpoint,mm,occasionally,orange,orange-brown,outline,pedicel,petiole,pit,plant,poricidal,prickle,prickly,prominent,raised,rarely,ray,round,scar,shape,shrub,small,smooth,sometimes,sparsely,spherical,spreading,stellate-pubescent,stem,straight,strongly,style,surface,tapering,terminal,tip,tree,truncate,tube,unarmed,unbranched,upper,way,white,yellow,young,×	/6,0-10,0-100,0-2,0-3.5,0-5,0.1,0.1-0.5,0.15-0.8,1,1-2,1-3,1-5,1.5-2,1.5-3.2,1.5-4.5,1.8-3.5,1/4-3/4,2,2-7,2.5-4.5,4.5-6.5,5-merous,6-15,8-12,abaxial,abaxially,adaxial,age,alyx,andromonoecious,apar,apically,apiculate,apparently,axe,ba,bark,blade,brow,chartaceous,covering,deltate,development,diameter,discolorous,distal,distance,drying,eaf,eed,elliptic,elongating,end,equal,extending,free,fruiting,glabrescent,gray,half,hermaphrodite,heterostylous,infructescence,irregular,less,lobing,long-styled,longer,lower,lowermost,margin,mature,midvein,moderately,multangulate,near,nflorescence,obtuse,often,older,one,open,orolla,oung,ovate,pair,pale,peduncle,pendulous,per,pericarp,plurifoliat,porrect,portion,prickl,primary,recurved,red-brown,red-green,reflexed,retaining,rounded,ruit,secondary,sessile,short-styled,shorter,side,slender,somewhat,spaced,stalk,stalked,staminat,stellate,stellate-pubescen,stout,tamen,terete,tertiary,throughout,time,trichome,unit,variously,vary,vein,venation,visible,warty,white-gray,wide,widening,woody,yellow-green,yellowish,ympodial	anthesi,arrangement,bud,coat,colour,connation,corolla,decurrency,dry,embryo,feature,form,growth,height,inflorescence,minor,na,new,number,ovary,papilla,plurifoliate,pore,seed,size,spacing,specimen,stigma,texture,tuberculation,type,width,winging	0.1-0.3,0.3-0.8,0.5-1.5,0.7-1,1-3.5,1-4,1-6,1.2-3,1/2-4/5,1/5,2-10,2-3,2-4.5,2-5,2.7-4,3-10,3-15,3-5,3-6,4-12,4-5,5-20,6-12,8-15,8-17,acute,almost,apart,articulated,auriculate,base,berry,branched,broad-deltate,cell,cm,connivent,cordate,curved,densely,ellipsoid,erect,evenly,flattened,flattened-reniform,glabrous,green,green-yellow,lateral,lobed,long,maturity,mauve,mm,occasionally,orange,orange-brown,outline,pit,poricidal,prickle,prickly,prominent,raised,rarely,round,shrub,small,smooth,sometimes,sparsely,spherical,spreading,stellate-pubescent,straight,strongly,tapering,terminal,tip,tree,truncate,unarmed,unbranched,upper,way,white,yellow,young,×	na,plurifoliate
7	wfo-0001025729	success	177	124	82	95	82	29	76	6	.5,/4,0.25-0.5,0.7-1.2,1-1.5,1-5,1.1-1.5,1.75,2,2-3.5,3-6,4-5,4-8,6-8,9-17,abaxial,acute,anther,apiculate,bark,base,berry,blackish,bright,bristly,bud,calyx,cm,corolla,deltoid,densely,dia,difoliate,dirty,drying,elliptic,filament,flattened-reniform,fleshy,furcate,glabrous,globose,green,greenish-yellow,greyish-brown,leaf,live,lobe,lobed,long,minor,minutely,mm,occasionally,opposite,ovary,pale,papillose,pedicel,petiole,pit,pitted,plant,pore,poricidal,pubescent,ripening,rounded,scar,shaped,shiny,short,simple,size,sparsely,stem,stigma,stout,style,surface,tapering,tear-drop,tip,tree,treelet,trichome,tube,tuft,uniseriate,unit,usually,way,white,x,young	-20,1.2-1.8,1.5-2,20,5-50-flowered,7-8,abaxially,abrupt,adaxially,along,anthesi,apar,apex,apical,appearing,axil,basal,black,branched,covered,covering,cyathiform,dark,deflexed,denser,diam,differing,eaf,edicel,eed,enclosed,expanded,f,free,fruiting,geminat,gently,glabrou,growing,incrassate,lamina,lat,lateral,like,lon,lower,m.,main,mainly,major,margin,member,middle,minute,nflorescence,oblique,often,older,one,overlapping,overtopping,pair,papillo,partially,portion,prominent,quite,raised,reflexed,ruit,straight,tall,terminal,touching,tub,ud,vein,widening,widest,woody,yellow,ympodial	4-20,5-50,adaxial,apart,arrangement,colour,feature,flower,form,fruit,geminate,growth,hair,height,history,inflorescence,length,life,na,number,papilla,reproduction,seed,shape,spacing,sympodial,texture,type,width	.5,/4,0.25-0.5,0.7-1.2,1-1.5,1-5,1.1-1.5,1.75,2,2-3.5,3-6,4-5,4-8,6-8,9-17,acute,apiculate,base,berry,blackish,bright,bristly,bud,cm,deltoid,densely,dia,difoliate,dirty,drying,elliptic,flattened-reniform,fleshy,furcate,glabrous,globose,green,greenish-yellow,greyish-brown,leaf,live,lobed,long,minutely,mm,occasionally,opposite,pale,papillose,pit,pitted,plant,pore,poricidal,pubescent,ripening,rounded,shaped,shiny,short,simple,sparsely,stout,tapering,tear-drop,tip,tree,treelet,trichome,tuft,uniseriate,unit,usually,way,white,x	4-20,5-50,apart,geminate,na,sympodial
8	wfo-0001025749	success	215	125	69	87	128	38	68	1	.5,0-10,0.1-0.2,0.2-1.5,0.3-1.5,0.5-0.8,0.5-0.9,0.5-3,0.6-4.5,0.8-0.9,1-13,1-8.5,1-9,1.5-2.5,2-10,2-2.5,3-20,5-10-12,acute,anther,apart,apex,bark,base,berry,calyx,cm,cuneate,curved,dull,filament,flattened,flattened-reniform,flower,fruit,gently,glabrescent,glabrous,gray,lateral,leaf,length,light,lobe,lobed,long-ovate,maturity,mauve,midpoint,mm,moderately,narrow-deltate,narrow-ovate,orange-brown,orange-red,pedicel,petiole,poricidal,porrect,prickle,prickly,ray,rounded,scar,sessile,shrub,sparsely,spherical,spreading,stalked,stellate,stellate-pubescent,stem,straight,straw-yellow,style,surface,tapering,tip,toward,trichome,tube,variously,white,yellow,yellow-orange,yellowish	/5,0-3,0-5,0-6,0-8,0.1,0.1-0.3,0.1-0.4,0.2,0.4-0.7,0.5-1,0.5-1.3,1,1-10,1-2,1-3,1-6,1.5,1.5-2,1/4-1/3,1/5-1/2,2.5-6,2/3,3-5,4-8,5-20,5-6-8,5-merous,6-8,abaxial,abaxially,acuminat,adaxial,adaxially,adnate,almost,alyx,apar,apically,apparently,articulated,blade,branched,broad-deltate,chartaceous,concolorous,dark,densely,diameter,difoliate,discolorous,distance,drying,eaf,eed,elongating,equal,erect,extending,filiform,free,fruiting,geminat,green-brown,herbaceous,indistinct,infructescence,lon,long,longer,lower,magnification,margin,markedly,mature,midvein,nflorescence,oblong,obtuse,occasionally,older,one,open,orange-brow,orbicular,orolla,oung,ovate,pair,pale,peduncle,pendulous,per,perfec,pericarp,portion,prickl,primary,procumbent,purple,rarely,recurved,red-brown,reduced,ruit,shorter,side,smooth,sometimes,spaced,stalk,strongly,tamen,terete,tertiary,time,unit,usually,vary,vein,venation,visible,way,wide,without,yellow-green,ympodial,½-2/	anthesi,arrangement,bud,coat,colour,connation,corolla,decurrency,dry,embryo,feature,form,growth,height,history,inflorescence,life,minor,na,new,number,ovary,papilla,plant,pore,reproduction,seed,shape,size,spacing,specimen,stigma,texture,tuberculation,type,width,winging,young	.5,0-10,0.1-0.2,0.2-1.5,0.3-1.5,0.5-0.8,0.5-0.9,0.5-3,0.6-4.5,0.8-0.9,1-13,1-8.5,1-9,1.5-2.5,2-10,2-2.5,3-20,5-10-12,acute,apart,apex,berry,cm,cuneate,curved,dull,flattened,flattened-reniform,gently,glabrescent,glabrous,gray,lateral,light,lobed,long-ovate,maturity,mauve,mm,moderately,narrow-deltate,narrow-ovate,orange-brown,orange-red,poricidal,porrect,prickle,prickly,rounded,sessile,shrub,sparsely,spherical,spreading,stalked,stellate,stellate-pubescent,straight,straw-yellow,tapering,tip,toward,trichome,variously,white,yellow,yellow-orange,yellowish	na
9	wfo-0001025754	success	164	113	82	86	78	27	76	6	-celled,.5,0.5-1,0.5-1.5,1,1-2,1-3,1-3.5,1.5,1.5-4,10-20,10-35,2-5-celled,3-10,3-6,4,4-6,5-12,5-15,abundant,acuminate,acute,anther,apex,asymmetrical,base,berry,brown,calyx,center,cm,cordate,cordiform,decurrent,diameter,dm,drying,edge,eglandular,fine,flower,fruit,glabrous,globose,hair,herb,immature,interpetalar,leaf,lobe,long,margin,maturing,mm,moderately,nearly,oblong,often,parallel,pedicel,per,petiole,pubescent,radiating,raised,ridge,rotate,running,semitransparent,shallow,slightly,solitary,sparsely,stem,stigma,straight,style,surface,tissue,triangular,truncate,tube,unbranched,white,x,yellow	0.1-0.2,1.5-3,2-4,2-7,2-foliate,3-5,abaxially,absent,adaxiall,adaxially,along,axe,barely,beyond,blade,branch,chartaceous,ciliate,connected,decumbent,dehiscing,densely,denser,dried,eaf,eed,emarginat,entire,equal,erect,explosively,exserted,filament,flat,geminat,glandular,held,leaving,like,linear-lanceolate,lower,lying,main,material,maturit,membranaceous,mesocarp,mixed,much-branched,nfloresence,notch,orolla,palmately,peduncle,penden,placenta,pressure,probably,pubescen,rachi,ruit,short,small,sometimes,stamen,swollen,tal,tamen,tem,unit,upright,vary,vein,visible,watery,wid,woody,ympodial	abaxial,adaxial,arrangement,colour,corolla,emarginate,feature,form,geminate,greyish,growth,inflorescence,length,na,number,ovary,papilla,pendent,seed,shape,size,texture,tip,type,wide,width,young	-celled,.5,0.5-1,0.5-1.5,1,1-2,1-3,1-3.5,1.5,1.5-4,10-20,10-35,2-5-celled,3-10,3-6,4,4-6,5-12,5-15,abundant,acuminate,acute,apex,asymmetrical,base,berry,brown,center,cm,cordate,cordiform,decurrent,diameter,dm,drying,edge,eglandular,fine,flower,fruit,glabrous,globose,hair,herb,immature,interpetalar,long,margin,maturing,mm,moderately,nearly,oblong,often,parallel,per,petiole,pubescent,radiating,raised,ridge,rotate,running,semitransparent,shallow,slightly,solitary,sparsely,straight,tissue,triangular,truncate,unbranched,white,x,yellow	emarginate,geminate,greyish,na,pendent,wide
