	coreid	status	nwords_original	nwords_result	nwords_val	nwords_recovered	nwords_omitted	nwords_created	nwords_recovered_val	nwords_created_val	common_words	original_only	result_only	common_words_val	val_only
0	wfo-0001025652	success	156	93	59	73	83	20	57	2	.3,0.5-1,1.5-2,2-3,2-6,4,4-7,acuminate,acute,anther,anthesi,apex,bark,base,bilobed,blade,calyx,closed,cm,completely,corolla,decurrent,densely,elliptic,emerge,envelope,fleshy,fruit,furcate,glabrous,green,greyish,growth,leaf,lobe,matte,middle,mm,nearly,new,occasionally,onto,opposite,ovary,ovoid,ovoid-reniform,pale,paler,papillose,pedicel,petiole,pinkish-grey,plant,poricidal,shape,shiny,shrub,simple,size,small,stem,stigma,strongly,style,surface,tan,tear,tip,tree,white,widest,winged,x	.5,1,1-1.5,10-20,15-17,15-19,2-5,20-50,3-3.5,3-5,3-5-flowered,4-6,9-11,abruptly,appearing,broad,campanulate,closely,connate,dia,differing,difoliate,dry,eaf,edicel,eed,filament,flower,free,geminat,glabrate,greyi,growing,irregular,lateral,like,live,lobed,lon,long,lower,main,major,margin,minor,minute,minutely,narrowing,nflorescence,older,one,overlappin,pair,papillae,papillo,parallel,pitted,planar,pore,portion,rather,red-papillose,ry,scar,shaped,soon,spaced,specimen,straight,tall,tapering,tear-drop,thick,thicker,tightly,tube,ud,unit,vein,wider,wing,ympodial,young	arrangement,berry,bud,characteristic,colour,diameter,exertion,form,glabrousnes,height,history,inflorescence,length,life,lobing,peduncle,perennial,seed,texture,type	.3,0.5-1,1.5-2,2-3,2-6,4,4-7,acuminate,acute,anthesi,base,bilobed,blade,closed,cm,completely,decurrent,densely,elliptic,emerge,envelope,fleshy,furcate,glabrous,green,greyish,leaf,lobe,matte,middle,mm,nearly,occasionally,onto,opposite,ovoid,ovoid-reniform,pale,paler,papillose,petiole,pinkish-grey,poricidal,shiny,shrub,simple,small,stem,strongly,tan,tear,tip,tree,white,widest,winged,x	berry,perennial
1	wfo-0001025657	success	239	105	72	84	155	21	71	1	0.1-0.4,0.2-0.4,0.5-2.5,1-1.1,1-3,1.5-1.8,2-10,25-60,3-6,4-4.4,5-14,5-16,6-12,7-27,8.3-12,also,anther,anthesi,berry,bluish,blunt-tipped,branched,brown,bud,calyx,cm,conical,corolla,dark,deltoid,dendritic-multangulate,diameter,dried,elliptic,exserted,fleshy,flower,fruit,glandular,granular,green,hair,leaf,length,light,long-stalked,mixed,mm,multangulate,narrowly,oblong,orbicular,ovate,pedicel,peduncle,persistently,petiole,pseudo-terminal,rachi,reportedly,reticulate-punctate,ripe,short-,shrub,simple,soft,stellate,stem,stigma,style,suborbicular,surface,tan,terete,tomentose,tomentose-pubescent,tree,unarmed,velutinous-pubescent,weakly,white,x,yellow,yellowish	-2,/3,1-1.3,1-1.6,1.2-1.5,1.3-2,1.7-1.9,12x,2-3.5,2.2-5.5,2.5-9.3,2.7-4.3,2/3,3-4,3-4.8,3.2-6,4-4.5,4-7,6-8,6.5-10,7-9,7-9.5,8-10.5,abaxially,accrescent,acute,adaxially,ag,apart,apex,apparently,appearing,ark,around,articulated,ascending,axe,axillary,ba,base,blade,branch,broadly,capitat,central,chartaceous,closely,cordate,cylindrical,dendritic-multangulat,dense,densely,directed,distally,due,eaf,earl,edge,eed,entire,especially,evident,exerted,expanded,farinose,few-rayed,filament,free,fruiting,glabrous,glandula,half,inserted,lanate-pubescent,lanceolate,lateral,lengthening,lobe,lobed,long,longitudinal,lower,m.,magnification,main,margin,midrib,minutely,nearly,nflorescence,obtuse,occasional,often,older,open,orolla,ovat,ovate-lanceolate,overlapping,pale,part,parted,partly,perfect,persistent,plurifoliate,pore,poricidal,porrect-stellate,present,pubescence,pubescent,ray,ruit,scented,semi-ovate,sessile,short,short-stalked,side,slightly,slit,somewhat,spaced,splitting,stamen,stellate-pubescent,stipitate-glandular,stipitate-multangulate,strongly,subcampanulate,subcoriaceous,suture,tall,tamen,thick-stalked,thickened,thin-stalked,time,tip,tomentum,transparent,tube,two-third,ud,unarme,unit,upper,usually,vary,vein,way,wide,ympodial,young	abaxial,adaxial,arrangement,bark,capitate,characteristic,colour,exertion,form,growth,height,history,inflorescence,life,ovary,plant,seed,shape,size,texture,type	0.1-0.4,0.2-0.4,0.5-2.5,1-1.1,1-3,1.5-1.8,2-10,25-60,3-6,4-4.4,5-14,5-16,6-12,7-27,8.3-12,also,anthesi,berry,bluish,blunt-tipped,branched,brown,calyx,cm,conical,dark,deltoid,dendritic-multangulate,diameter,dried,elliptic,exserted,fleshy,flower,fruit,glandular,granular,green,hair,light,long-stalked,mixed,mm,multangulate,narrowly,oblong,orbicular,ovate,persistently,pseudo-terminal,reportedly,reticulate-punctate,ripe,short-,shrub,simple,soft,stellate,suborbicular,tan,terete,tomentose,tomentose-pubescent,tree,unarmed,velutinous-pubescent,weakly,white,x,yellow,yellowish	capitate
2	wfo-0001025669	success	214	137	102	116	98	21	99	3	.5,0-7,0.1-0.3,0.8-2.4,1,1-2,1-2.2,1-4,1.3-4.2,1.4-2.5,1.6-4.4,13-35,2-3,2-4,2.2-6,2.2-6.5,2.4-7,3-5,3-7,9-24.5,abaxially,absent,adaxially,along,anther,base,berry,blade,blue,brownish,cell,chartaceous,ciliate,clavate,cm,condition,corolla,covering,diameter,drying,end,especially,extra,filament,flower,forming,fresh,fruit,glabrous,globose,green,green-white,greenish,hair,hair-like,herb,interjected,lateral,leaflet,like,long,make,margin,membranous,midrib,minute,minutely,mm,moderately,monochasium,mottled,mucilaginous,multicellular,odd-pinnate,one,orbicular,ovate,ovoid,pedicel,peduncle,petiole,petiolulate,placed,plant,puberulent,pubescent,purple,rarely,ripe,rosette,scale-like,seed,sessile,short,size,slightly,sometimes,stem,stigma,streaked,style,subglabrous,terminal,testal,thick,throughout,tinged,tuber,typically,unwinged,wall,wet,white,whitish,wide,x	0-1,0-5,1-10,1-3,2,4-6,5-merou,absen,acumen,acuminate,acute,ag,alyx,apart,apex,apparently,articulation,axe,broadly,capitat,clearly,connivent,contracted,cuneate,decurrent,digestion,discussion,distal,distinct,dorsally,eaf,edge,eed,elliptic,enzyme,erec,exceeding,except,flat,flowered,folded,geminat,glabrou,greatly,half,highly,homostylous,honeycomb-shaped,lanceolate,larger,lengthening,living,lobe,lower,near,nflorescence,oblique,obovate,obtuse,often,orolla,pair,perfect,petiolule,plurifoliate,pore,poricidal,proximal,reduced,removed,rotate,rounded,ruit,see,seudostipule,single,slit,spaced,species,specimen,stamen,ste,stolo,straight,subequal,tall,tamen,tem,tip,tri-,truncate,tube,unbranched,unequal,unit,vary,yellow,ympodial	arrangement,calyx,capitate,colour,erect,form,growth,height,history,inflorescence,leaf,length,life,ovary,placement,pseudostipule,shape,stolon,surface,texture,type	.5,0-7,0.1-0.3,0.8-2.4,1,1-2,1-2.2,1-4,1.3-4.2,1.4-2.5,1.6-4.4,13-35,2-3,2-4,2.2-6,2.2-6.5,2.4-7,3-5,3-7,9-24.5,abaxially,absent,adaxially,along,base,berry,blue,brownish,cell,chartaceous,ciliate,clavate,cm,condition,covering,drying,end,especially,extra,flower,forming,fresh,glabrous,globose,green,green-white,greenish,hair,hair-like,herb,lateral,like,long,make,margin,membranous,midrib,minute,minutely,mm,moderately,monochasium,mottled,mucilaginous,multicellular,odd-pinnate,one,orbicular,ovate,ovoid,petiolulate,placed,puberulent,pubescent,purple,rarely,ripe,rosette,scale-like,seed,sessile,short,slightly,sometimes,stem,streaked,subglabrous,testal,thick,throughout,tinged,typically,unwinged,wall,wet,white,whitish,wide,x	capitate,erect,stolon
3	wfo-0001025697	success	181	112	69	86	95	26	64	5	0-14,0.15-0.75,0.6-3.5,1-1.7,1-2,1-3,1.5-1.8,1.7-8.6,2-10.5,2-2.6,2-6,25-35,3-10,3-4,3-6,3.3-11,4-7.5,5.5-11.5,6.5-13.5,abaxially,adaxially,anther,berry,blade,blue,brownish,clavate,cm,condition,connivent,coriaceous,corolla,dark,deep,diameter,drying,filament,flower,fresh,fruit,glabrescent,glabrous,globose,green,green-white,greenish,hair,herb,homostylous,interjected,lanceolate,lateral,leaf,leaflet,light,lilac,lobe,long,medium,mm,mucilaginous,odd-pinnate,ovate,ovoid,pedicel,peduncle,pentagonal,petiole,plant,purple,ripe,rotate,seed,short,size,stigma,stripe,style,terminal,throughout,tube,unwinged,wet,whitish,x,yellow	-9,0.8-2,10-26,2-4,3-5,5-merou,acumen,acuminate,acute,adaxiall,ag,alyx,apart,apex,apparently,articulated,asymmetric,attenuate,axe,axillary,base,basiscopic,bud,capitat,cell,covering,decreasing,decurrent,digestion,distal,dorsally,eaf,edge,eed,elliptic,enzyme,erec,exceeding,flat,folded,forked,geminat,generally,glabrou,hair-like,hal,half,high,honeycomb-shaped,lengthening,linear,living,lower,make,nflorescence,orbicular,orolla,pair,perfect,petiolulate,plurifoliate,pore,poricidal,rachi,removed,rounded,ruit,sessile,seudostipule,side,slightly,slit,spaced,specimen,stamen,straight,subequal,subglabrou,subtending,tall,tamen,tem,testal,thick,tip,tissue,toward,tri-,typically,unit,usually,vary,wall,wood,ympodial	5-merous,abaxial,adaxial,arrangement,calyx,capitate,characteristic,colour,erect,form,growth,height,history,inflorescence,length,life,ovary,pseudostipule,shape,staman,stem,subglabrous,surface,texture,type,woody	0-14,0.15-0.75,0.6-3.5,1-1.7,1-2,1-3,1.5-1.8,1.7-8.6,2-10.5,2-2.6,2-6,25-35,3-10,3-4,3-6,3.3-11,4-7.5,5.5-11.5,6.5-13.5,abaxially,adaxially,berry,blue,brownish,clavate,cm,condition,connivent,coriaceous,dark,deep,drying,fresh,glabrescent,glabrous,globose,green,green-white,greenish,hair,herb,homostylous,lanceolate,light,lilac,long,medium,mm,mucilaginous,odd-pinnate,ovate,ovoid,pentagonal,purple,ripe,rotate,short,stripe,throughout,unwinged,wet,whitish,x,yellow	5-merous,capitate,erect,subglabrous,woody
4	wfo-0001025699	success	181	128	87	105	76	23	84	3	.2,.5,0.5,1,1-2.5,1-3,1.5-2,1/3,10,15-20,2,2-2.5,2-6,2cm,3-15,3-5.5,5-8,5-winged,5.5-14,8-9,absent,acute,adaxially,almost,anther,apex,attenuate,bark,base,becoming,berry,branching,brown,c.,calyx,capitate,cm,completely,conical,corolla,dark,darker,diameter,drying,ellipsoid,elliptic,entire,erect,exerted,filament,flower,fruiting,glabrous,globose,green,grey-brown,growth,immature,inflorescence,leaf,leaf-opposed,leafy,less,lobe,margin,markedly,midrib,minutely,mm,new,older,ovary,pair,pale,pedicel,peduncle,petiole,poricidal,primary,red,reddish,reniform,reticulate-pitted,rounded,rounded-sagittate,shoot,short,simple,slightly,somewhat,stem,stigma,style,surface,time,tip,tree,tube,vein,way,white,x,yellow,young,½	1-1.5,1-2,1.5,3-3.5,3-8,4-5,499,abaxially,age,anthesi,apart,apparently,appearing,articulating,campanulate,conspicuously,continuing,corrugate,crystal,cup-shaped,deltate,densely,difoliate,dorsal,dry,eaf,eed,face,fide,free,glabrou,included,inclusion,inflorescenc,irregularly,lanceolate,leaving,lengthening,lobed,lower,narrowly,nflorescence,nodding,one,onto,oxalate,papillat,papillose,peg,penden,per,perfect,plurifoliate,pore,portion,ruit,sand,scar,slit,small,spaced,stearn,straight,strongly,tangled,thickened,triangular,trichome,ud,unit,white-spotted,wide,wing,winged,woody,ympodial	arrangement,bud,characteristic,colour,corrugated,corrugation,exertion,form,fruit,glabrousnes,height,history,length,life,lobing,na,papillate,plant,seed,shape,size,texture,type	.2,.5,0.5,1,1-2.5,1-3,1.5-2,1/3,10,15-20,2,2-2.5,2-6,2cm,3-15,3-5.5,5-8,5-winged,5.5-14,8-9,absent,acute,adaxially,almost,attenuate,base,becoming,berry,branching,brown,c.,calyx,capitate,cm,completely,conical,dark,darker,ellipsoid,elliptic,entire,erect,exerted,flower,glabrous,globose,green,grey-brown,immature,leaf,leaf-opposed,leafy,less,lobe,markedly,midrib,minutely,mm,older,pair,pale,poricidal,red,reddish,reniform,reticulate-pitted,rounded,rounded-sagittate,shoot,short,simple,slightly,somewhat,surface,time,tip,tree,tube,way,white,x,yellow,young,½	corrugated,na,papillate
5	wfo-0001025700	success	189	113	80	92	97	21	77	3	0-16,0.30-2.0,0.7-2.7,0.8-2.6,1.1-2.3,1.5-2,10.5-12,15-40,2-12,2.5-4,3-8,3.5-10.5,3.7-8.6,5-15,5-20,5.3-17.5,5.5-18,9-31,abaxially,adaxially,anther,apiculate,berry,brownish,cell,chartaceous,clavate,cm,condition,connivent,corolla,covering,diameter,dot,drying,flower,fresh,fruit,glabrescent,glabrous,globose,green,green-white,greenish,hair,hair-like,herb,homostylous,interjected,lanceolate,lateral,leaf,leaflet,light,lilac,long,make,medium,mm,mucilaginous,narrowly,odd-pinnate,ovate,ovoid,pedicel,peduncle,pentagonal,petiole,plant,poricidal,purple,ripe,rotate-pentagonal,seed,short,size,sometimes,stigma,style,terminal,testal,thick,throughout,tip,unwinged,wall,wet,white,whitish,winged,x,yellow	0.5-2,0.8-4,1-2,1-3,10-40,2-7,3-4,4-5,5-merou,5.5-8,acuman,acumen,acuminate,acute,ag,alyx,apex,apparently,articulated,asymmetric,attenuate,axe,axillary,basal,base,basiscopic,blade,bud,capitat,considerably,decrease,decreasing,digestion,distal,dorsally,eaf,edge,eed,elliptic,enzyme,erec,exceeding,except,filament,flat,folded,forked,geminat,generally,glabrou,hal,half,high,honeycomb-shaped,larger,lengthening,linear,living,lobe,lower,nflorescence,orbicular,orolla,pair,par,perfect,petiolulate,plurifoliate,pore,proximal,removed,rounded,ruit,sessile,seudostipule,side,slightly,slit,specimen,stamen,straight,subequal,subglabrou,subtending,tall,tamen,tem,tissue,toward,tri-,tube,typically,unit,usually,vary,whose,ympodial	5-merous,arrangement,calyx,capitate,characteristic,colour,form,growth,height,history,inflorescence,length,life,ovary,pseudostipule,shape,stem,subglabrous,surface,texture,type	0-16,0.30-2.0,0.7-2.7,0.8-2.6,1.1-2.3,1.5-2,10.5-12,15-40,2-12,2.5-4,3-8,3.5-10.5,3.7-8.6,5-15,5-20,5.3-17.5,5.5-18,9-31,abaxially,adaxially,apiculate,berry,brownish,cell,chartaceous,clavate,cm,condition,connivent,covering,diameter,dot,drying,fresh,glabrescent,glabrous,globose,green,green-white,greenish,hair,hair-like,herb,homostylous,lanceolate,lateral,light,lilac,long,make,medium,mm,mucilaginous,narrowly,odd-pinnate,ovate,ovoid,pentagonal,poricidal,purple,ripe,rotate-pentagonal,seed,short,sometimes,testal,thick,throughout,tip,unwinged,wall,wet,white,whitish,winged,x,yellow	5-merous,capitate,subglabrous
6	wfo-0001025704	success	247	149	105	125	122	24	103	2	0-100,0-2,0-3.5,0.3-0.8,0.5-1.5,0.7-1,1-3.5,1-6,1.2-3,1.5-3.2,1.5-4.5,1.8-3.5,1/2-4/5,2-10,2-3,2-4.5,2.5-4.5,2.7-4,3-15,3-5,3-6,4-5,abaxial,acute,adaxial,almost,anther,apex,apparently,articulated,auriculate,bark,base,berry,branched,calyx,cell,chartaceous,cm,connivent,cordate,densely,diameter,discolorous,drying,ellipsoid,elliptic,erect,evenly,filament,flattened-reniform,flower,fruit,fruiting,glabrescent,gray,green,green-yellow,irregular,lateral,leaf,length,lobe,lobed,lobing,long,long-styled,margin,maturity,mauve,mm,near,often,orange-brown,outline,ovate,pale,pedicel,peduncle,per,petiole,pit,plant,poricidal,prickle,prickly,raised,rarely,red-brown,red-green,round,rounded,shape,short-styled,shrub,side,small,smooth,sometimes,somewhat,sparsely,spherical,stellate,stellate-pubescent,stem,strongly,style,surface,tapering,terminal,tip,tree,truncate,tube,unarmed,unbranched,way,white,white-gray,wide,yellow,yellow-green,yellowish,young,×	/6,0-10,0-5,0.1,0.1-0.3,0.1-0.5,0.15-0.8,1,1-2,1-3,1-4,1-5,1.5-2,1/4-3/4,1/5,2,2-5,2-7,3-10,4-12,4.5-6.5,5-20,5-merous,6-12,6-15,8-12,8-15,8-17,abaxially,age,alyx,andromonoecious,apar,apart,apically,apiculate,axe,ba,blade,broad-deltate,brow,covering,curved,deltate,development,distal,distance,eaf,eed,elongating,end,equal,extending,flattened,free,glabrous,half,hermaphrodite,heterostylous,infructescence,less,longer,lower,lowermost,mature,midpoint,midvein,moderately,multangulate,nflorescence,obtuse,occasionally,older,one,open,orange,orolla,oung,pair,pendulous,pericarp,plurifoliat,porrect,portion,prickl,primary,prominent,ray,recurved,reflexed,retaining,ruit,scar,secondary,sessile,shorter,slender,spaced,spreading,stalk,stalked,staminat,stellate-pubescen,stout,straight,tamen,terete,tertiary,throughout,time,trichome,unit,upper,variously,vary,vein,venation,visible,warty,widening,woody,ympodial	arrangement,branch,brown,bud,characteristic,colour,corolla,corrugation,exertion,form,glabrousnes,growth,hair,height,inflorescence,na,new,number,ovary,seed,size,stigma,texture,type	0-100,0-2,0-3.5,0.3-0.8,0.5-1.5,0.7-1,1-3.5,1-6,1.2-3,1.5-3.2,1.5-4.5,1.8-3.5,1/2-4/5,2-10,2-3,2-4.5,2.5-4.5,2.7-4,3-15,3-5,3-6,4-5,acute,almost,apparently,articulated,auriculate,base,berry,branched,cell,chartaceous,cm,connivent,cordate,densely,diameter,discolorous,drying,ellipsoid,elliptic,erect,evenly,flattened-reniform,flower,glabrescent,gray,green,green-yellow,irregular,lateral,lobe,lobed,long,long-styled,maturity,mauve,mm,near,often,orange-brown,outline,ovate,pale,per,pit,poricidal,prickle,prickly,raised,rarely,red-brown,red-green,round,rounded,short-styled,shrub,side,small,smooth,sometimes,somewhat,sparsely,spherical,stellate,stellate-pubescent,strongly,tapering,terminal,tip,tree,truncate,unarmed,unbranched,way,white,white-gray,wide,yellow,yellow-green,yellowish,young,×	brown,na
7	wfo-0001025729	success	177	137	107	115	62	22	103	4	.5,/4,0.25-0.5,0.7-1.2,1-1.5,1-5,1.1-1.5,1.2-1.8,1.75,2,2-3.5,20,3-6,4-5,4-8,5-50-flowered,9-17,abaxial,abaxially,abrupt,adaxially,anther,apiculate,appearing,axil,bark,basal,base,berry,black,blackish,bright,bristly,bud,calyx,cm,corolla,covering,densely,dia,diam,difoliate,dirty,drying,elliptic,enclosed,f,filament,flattened-reniform,fleshy,fruiting,furcate,glabrous,globose,green,greenish-yellow,greyish-brown,growing,lamina,lateral,leaf,like,live,lobed,long,main,minor,minutely,mm,occasionally,often,opposite,ovary,overtopping,pale,papillose,pedicel,petiole,pit,pitted,plant,pore,poricidal,pubescent,quite,ripening,shaped,shiny,short,simple,size,sparsely,stem,stigma,stout,style,surface,tapering,tear-drop,terminal,tip,tree,treelet,trichome,tube,tuft,uniseriate,unit,usually,vein,way,white,widening,x,yellow	-20,1.5-2,6-8,7-8,acute,along,anthesi,apar,apex,apical,branched,covered,cyathiform,dark,deflexed,deltoid,denser,differing,eaf,edicel,eed,expanded,free,geminat,gently,glabrou,incrassate,lat,lobe,lon,lower,m.,mainly,major,margin,member,middle,minute,nflorescence,oblique,older,one,overlapping,pair,papillo,partially,portion,prominent,raised,reflexed,rounded,ruit,scar,straight,tall,touching,tub,ud,widest,woody,ympodial,young	4-20,arrangement,characteristic,colour,diameter,exertion,form,fruit,geminate,growth,height,history,inflorescence,late,length,life,lobing,seed,shape,sympodial,texture,type	.5,/4,0.25-0.5,0.7-1.2,1-1.5,1-5,1.1-1.5,1.2-1.8,1.75,2,2-3.5,20,3-6,4-5,4-8,5-50-flowered,9-17,abaxial,abaxially,abrupt,adaxially,apiculate,appearing,axil,basal,base,berry,black,blackish,bright,bristly,bud,calyx,cm,corolla,covering,densely,dia,diam,difoliate,dirty,drying,elliptic,enclosed,f,flattened-reniform,fleshy,furcate,glabrous,globose,green,greenish-yellow,greyish-brown,growing,lamina,lateral,leaf,like,live,lobed,long,main,minutely,mm,occasionally,often,opposite,overtopping,pale,papillose,pit,pitted,plant,pore,poricidal,pubescent,quite,ripening,shaped,shiny,short,simple,sparsely,stem,stout,tapering,tear-drop,terminal,tip,tree,treelet,trichome,tube,tuft,uniseriate,unit,usually,vein,way,white,widening,x,yellow	4-20,geminate,late,sympodial
8	wfo-0001025749	success	215	109	72	87	128	22	70	2	/5,0.2-1.5,0.3-1.5,0.4-0.7,0.5-0.8,0.5-0.9,0.5-1.3,0.5-3,0.8-0.9,1-10,1-2,1.5-2.5,2-2.5,5-10-12,abaxial,acute,adaxial,anther,apex,apparently,bark,base,berry,calyx,chartaceous,cm,cuneate,curved,dark,densely,diameter,dull,flattened,flattened-reniform,fruit,fruiting,gently,glabrescent,glabrous,gray,green-brown,lateral,leaf,length,light,lobed,long,long-ovate,lower,margin,maturity,mauve,mm,moderately,narrow-deltate,orange-brown,orange-red,orbicular,ovate,pale,pedicel,peduncle,petiole,poricidal,prickle,red-brown,rounded,shrub,sometimes,sparsely,spherical,spreading,stellate,stellate-pubescent,straight,straw-yellow,style,surface,tapering,tip,way,white,wide,yellow,yellow-green,yellow-orange,yellowish	.5,0-10,0-3,0-5,0-6,0-8,0.1,0.1-0.2,0.1-0.3,0.1-0.4,0.2,0.5-1,0.6-4.5,1,1-13,1-3,1-6,1-8.5,1-9,1.5,1.5-2,1/4-1/3,1/5-1/2,2-10,2.5-6,2/3,3-20,3-5,4-8,5-20,5-6-8,5-merous,6-8,abaxially,acuminat,adaxially,adnate,almost,alyx,apar,apart,apically,articulated,blade,branched,broad-deltate,concolorous,difoliate,discolorous,distance,drying,eaf,eed,elongating,equal,erect,extending,filament,filiform,flower,free,geminat,herbaceous,indistinct,infructescence,lobe,lon,longer,magnification,markedly,mature,midpoint,midvein,narrow-ovate,nflorescence,oblong,obtuse,occasionally,older,one,open,orange-brow,orolla,oung,pair,pendulous,per,perfec,pericarp,porrect,portion,prickl,prickly,primary,procumbent,purple,rarely,ray,recurved,reduced,ruit,scar,sessile,shorter,side,smooth,spaced,stalk,stalked,stem,strongly,tamen,terete,tertiary,time,toward,trichome,tube,unit,usually,variously,vary,vein,venation,visible,without,ympodial,½-2/	arrangement,characteristic,colour,corolla,form,growth,height,history,inflorescence,life,lobing,ovary,perennial,plant,seed,shape,size,staman,texture,type,width,½-2/3	/5,0.2-1.5,0.3-1.5,0.4-0.7,0.5-0.8,0.5-0.9,0.5-1.3,0.5-3,0.8-0.9,1-10,1-2,1.5-2.5,2-2.5,5-10-12,acute,apparently,base,berry,chartaceous,cm,cuneate,curved,dark,densely,diameter,dull,flattened,flattened-reniform,gently,glabrescent,glabrous,gray,green-brown,lateral,light,lobed,long,long-ovate,lower,maturity,mauve,mm,moderately,narrow-deltate,orange-brown,orange-red,orbicular,ovate,pale,poricidal,red-brown,rounded,shrub,sometimes,sparsely,spherical,spreading,stellate,stellate-pubescent,straight,straw-yellow,tapering,tip,way,white,wide,yellow,yellow-green,yellow-orange,yellowish	perennial,½-2/3
9	wfo-0001025754	success	164	106	71	81	83	25	69	2	.5,0.5-1,0.5-1.5,1,1-3,1.5,10-20,2-4,2-foliate,3-10,4-6,5-12,5-15,absent,acuminate,acute,anther,apex,asymmetrical,base,berry,branch,brown,calyx,center,chartaceous,ciliate,cm,cordate,cordiform,decumbent,decurrent,densely,diameter,dm,drying,edge,entire,filament,fine,flower,fruit,glabrous,globose,hair,herb,immature,leaf,linear-lanceolate,margin,maturing,membranaceous,mm,moderately,nearly,oblong,often,parallel,pedicel,peduncle,petiole,pubescent,radiating,raised,ridge,rotate,running,semitransparent,shallow,slightly,sparsely,stem,stigma,style,surface,truncate,unbranched,upright,white,x,yellow	-celled,0.1-0.2,1-2,1-3.5,1.5-3,1.5-4,10-35,2-5-celled,2-7,3-5,3-6,4,abaxially,abundant,adaxiall,adaxially,along,axe,barely,beyond,blade,connected,dehiscing,denser,dried,eaf,eed,eglandular,emarginat,equal,erect,explosively,exserted,flat,geminat,glandular,held,interpetalar,leaving,like,lobe,long,lower,lying,main,material,maturit,mesocarp,mixed,much-branched,nfloresence,notch,orolla,palmately,penden,per,placenta,pressure,probably,pubescen,rachi,ruit,short,small,solitary,sometimes,stamen,straight,swollen,tal,tamen,tem,tissue,triangular,tube,unit,vary,vein,visible,watery,wid,woody,ympodial	abaxial,adaxial,arrangement,characteristic,colour,corolla,form,glabrousnes,growth,height,history,inflorescence,length,life,na,new,ovary,plant,seed,shape,size,staman,texture,type,wide	.5,0.5-1,0.5-1.5,1,1-3,1.5,10-20,2-4,2-foliate,3-10,4-6,5-12,5-15,absent,acuminate,acute,apex,asymmetrical,berry,brown,center,chartaceous,ciliate,cm,cordate,cordiform,decumbent,decurrent,densely,diameter,dm,drying,edge,entire,fine,flower,fruit,glabrous,globose,hair,herb,immature,linear-lanceolate,margin,maturing,membranaceous,mm,moderately,nearly,oblong,often,parallel,petiole,pubescent,radiating,raised,ridge,rotate,running,semitransparent,shallow,slightly,sparsely,truncate,unbranched,upright,white,x,yellow	na,wide
