	coreid	status	nwords_original	nwords_result	nwords_val	nwords_recovered	nwords_omitted	nwords_created	nwords_recovered_val	nwords_created_val	common_words	original_only	result_only	common_words_val	val_only
0	wfo-0001025652	success	156	91	47	66	90	25	46	1	.3,0.5-1,1-1.5,1.5-2,15-17,2-3,2-6,3-3.5,3-5,4,4-6,4-7,acuminate,acute,anther,apex,base,calyx,cm,corolla,decurrent,densely,elliptic,filament,fleshy,fruit,furcate,glabrous,green,growth,irregular,leaf,lobe,margin,minutely,mm,occasionally,ovary,ovoid-reniform,pale,paler,papillose,parallel,pedicel,petiole,pinkish-grey,pitted,plant,red-papillose,shape,shiny,shrub,simple,small,stem,straight,strongly,style,surface,tan,thick,tree,vein,white,winged,x	.5,1,10-20,15-19,2-5,20-50,3-5-flowered,9-11,abruptly,anthesi,appearing,bark,bilobed,blade,broad,campanulate,closed,closely,completely,connate,dia,differing,difoliate,dry,eaf,edicel,eed,emerge,envelope,flower,free,geminat,glabrate,greyi,greyish,growing,lateral,like,live,lobed,lon,long,lower,main,major,matte,middle,minor,minute,narrowing,nearly,new,nflorescence,older,one,onto,opposite,overlappin,ovoid,pair,papillae,papillo,planar,pore,poricidal,portion,rather,ry,scar,shaped,size,soon,spaced,specimen,stigma,tall,tapering,tear,tear-drop,thicker,tightly,tip,tube,ud,unit,wider,widest,wing,ympodial,young	abaxial,adaxial,arrangement,branching,characteristic,colour,diameter,form,height,history,inflorescence,length,life,midvein,na,peduncle,primary,pseudostipule,rachi,seed,staman,tertiary,texture,unarmed,venation	.3,0.5-1,1-1.5,1.5-2,15-17,2-3,2-6,3-3.5,3-5,4,4-6,4-7,acuminate,acute,cm,decurrent,densely,elliptic,fleshy,furcate,glabrous,green,irregular,minutely,mm,occasionally,ovoid-reniform,pale,paler,papillose,parallel,pinkish-grey,pitted,red-papillose,shiny,shrub,simple,small,straight,strongly,tan,thick,tree,white,winged,x	na
1	wfo-0001025657	success	239	103	67	84	155	19	66	1	0.1-0.4,0.2-0.4,0.5-2.5,1-1.1,1-1.6,1-3,1.3-2,1.5-1.8,2-10,2.7-4.3,25-60,3-6,4-4.4,5-14,5-16,6-8,8-10.5,8.3-12,acute,anther,apex,base,berry,bluish,branched,brown,bud,chartaceous,cm,conical,cordate,corolla,dark,deltoid,diameter,dried,elliptic,entire,filament,fleshy,flower,fruit,glabrous,granular,green,hair,half,leaf,length,lower,margin,midrib,mm,narrowly,oblong,ovate,pale,pedicel,peduncle,persistently,petiole,plurifoliate,porrect-stellate,pseudo-terminal,rachi,reticulate-punctate,ripe,shrub,side,soft,stem,style,suborbicular,surface,tan,tomentose,tomentose-pubescent,tree,unarmed,velutinous-pubescent,white,x,yellow,yellowish	-2,/3,1-1.3,1.2-1.5,1.7-1.9,12x,2-3.5,2.2-5.5,2.5-9.3,2/3,3-4,3-4.8,3.2-6,4-4.5,4-7,6-12,6.5-10,7-27,7-9,7-9.5,abaxially,accrescent,adaxially,ag,also,anthesi,apart,apparently,appearing,ark,around,articulated,ascending,axe,axillary,ba,blade,blunt-tipped,branch,broadly,calyx,capitat,central,closely,cylindrical,dendritic-multangulat,dendritic-multangulate,dense,densely,directed,distally,due,eaf,earl,edge,eed,especially,evident,exerted,expanded,exserted,farinose,few-rayed,free,fruiting,glandula,glandular,inserted,lanate-pubescent,lanceolate,lateral,lengthening,light,lobe,lobed,long,long-stalked,longitudinal,m.,magnification,main,minutely,mixed,multangulate,nearly,nflorescence,obtuse,occasional,often,older,open,orbicular,orolla,ovat,ovate-lanceolate,overlapping,part,parted,partly,perfect,persistent,pore,poricidal,present,pubescence,pubescent,ray,reportedly,ruit,scented,semi-ovate,sessile,short,short-,short-stalked,simple,slightly,slit,somewhat,spaced,splitting,stamen,stellate,stellate-pubescent,stigma,stipitate-glandular,stipitate-multangulate,strongly,subcampanulate,subcoriaceous,suture,tall,tamen,terete,thick-stalked,thickened,thin-stalked,time,tip,tomentum,transparent,tube,two-third,ud,unarme,unit,upper,usually,vary,vein,way,weakly,wide,ympodial,young	abaxial,adaxial,arrangement,bark,characteristic,colour,form,growth,height,inflorescence,midvein,ovary,plant,seed,shape,staman,texture,true,type	0.1-0.4,0.2-0.4,0.5-2.5,1-1.1,1-1.6,1-3,1.3-2,1.5-1.8,2-10,2.7-4.3,25-60,3-6,4-4.4,5-14,5-16,6-8,8-10.5,8.3-12,acute,berry,bluish,branched,brown,chartaceous,cm,conical,cordate,dark,deltoid,dried,elliptic,entire,fleshy,flower,fruit,glabrous,granular,green,hair,half,lower,midrib,mm,narrowly,oblong,ovate,pale,persistently,plurifoliate,porrect-stellate,pseudo-terminal,reticulate-punctate,ripe,shrub,side,soft,suborbicular,tan,tomentose,tomentose-pubescent,tree,velutinous-pubescent,white,x,yellow,yellowish	true
2	wfo-0001025669	success	214	116	74	85	129	31	71	3	.5,0.1-0.3,1,1-2,1-2.2,1-4,1.4-2.5,13-35,2,2-3,2-4,2.2-6.5,3-5,absent,acuminate,acute,anther,apex,articulation,base,berry,blue,broadly,brownish,chartaceous,cm,condition,contracted,corolla,cuneate,diameter,distinct,drying,elliptic,extra,filament,flower,flowered,fresh,fruit,glabrous,globose,green,greenish,hair,herb,highly,like,lobe,long,margin,membranous,minute,mm,moderately,monochasium,mottled,oblique,obtuse,odd-pinnate,often,ovate,ovoid,pedicel,peduncle,petiole,plant,pubescent,purple,rarely,ripe,scale-like,seed,single,slightly,sometimes,species,stem,streaked,style,subglabrous,tinged,typically,white,whitish	0-1,0-5,0-7,0.8-2.4,1-10,1-3,1.3-4.2,1.6-4.4,2.2-6,2.4-7,3-7,4-6,5-merou,9-24.5,abaxially,absen,acumen,adaxially,ag,along,alyx,apart,apparently,axe,blade,capitat,cell,ciliate,clavate,clearly,connivent,covering,decurrent,digestion,discussion,distal,dorsally,eaf,edge,eed,end,enzyme,erec,especially,exceeding,except,flat,folded,forming,geminat,glabrou,greatly,green-white,hair-like,half,homostylous,honeycomb-shaped,interjected,lanceolate,larger,lateral,leaflet,lengthening,living,lower,make,midrib,minutely,mucilaginous,multicellular,near,nflorescence,obovate,one,orbicular,orolla,pair,perfect,petiolulate,petiolule,placed,plurifoliate,pore,poricidal,proximal,puberulent,reduced,removed,rosette,rotate,rounded,ruit,see,sessile,seudostipule,short,size,slit,spaced,specimen,stamen,ste,stigma,stolo,straight,subequal,tall,tamen,tem,terminal,testal,thick,throughout,tip,tri-,truncate,tube,tuber,unbranched,unequal,unit,unwinged,vary,wall,wet,wide,x,yellow,ympodial	abaxial,adaxial,arrangement,branching,calyx,characteristic,colour,form,growth,height,history,inflorescence,leaf,length,life,midvein,na,ovary,perennial,primary,pseudostipule,rachi,shape,staman,surface,tertiary,texture,true,unarmed,vein,venation	.5,0.1-0.3,1,1-2,1-2.2,1-4,1.4-2.5,13-35,2,2-3,2-4,2.2-6.5,3-5,absent,acuminate,acute,articulation,base,berry,blue,broadly,brownish,chartaceous,cm,condition,contracted,cuneate,distinct,drying,elliptic,extra,flower,flowered,fresh,glabrous,globose,green,greenish,hair,herb,highly,like,long,membranous,minute,mm,moderately,monochasium,mottled,oblique,obtuse,odd-pinnate,often,ovate,ovoid,pubescent,purple,rarely,ripe,scale-like,single,slightly,sometimes,species,stem,streaked,subglabrous,tinged,typically,white,whitish	na,perennial,true
3	wfo-0001025697	invalid_json	181	118	NA	86	95	32	NA	NA	-9,0.15-0.75,1-1.7,1-2,1.7-8.6,10-26,2-6,25-35,3-10,3-4,3-6,acuminate,acute,anther,apex,articulated,attenuate,axillary,base,berry,blue,brownish,bud,cell,cm,condition,coriaceous,corolla,covering,dark,deep,diameter,distal,drying,elliptic,filament,flower,forked,fresh,fruit,generally,glabrescent,glabrous,globose,green,green-white,greenish,hair-like,half,herb,high,lanceolate,lateral,leaf,light,lilac,lobe,long,make,medium,mm,mucilaginous,odd-pinnate,ovate,ovoid,pedicel,peduncle,petiole,plant,purple,rachi,ripe,rounded,seed,sessile,stripe,style,subtending,terminal,testal,thick,throughout,usually,wall,wet,whitish	0-14,0.6-3.5,0.8-2,1-3,1.5-1.8,2-10.5,2-2.6,2-4,3-5,3.3-11,4-7.5,5-merou,5.5-11.5,6.5-13.5,abaxially,acumen,adaxiall,adaxially,ag,alyx,apart,apparently,asymmetric,axe,basiscopic,blade,capitat,clavate,connivent,decreasing,decurrent,digestion,dorsally,eaf,edge,eed,enzyme,erec,exceeding,flat,folded,geminat,glabrou,hair,hal,homostylous,honeycomb-shaped,interjected,leaflet,lengthening,linear,living,lower,nflorescence,orbicular,orolla,pair,pentagonal,perfect,petiolulate,plurifoliate,pore,poricidal,removed,rotate,ruit,seudostipule,short,side,size,slightly,slit,spaced,specimen,stamen,stigma,straight,subequal,subglabrou,tall,tamen,tem,tip,tissue,toward,tri-,tube,typically,unit,unwinged,vary,wood,x,yellow,ympodial	2,abaxial,adaxial,arrangement,branching,calyx,characteristic,colour,form,growth,height,inflorescence,length,margin,midvein,na,ovary,primary,pseudostipule,shape,staman,stem,subglabrous,surface,tertiary,texture,unarmed,value,vein,venation,woody,ye	NA	NA
4	wfo-0001025699	success	181	108	79	87	94	21	75	4	.2,1,1-1.5,1-2.5,1-3,1.5-2,10,15-20,2,2-2.5,2cm,3-15,3-3.5,3-8,4-5,5-winged,8-9,absent,acute,almost,anther,anthesi,apex,attenuate,base,becoming,berry,branching,brown,calyx,cm,completely,conical,conspicuously,continuing,corolla,dark,darker,diameter,ellipsoid,elliptic,entire,filament,flower,glabrous,globose,green,grey-brown,growth,immature,inflorescence,lanceolate,leaf,leaf-opposed,leafy,lobe,margin,markedly,midrib,minutely,mm,narrowly,nodding,onto,ovary,pale,pedicel,peduncle,petiole,reniform,reticulate-pitted,rounded,shoot,short,simple,somewhat,stem,strongly,style,surface,time,tip,tree,triangular,white,wing,x	.5,0.5,1-2,1.5,1/3,2-6,3-5.5,499,5-8,5.5-14,abaxially,adaxially,age,apart,apparently,appearing,articulating,bark,c.,campanulate,capitate,corrugate,crystal,cup-shaped,deltate,densely,difoliate,dorsal,dry,drying,eaf,eed,erect,exerted,face,fide,free,fruiting,glabrou,included,inclusion,inflorescenc,irregularly,leaving,lengthening,less,lobed,lower,new,nflorescence,older,one,oxalate,pair,papillat,papillose,peg,penden,per,perfect,plurifoliate,pore,poricidal,portion,primary,red,reddish,rounded-sagittate,ruit,sand,scar,slightly,slit,small,spaced,stearn,stigma,straight,tangled,thickened,trichome,tube,ud,unit,vein,way,white-spotted,wide,winged,woody,yellow,ympodial,young,½	1.2,3,abaxial,adaxial,arrangement,characteristic,colour,corrugated,form,fruit,height,length,na,plant,pseudostipule,rachi,seed,shape,staman,texture,unarmed	.2,1,1-1.5,1-2.5,1-3,1.5-2,10,15-20,2,2-2.5,2cm,3-15,3-3.5,3-8,4-5,5-winged,8-9,absent,acute,almost,anthesi,apex,attenuate,base,becoming,berry,branching,brown,calyx,cm,completely,conical,conspicuously,continuing,dark,darker,diameter,ellipsoid,elliptic,entire,flower,glabrous,globose,green,grey-brown,immature,lanceolate,leaf-opposed,leafy,lobe,markedly,midrib,minutely,mm,narrowly,nodding,onto,pale,pedicel,reniform,reticulate-pitted,rounded,shoot,short,simple,somewhat,strongly,surface,time,tip,tree,triangular,white,wing,x	1.2,3,corrugated,na
5	wfo-0001025700	success	189	102	60	72	117	30	57	3	0.30-2.0,0.5-2,0.8-2.6,1-2,10.5-12,15-40,2-12,2-7,2.5-4,3-8,5-15,5-20,5.5-8,acuminate,acute,anther,apex,apiculate,articulated,attenuate,base,berry,brownish,cell,chartaceous,cm,condition,corolla,covering,diameter,distal,dot,drying,elliptic,filament,fresh,fruit,glabrescent,glabrous,globose,green,greenish,hair-like,half,herb,high,lateral,leaf,light,lilac,lobe,long,medium,mm,odd-pinnate,ovate,ovoid,pedicel,peduncle,petiole,petiolulate,plant,purple,rounded,seed,sometimes,style,testal,thick,wall,white,whitish	0-16,0.7-2.7,0.8-4,1-3,1.1-2.3,1.5-2,10-40,3-4,3.5-10.5,3.7-8.6,4-5,5-merou,5.3-17.5,5.5-18,9-31,abaxially,acuman,acumen,adaxially,ag,alyx,apparently,asymmetric,axe,axillary,basal,basiscopic,blade,bud,capitat,clavate,connivent,considerably,decrease,decreasing,digestion,dorsally,eaf,edge,eed,enzyme,erec,exceeding,except,flat,flower,folded,forked,geminat,generally,glabrou,green-white,hair,hal,homostylous,honeycomb-shaped,interjected,lanceolate,larger,leaflet,lengthening,linear,living,lower,make,mucilaginous,narrowly,nflorescence,orbicular,orolla,pair,par,pentagonal,perfect,plurifoliate,pore,poricidal,proximal,removed,ripe,rotate-pentagonal,ruit,sessile,seudostipule,short,side,size,slightly,slit,specimen,stamen,stigma,straight,subequal,subglabrou,subtending,tall,tamen,tem,terminal,throughout,tip,tissue,toward,tri-,tube,typically,unit,unwinged,usually,vary,wet,whose,winged,x,yellow,ympodial	2,abaxial,adaxial,arrangement,branching,calyx,characteristic,colour,form,growth,height,inflorescence,length,margin,midvein,na,ovary,primary,pseudostipule,rachi,shape,staman,stem,subglabrous,surface,tertiary,texture,unarmed,vein,venation	0.30-2.0,0.5-2,0.8-2.6,1-2,10.5-12,15-40,2-12,2-7,2.5-4,3-8,5-15,5-20,5.5-8,acuminate,acute,apiculate,articulated,attenuate,berry,brownish,cell,chartaceous,cm,condition,covering,distal,dot,drying,elliptic,fresh,glabrescent,glabrous,globose,green,greenish,hair-like,half,herb,high,lateral,light,lilac,long,medium,mm,odd-pinnate,ovate,ovoid,petiolulate,purple,rounded,sometimes,testal,thick,wall,white,whitish	2,na,subglabrous
6	wfo-0001025704	success	247	130	96	112	135	18	93	3	0-100,0-2,0-3.5,0.3-0.8,0.5-1.5,0.7-1,1-3.5,1-6,1.2-3,1.5-3.2,1/5,2-3,2-7,2.7-4,3-15,3-5,3-6,4-5,4.5-6.5,abaxial,acute,adaxial,almost,anther,apex,apically,apiculate,apparently,articulated,auriculate,base,berry,branched,calyx,cell,chartaceous,cm,cordate,deltate,densely,diameter,discolorous,drying,ellipsoid,elliptic,erect,evenly,filament,flattened-reniform,fruit,glabrous,green,green-yellow,irregular,lateral,leaf,length,lobe,lobed,long,margin,maturity,mauve,mm,near,often,orange,orange-brown,outline,ovate,pale,pedicel,peduncle,per,petiole,pit,plant,prickle,prickly,raised,rarely,red-green,round,rounded,shape,shrub,side,small,smooth,sometimes,somewhat,sparsely,spherical,stellate-pubescent,stem,strongly,style,surface,terminal,tree,truncate,unarmed,unbranched,unit,upper,white,white-gray,yellow,yellow-green,yellowish,young,×	/6,0-10,0-5,0.1,0.1-0.3,0.1-0.5,0.15-0.8,1,1-2,1-3,1-4,1-5,1.5-2,1.5-4.5,1.8-3.5,1/2-4/5,1/4-3/4,2,2-10,2-4.5,2-5,2.5-4.5,3-10,4-12,5-20,5-merous,6-12,6-15,8-12,8-15,8-17,abaxially,age,alyx,andromonoecious,apar,apart,axe,ba,bark,blade,broad-deltate,brow,connivent,covering,curved,development,distal,distance,eaf,eed,elongating,end,equal,extending,flattened,flower,free,fruiting,glabrescent,gray,half,hermaphrodite,heterostylous,infructescence,less,lobing,long-styled,longer,lower,lowermost,mature,midpoint,midvein,moderately,multangulate,nflorescence,obtuse,occasionally,older,one,open,orolla,oung,pair,pendulous,pericarp,plurifoliat,poricidal,porrect,portion,prickl,primary,prominent,ray,recurved,red-brown,reflexed,retaining,ruit,scar,secondary,sessile,short-styled,shorter,slender,spaced,spreading,stalk,stalked,staminat,stellate,stellate-pubescen,stout,straight,tamen,tapering,terete,tertiary,throughout,time,tip,trichome,tube,variously,vary,vein,venation,visible,warty,way,wide,widening,woody,ympodial	arrangement,branching,characteristic,colour,corolla,form,growth,hair,height,inflorescence,na,ovary,plurifoliate,seed,staman,sympodial,texture,type	0-100,0-2,0-3.5,0.3-0.8,0.5-1.5,0.7-1,1-3.5,1-6,1.2-3,1.5-3.2,1/5,2-3,2-7,2.7-4,3-15,3-5,3-6,4-5,4.5-6.5,acute,almost,apically,apiculate,apparently,articulated,auriculate,base,berry,branched,cell,chartaceous,cm,cordate,deltate,densely,discolorous,drying,ellipsoid,elliptic,erect,evenly,flattened-reniform,glabrous,green,green-yellow,irregular,lateral,lobe,lobed,long,maturity,mauve,mm,near,often,orange,orange-brown,outline,ovate,pale,per,pit,prickle,prickly,raised,rarely,red-green,round,rounded,shrub,side,small,smooth,sometimes,somewhat,sparsely,spherical,stellate-pubescent,strongly,terminal,tree,truncate,unarmed,unbranched,unit,upper,white,white-gray,yellow,yellow-green,yellowish,young,×	na,plurifoliate,sympodial
7	wfo-0001025729	success	177	127	94	101	76	26	92	2	.5,0.25-0.5,0.7-1.2,1-1.5,1-5,1.1-1.5,1.2-1.8,1.5-2,1.75,2,20,4-5,5-50-flowered,7-8,abaxial,abaxially,abrupt,acute,adaxially,anther,apex,apiculate,appearing,axil,basal,base,berry,black,calyx,cm,corolla,covering,deltoid,densely,dia,diam,dirty,drying,elliptic,f,filament,flattened-reniform,fleshy,furcate,glabrous,globose,green,greenish-yellow,greyish-brown,growing,incrassate,lamina,lateral,leaf,like,live,lobe,long,main,margin,minutely,mm,oblique,occasionally,often,opposite,ovary,overtopping,pair,pale,papillose,pedicel,petiole,pit,pitted,plant,pubescent,ripening,rounded,shiny,simple,sparsely,stem,straight,style,surface,tapering,terminal,tip,tree,treelet,trichome,tube,tuft,uniseriate,usually,vein,white,widening,x,yellow	-20,/4,2-3.5,3-6,4-8,6-8,9-17,along,anthesi,apar,apical,bark,blackish,branched,bright,bristly,bud,covered,cyathiform,dark,deflexed,denser,differing,difoliate,eaf,edicel,eed,enclosed,expanded,free,fruiting,geminat,gently,glabrou,lat,lobed,lon,lower,m.,mainly,major,member,middle,minor,minute,nflorescence,older,one,overlapping,papillo,partially,pore,poricidal,portion,prominent,quite,raised,reflexed,ruit,scar,shaped,short,size,stigma,stout,tall,tear-drop,touching,tub,ud,unit,way,widest,woody,ympodial,young	4-20,adaxial,arrangement,branching,characteristic,colour,diameter,form,fruit,growth,height,inflorescence,length,midvein,na,peduncle,primary,pseudostipule,rachi,seed,shape,staman,tertiary,texture,unarmed,venation	.5,0.25-0.5,0.7-1.2,1-1.5,1-5,1.1-1.5,1.2-1.8,1.5-2,1.75,2,20,4-5,5-50-flowered,7-8,abaxial,abaxially,abrupt,acute,adaxially,apiculate,appearing,axil,basal,base,berry,black,calyx,cm,covering,deltoid,densely,dia,diam,dirty,drying,elliptic,f,flattened-reniform,fleshy,furcate,glabrous,globose,green,greenish-yellow,greyish-brown,growing,incrassate,lamina,lateral,leaf,like,live,long,main,margin,minutely,mm,oblique,occasionally,often,opposite,overtopping,pair,pale,papillose,pit,pitted,plant,pubescent,ripening,rounded,shiny,simple,sparsely,stem,straight,surface,tapering,terminal,tip,tree,treelet,trichome,tube,tuft,uniseriate,usually,vein,white,widening,x,yellow	4-20,na
8	wfo-0001025749	success	215	128	87	105	110	23	84	3	0-10,0-3,0-5,0-6,0.2-1.5,0.3-1.5,0.5-0.8,0.5-0.9,0.8-0.9,1-10,1-13,1-2,1-3,1-6,1-9,1.5-2,1.5-2.5,2-2.5,2.5-6,3-5,5-20,abaxial,acute,adaxial,anther,apex,apically,apparently,articulated,base,berry,branched,calyx,chartaceous,cm,cuneate,curved,dark,densely,diameter,dull,filament,flattened-reniform,flower,fruit,gently,glabrous,green-brown,indistinct,infructescence,lateral,leaf,length,lobe,lobed,long,long-ovate,lower,magnification,margin,maturity,mauve,midvein,mm,moderately,narrow-deltate,orange-brown,orange-red,orbicular,ovate,pair,pale,pedicel,peduncle,per,petiole,prickle,prickly,primary,rarely,red-brown,rounded,shrub,sparsely,spherical,stellate,stellate-pubescent,stem,straight,straw-yellow,style,surface,tertiary,toward,trichome,usually,vein,venation,visible,white,wide,without,yellow,yellow-green,yellow-orange	.5,/5,0-8,0.1,0.1-0.2,0.1-0.3,0.1-0.4,0.2,0.4-0.7,0.5-1,0.5-1.3,0.5-3,0.6-4.5,1,1-8.5,1.5,1/4-1/3,1/5-1/2,2-10,2/3,3-20,4-8,5-10-12,5-6-8,5-merous,6-8,abaxially,acuminat,adaxially,adnate,almost,alyx,apar,apart,bark,blade,broad-deltate,concolorous,difoliate,discolorous,distance,drying,eaf,eed,elongating,equal,erect,extending,filiform,flattened,free,fruiting,geminat,glabrescent,gray,herbaceous,light,lon,longer,markedly,mature,midpoint,narrow-ovate,nflorescence,oblong,obtuse,occasionally,older,one,open,orange-brow,orolla,oung,pendulous,perfec,pericarp,poricidal,porrect,portion,prickl,procumbent,purple,ray,recurved,reduced,ruit,scar,sessile,shorter,side,smooth,sometimes,spaced,spreading,stalk,stalked,strongly,tamen,tapering,terete,time,tip,tube,unit,variously,vary,way,yellowish,ympodial,½-2/	acuminate,arrangement,branching,characteristic,colour,corolla,form,growth,height,history,inflorescence,life,na,ovary,plant,pseudostipule,rachi,seed,shape,staman,texture,unarmed,½-2/3	0-10,0-3,0-5,0-6,0.2-1.5,0.3-1.5,0.5-0.8,0.5-0.9,0.8-0.9,1-10,1-13,1-2,1-3,1-6,1-9,1.5-2,1.5-2.5,2-2.5,2.5-6,3-5,5-20,acute,apex,apically,apparently,articulated,base,berry,branched,chartaceous,cm,cuneate,curved,dark,densely,diameter,dull,flattened-reniform,flower,gently,glabrous,green-brown,indistinct,infructescence,lateral,lobed,long,long-ovate,lower,magnification,maturity,mauve,mm,moderately,narrow-deltate,orange-brown,orange-red,orbicular,ovate,pair,pale,per,prickle,prickly,rarely,red-brown,rounded,shrub,sparsely,spherical,stellate,stellate-pubescent,straight,straw-yellow,toward,trichome,usually,visible,white,wide,without,yellow,yellow-green,yellow-orange	acuminate,na,½-2/3
9	wfo-0001025754	success	164	109	78	87	77	22	75	3	.5,0.5-1,0.5-1.5,1,1-3,1.5,1.5-3,10-20,10-35,2-7,3-10,3-5,3-6,4-6,5-15,absent,acuminate,acute,anther,apex,asymmetrical,base,berry,beyond,brown,calyx,center,chartaceous,ciliate,cm,cordate,cordiform,decurrent,densely,diameter,drying,edge,entire,equal,exserted,filament,fine,flower,fruit,glabrous,globose,hair,herb,immature,leaf,leaving,linear-lanceolate,lobe,margin,maturing,membranaceous,mm,moderately,much-branched,nearly,often,palmately,parallel,pedicel,peduncle,per,petiole,pubescent,rachi,radiating,raised,ridge,running,semitransparent,shallow,slightly,solitary,sparsely,stamen,style,surface,truncate,unbranched,vein,white,x,yellow	-celled,0.1-0.2,1-2,1-3.5,1.5-4,2-4,2-5-celled,2-foliate,4,5-12,abaxially,abundant,adaxiall,adaxially,along,axe,barely,blade,branch,connected,decumbent,dehiscing,denser,dm,dried,eaf,eed,eglandular,emarginat,erect,explosively,flat,geminat,glandular,held,interpetalar,like,long,lower,lying,main,material,maturit,mesocarp,mixed,nfloresence,notch,oblong,orolla,penden,placenta,pressure,probably,pubescen,rotate,ruit,short,small,sometimes,stem,stigma,straight,swollen,tal,tamen,tem,tissue,triangular,tube,unit,upright,vary,visible,watery,wid,woody,ympodial	abaxial,adaxial,arrangement,branching,characteristic,colour,corolla,form,geminate,growth,inflorescence,length,midvein,na,ovary,pendent,primary,seed,shape,staman,texture,unarmed	.5,0.5-1,0.5-1.5,1,1-3,1.5,1.5-3,10-20,10-35,2-7,3-10,3-5,3-6,4-6,5-15,absent,acuminate,acute,asymmetrical,base,berry,beyond,brown,center,chartaceous,ciliate,cm,cordate,cordiform,decurrent,densely,drying,edge,entire,equal,exserted,fine,flower,fruit,glabrous,globose,hair,herb,immature,leaf,leaving,linear-lanceolate,margin,maturing,membranaceous,mm,moderately,much-branched,nearly,often,palmately,parallel,per,petiole,pubescent,radiating,raised,ridge,running,semitransparent,shallow,slightly,solitary,sparsely,stamen,truncate,unbranched,white,x,yellow	geminate,na,pendent
