	coreid	status	nwords_original	nwords_result	nwords_val	nwords_recovered	nwords_omitted	nwords_created	nwords_recovered_val	nwords_created_val	common_words	original_only	result_only	common_words_val	val_only
0	wfo-0001025652	success	156	111	75	97	59	14	75	0	.3,.5,0.5-1,1,1-1.5,1.5-2,10-20,15-17,15-19,2-5,2-6,20-50,3-3.5,3-5-flowered,4,4-6,4-7,9-11,abruptly,acuminate,acute,anther,anthesi,apex,bark,base,bilobed,calyx,campanulate,cm,connate,corolla,decurrent,densely,elliptic,filament,fleshy,flower,furcate,glabrate,glabrous,green,greyish,growth,lateral,leaf,lobed,main,matte,minor,minutely,mm,narrowing,nearly,new,occasionally,opposite,ovary,ovoid-reniform,pair,pale,paler,papillose,parallel,pedicel,petiole,pinkish-grey,pitted,planar,plant,pore,poricidal,red-papillose,shape,shaped,shiny,shrub,simple,size,small,stem,stigma,strongly,style,surface,tan,tear-drop,tightly,tip,tree,tube,vein,white,wing,winged,x,young	2-3,3-5,appearing,blade,broad,closed,closely,completely,dia,differing,difoliate,dry,eaf,edicel,eed,emerge,envelope,free,fruit,geminat,greyi,growing,irregular,like,live,lobe,lon,long,lower,major,margin,middle,minute,nflorescence,older,one,onto,overlappin,ovoid,papillae,papillo,portion,rather,ry,scar,soon,spaced,specimen,straight,tall,tapering,tear,thick,thicker,ud,unit,wider,widest,ympodial	abaxial,adaxial,colour,connective,form,height,inflorescence,length,number,position,seed,texture,venation,width	.3,.5,0.5-1,1,1-1.5,1.5-2,10-20,15-17,15-19,2-5,2-6,20-50,3-3.5,3-5-flowered,4,4-6,4-7,9-11,abruptly,acuminate,acute,anthesi,base,bilobed,calyx,campanulate,cm,connate,decurrent,densely,elliptic,fleshy,furcate,glabrate,glabrous,green,greyish,lateral,leaf,lobed,main,matte,minutely,mm,narrowing,nearly,occasionally,opposite,ovoid-reniform,pair,pale,paler,papillose,parallel,pinkish-grey,pitted,planar,poricidal,red-papillose,shaped,shiny,shrub,simple,small,strongly,tan,tear-drop,tightly,tip,tree,tube,vein,white,winged,x	
1	wfo-0001025657	success	239	115	70	92	147	23	69	1	0.1-0.4,0.2-0.4,0.5-2.5,1-1.1,1-1.3,1-1.6,1-3,1.2-1.5,1.5-1.8,2-10,2.7-4.3,3-6,4-4.4,5-14,5-16,6-12,6-8,7-27,7-9,8.3-12,acute,anther,apex,base,bluish,blunt-tipped,branch,branched,brown,bud,chartaceous,cm,conical,cordate,corolla,dark,deltoid,diameter,dried,elliptic,entire,flower,fruit,granular,green,hair,lateral,leaf,length,main,margin,mm,narrowly,oblong,orbicular,ovate,pale,pedicel,peduncle,persistently,petiole,plurifoliate,pore,poricidal,pseudo-terminal,rachi,reticulate-punctate,ripe,scented,shrub,simple,soft,stellate,stigma,strongly,style,suborbicular,surface,tan,tip,tomentose,tomentose-pubescent,tree,unarmed,unit,vein,velutinous-pubescent,white,x,yellow,yellowish,young	-2,/3,1.3-2,1.7-1.9,12x,2-3.5,2.2-5.5,2.5-9.3,2/3,25-60,3-4,3-4.8,3.2-6,4-4.5,4-7,6.5-10,7-9.5,8-10.5,abaxially,accrescent,adaxially,ag,also,anthesi,apart,apparently,appearing,ark,around,articulated,ascending,axe,axillary,ba,berry,blade,broadly,calyx,capitat,central,closely,cylindrical,dendritic-multangulat,dendritic-multangulate,dense,densely,directed,distally,due,eaf,earl,edge,eed,especially,evident,exerted,expanded,exserted,farinose,few-rayed,filament,fleshy,free,fruiting,glabrous,glandula,glandular,half,inserted,lanate-pubescent,lanceolate,lengthening,light,lobe,lobed,long,long-stalked,longitudinal,lower,m.,magnification,midrib,minutely,mixed,multangulate,nearly,nflorescence,obtuse,occasional,often,older,open,orolla,ovat,ovate-lanceolate,overlapping,part,parted,partly,perfect,persistent,porrect-stellate,present,pubescence,pubescent,ray,reportedly,ruit,semi-ovate,sessile,short,short-,short-stalked,side,slightly,slit,somewhat,spaced,splitting,stamen,stellate-pubescent,stem,stipitate-glandular,stipitate-multangulate,subcampanulate,subcoriaceous,suture,tall,tamen,terete,thick-stalked,thickened,thin-stalked,time,tomentum,transparent,tube,two-third,ud,unarme,upper,usually,vary,way,weakly,wide,ympodial	abaxial,adaxial,arming,arrangement,bark,branching,capitate,colour,form,growth,height,inflorescence,ovary,plant,position,scent,seed,shape,size,structure,sympodial,texture,type	0.1-0.4,0.2-0.4,0.5-2.5,1-1.1,1-1.3,1-1.6,1-3,1.2-1.5,1.5-1.8,2-10,2.7-4.3,3-6,4-4.4,5-14,5-16,6-12,6-8,7-27,7-9,8.3-12,acute,bluish,blunt-tipped,branched,brown,chartaceous,cm,conical,cordate,dark,deltoid,diameter,dried,elliptic,entire,flower,fruit,granular,green,mm,narrowly,oblong,orbicular,ovate,pale,persistently,plurifoliate,poricidal,pseudo-terminal,reticulate-punctate,ripe,scented,shrub,simple,soft,stellate,strongly,suborbicular,tan,tip,tomentose,tomentose-pubescent,tree,unarmed,velutinous-pubescent,white,x,yellow,yellowish	capitate
2	wfo-0001025669	success	214	128	86	107	107	21	82	4	.5,0-7,0.1-0.3,1,1-10,1-2,1-2.2,1-4,1.3-4.2,1.4-2.5,13-35,2-3,2-4,2.2-6,2.2-6.5,2.4-7,3-5,3-7,4-6,9-24.5,absent,anther,base,blade,blue,broadly,brownish,cell,chartaceous,clavate,cm,condition,corolla,diameter,digestion,drying,end,enzyme,extra,filament,flower,fresh,fruit,glabrous,globose,green,greenish,hair,herb,homostylous,honeycomb-shaped,interjected,lanceolate,lateral,leaflet,lengthening,lobe,long,membranous,minute,mm,moderately,monochasium,mottled,obovate,odd-pinnate,one,orbicular,ovoid,pair,pedicel,peduncle,petiole,placed,plant,pore,poricidal,pubescent,purple,rarely,removed,ripe,rotate,scale-like,seed,size,slightly,slit,sometimes,stem,stigma,straight,streaked,style,subglabrous,terminal,testal,tinged,tip,tube,tuber,typically,wall,white,whitish,wide,x	0-1,0-5,0.8-2.4,1-3,1.6-4.4,2,5-merou,abaxially,absen,acumen,acuminate,acute,adaxially,ag,along,alyx,apart,apex,apparently,articulation,axe,berry,capitat,ciliate,clearly,connivent,contracted,covering,cuneate,decurrent,discussion,distal,distinct,dorsally,eaf,edge,eed,elliptic,erec,especially,exceeding,except,flat,flowered,folded,forming,geminat,glabrou,greatly,green-white,hair-like,half,highly,larger,like,living,lower,make,margin,midrib,minutely,mucilaginous,multicellular,near,nflorescence,oblique,obtuse,often,orolla,ovate,perfect,petiolulate,petiolule,plurifoliate,proximal,puberulent,reduced,rosette,rounded,ruit,see,sessile,seudostipule,short,single,spaced,species,specimen,stamen,ste,stolo,subequal,tall,tamen,tem,thick,throughout,tri-,truncate,unbranched,unequal,unit,unwinged,vary,wet,yellow,ympodial	5-merous,age,arrangement,calyx,capitate,colour,form,growth,height,inflorescence,leaf,length,ovary,placement,pseudostipule,shape,spacing,staman,stolon,texture,type	.5,0-7,0.1-0.3,1,1-10,1-2,1-2.2,1-4,1.3-4.2,1.4-2.5,13-35,2-3,2-4,2.2-6,2.2-6.5,2.4-7,3-5,3-7,4-6,9-24.5,absent,base,blue,broadly,brownish,chartaceous,clavate,cm,condition,digestion,drying,end,enzyme,extra,flower,fresh,glabrous,globose,green,greenish,herb,homostylous,honeycomb-shaped,lanceolate,lateral,lengthening,long,membranous,minute,mm,moderately,monochasium,mottled,obovate,odd-pinnate,one,orbicular,ovoid,placed,pore,poricidal,pubescent,purple,rarely,removed,ripe,rotate,scale-like,slightly,slit,sometimes,straight,streaked,subglabrous,tinged,tip,typically,wall,white,whitish,wide,x	5-merous,age,capitate,stolon
3	wfo-0001025697	success	181	123	77	100	81	23	74	3	-9,0-14,0.15-0.75,0.8-2,1-1.7,1-2,1-3,1.5-1.8,1.7-8.6,10-26,2-2.6,2-4,2-6,25-35,3-10,3-4,3-5,3-6,3.3-11,4-7.5,5.5-11.5,6.5-13.5,acumen,anther,blade,blue,brownish,cell,clavate,cm,condition,coriaceous,corolla,dark,deep,diameter,digestion,distal,dorsally,drying,edge,elliptic,enzyme,filament,flat,flower,folded,forked,fresh,fruit,glabrescent,glabrous,globose,green,greenish,hair,half,herb,high,homostylous,honeycomb-shaped,interjected,lanceolate,lateral,leaf,leaflet,light,lilac,lobe,long,medium,mm,odd-pinnate,ovate,ovoid,pair,pedicel,peduncle,pentagonal,petiole,plant,pore,poricidal,purple,removed,rotate,seed,short,size,stigma,straight,stripe,style,terminal,testal,tip,tube,wall,whitish,x	0.6-3.5,2-10.5,5-merou,abaxially,acuminate,acute,adaxiall,adaxially,ag,alyx,apart,apex,apparently,articulated,asymmetric,attenuate,axe,axillary,base,basiscopic,berry,bud,capitat,connivent,covering,decreasing,decurrent,eaf,eed,erec,exceeding,geminat,generally,glabrou,green-white,hair-like,hal,lengthening,linear,living,lower,make,mucilaginous,nflorescence,orbicular,orolla,perfect,petiolulate,plurifoliate,rachi,ripe,rounded,ruit,sessile,seudostipule,side,slightly,slit,spaced,specimen,stamen,subequal,subglabrou,subtending,tall,tamen,tem,thick,throughout,tissue,toward,tri-,typically,unit,unwinged,usually,vary,wet,wood,yellow,ympodial	abaxial,adaxial,arrangement,articulation,branching,calyx,capitate,colour,form,growth,height,inflorescence,length,ovary,pseudostipule,shape,spacing,staman,stem,subglabrous,symmetry,texture,woody	-9,0-14,0.15-0.75,0.8-2,1-1.7,1-2,1-3,1.5-1.8,1.7-8.6,10-26,2-2.6,2-4,2-6,25-35,3-10,3-4,3-5,3-6,3.3-11,4-7.5,5.5-11.5,6.5-13.5,blue,brownish,clavate,cm,condition,coriaceous,dark,deep,diameter,digestion,distal,dorsally,drying,elliptic,enzyme,flat,folded,forked,fresh,glabrescent,glabrous,globose,green,greenish,hair,half,herb,high,homostylous,honeycomb-shaped,lanceolate,lateral,light,lilac,long,medium,mm,odd-pinnate,ovate,ovoid,pentagonal,poricidal,purple,removed,rotate,short,straight,stripe,tip,wall,whitish,x	capitate,subglabrous,woody
4	wfo-0001025699	success	181	135	83	111	70	24	81	2	.2,.5,0.5,1,1-1.5,1-2,1-2.5,1-3,1.5,1.5-2,1/3,15-20,2,2cm,3-15,4-5,5-8,8-9,absent,acute,almost,anther,anthesi,apart,apex,attenuate,bark,base,becoming,branching,brown,c.,calyx,campanulate,capitate,cm,completely,conical,corolla,crystal,dark,darker,deltate,densely,diameter,ellipsoid,elliptic,entire,exerted,filament,flower,fruiting,glabrous,globose,green,grey-brown,growth,immature,inflorescence,leaf,leaf-opposed,leafy,less,lobe,lobed,margin,markedly,minutely,mm,narrowly,new,older,ovary,pair,pale,pedicel,peduncle,petiole,plurifoliate,pore,poricidal,primary,red,reniform,reticulate-pitted,rounded,rounded-sagittate,sand,scar,shoot,short,simple,slightly,somewhat,stem,stigma,style,surface,time,tip,tree,tube,unit,vein,way,white,white-spotted,wide,wing,x,½	10,2-2.5,2-6,3-3.5,3-5.5,3-8,499,5-winged,5.5-14,abaxially,adaxially,age,apparently,appearing,articulating,berry,conspicuously,continuing,corrugate,cup-shaped,difoliate,dorsal,dry,drying,eaf,eed,erect,face,fide,free,glabrou,included,inclusion,inflorescenc,irregularly,lanceolate,leaving,lengthening,lower,midrib,nflorescence,nodding,one,onto,oxalate,papillat,papillose,peg,penden,per,perfect,portion,reddish,ruit,slit,small,spaced,stearn,straight,strongly,tangled,thickened,triangular,trichome,ud,winged,woody,yellow,ympodial,young	articulation,bud,colour,corrugated,corrugation,exsertion,form,fruit,glabrousnes,length,number,papillate,position,seed,shape,side,size,spacing,spotting,structure,sympodial,texture,type,width	.2,.5,0.5,1,1-1.5,1-2,1-2.5,1-3,1.5,1.5-2,1/3,15-20,2,2cm,3-15,4-5,5-8,8-9,absent,acute,almost,apart,attenuate,base,becoming,brown,c.,calyx,campanulate,capitate,cm,completely,conical,crystal,dark,darker,deltate,densely,diameter,ellipsoid,elliptic,entire,exerted,glabrous,globose,green,grey-brown,immature,leaf-opposed,leafy,less,lobed,markedly,minutely,mm,narrowly,pair,pale,plurifoliate,poricidal,red,reniform,reticulate-pitted,rounded,rounded-sagittate,sand,shoot,short,simple,slightly,somewhat,time,tip,tree,tube,way,white,white-spotted,wide,x,½	corrugated,papillate
5	wfo-0001025700	success	189	117	81	98	91	19	79	2	0-16,0.30-2.0,0.5-2,0.7-2.7,0.8-2.6,1-3,1.5-2,10-40,10.5-12,15-40,2-12,2-7,2.5-4,3-8,3.5-10.5,4-5,5-15,5-20,5.3-17.5,5.5-18,5.5-8,9-31,abaxially,acumen,adaxially,anther,blade,brownish,cell,chartaceous,clavate,cm,condition,corolla,covering,diameter,dot,drying,filament,flower,forked,fresh,fruit,glabrescent,glabrous,globose,green,green-white,greenish,hair,hair-like,herb,homostylous,interjected,lanceolate,lateral,leaf,leaflet,lilac,lobe,long,make,medium,mm,mucilaginous,narrowly,odd-pinnate,ovoid,pedicel,peduncle,pentagonal,petiole,plant,pore,poricidal,purple,ripe,rotate-pentagonal,seed,short,size,sometimes,stigma,straight,style,terminal,testal,thick,throughout,tip,tube,unwinged,wall,wet,white,whitish,winged,x	0.8-4,1-2,1.1-2.3,3-4,3.7-8.6,5-merou,acuman,acuminate,acute,ag,alyx,apex,apiculate,apparently,articulated,asymmetric,attenuate,axe,axillary,basal,base,basiscopic,berry,bud,capitat,connivent,considerably,decrease,decreasing,digestion,distal,dorsally,eaf,edge,eed,elliptic,enzyme,erec,exceeding,except,flat,folded,geminat,generally,glabrou,hal,half,high,honeycomb-shaped,larger,lengthening,light,linear,living,lower,nflorescence,orbicular,orolla,ovate,pair,par,perfect,petiolulate,plurifoliate,proximal,removed,rounded,ruit,sessile,seudostipule,side,slightly,slit,specimen,stamen,subequal,subglabrou,subtending,tall,tamen,tem,tissue,toward,tri-,typically,unit,usually,vary,whose,yellow,ympodial	arrangement,branching,calyx,capitate,colour,form,growth,height,inflorescence,length,number,ovary,pseudostipule,shape,staman,stem,subglabrous,texture,winging	0-16,0.30-2.0,0.5-2,0.7-2.7,0.8-2.6,1-3,1.5-2,10-40,10.5-12,15-40,2-12,2-7,2.5-4,3-8,3.5-10.5,4-5,5-15,5-20,5.3-17.5,5.5-18,5.5-8,9-31,abaxially,acumen,adaxially,brownish,cell,chartaceous,clavate,cm,condition,corolla,covering,diameter,dot,drying,forked,fresh,glabrescent,glabrous,globose,green,green-white,greenish,hair,hair-like,herb,homostylous,lanceolate,lateral,lilac,long,make,medium,mm,mucilaginous,narrowly,odd-pinnate,ovoid,pentagonal,poricidal,purple,ripe,rotate-pentagonal,seed,short,sometimes,straight,testal,thick,throughout,tip,unwinged,wall,wet,white,whitish,winged,x	capitate,subglabrous
6	wfo-0001025704	success	247	113	82	92	155	21	79	3	/6,0.7-1,1.2-3,1/2-4/5,1/5,3-10,4-12,4.5-6.5,8-17,abaxial,abaxially,acute,adaxial,almost,anther,apex,auriculate,base,berry,branched,calyx,chartaceous,cm,connivent,cordate,covering,curved,densely,ellipsoid,elliptic,elongating,equal,evenly,flattened-reniform,flower,fruit,fruiting,glabrescent,green,green-yellow,irregular,lateral,leaf,length,less,lobed,lower,margin,mature,maturity,mauve,mm,occasionally,often,orange,orange-brown,outline,ovate,pale,per,petiole,poricidal,prickle,rarely,red-green,round,shape,shrub,small,sometimes,somewhat,spherical,stellate,stellate-pubescent,stem,straight,style,surface,tapering,terminal,tip,tree,truncate,unbranched,upper,way,white,white-gray,yellow,yellow-green,yellowish,young	0-10,0-100,0-2,0-3.5,0-5,0.1,0.1-0.3,0.1-0.5,0.15-0.8,0.3-0.8,0.5-1.5,1,1-2,1-3,1-3.5,1-4,1-5,1-6,1.5-2,1.5-3.2,1.5-4.5,1.8-3.5,1/4-3/4,2,2-10,2-3,2-4.5,2-5,2-7,2.5-4.5,2.7-4,3-15,3-5,3-6,4-5,5-20,5-merous,6-12,6-15,8-12,8-15,age,alyx,andromonoecious,apar,apart,apically,apiculate,apparently,articulated,axe,ba,bark,blade,broad-deltate,brow,cell,deltate,development,diameter,discolorous,distal,distance,drying,eaf,eed,end,erect,extending,filament,flattened,free,glabrous,gray,half,hermaphrodite,heterostylous,infructescence,lobe,lobing,long,long-styled,longer,lowermost,midpoint,midvein,moderately,multangulate,near,nflorescence,obtuse,older,one,open,orolla,oung,pair,pedicel,peduncle,pendulous,pericarp,pit,plant,plurifoliat,porrect,portion,prickl,prickly,primary,prominent,raised,ray,recurved,red-brown,reflexed,retaining,rounded,ruit,scar,secondary,sessile,short-styled,shorter,side,slender,smooth,spaced,sparsely,spreading,stalk,stalked,staminat,stellate-pubescen,stout,strongly,tamen,terete,tertiary,throughout,time,trichome,tube,unarmed,unit,variously,vary,vein,venation,visible,warty,wide,widening,woody,ympodial,×	50-100,branching,colour,corolla,form,growth,hair,heteromorphism,inflorescence,na,needle-like,number,orientation,ovary,placement,position,seed,staman,texture,type,width	/6,0.7-1,1.2-3,1/2-4/5,1/5,3-10,4-12,4.5-6.5,8-17,abaxially,acute,almost,auriculate,base,berry,branched,chartaceous,cm,connivent,cordate,covering,curved,densely,ellipsoid,elliptic,elongating,equal,evenly,flattened-reniform,fruit,glabrescent,green,green-yellow,irregular,lateral,leaf,less,lobed,lower,mature,maturity,mauve,mm,occasionally,often,orange,orange-brown,outline,ovate,pale,per,poricidal,rarely,red-green,round,shrub,small,sometimes,somewhat,spherical,stellate,stellate-pubescent,stem,straight,surface,tapering,terminal,tip,tree,truncate,unbranched,upper,way,white,white-gray,yellow,yellow-green,yellowish,young	50-100,na,needle-like
7	wfo-0001025729	success	177	117	81	101	76	16	80	1	.5,/4,0.25-0.5,0.7-1.2,1-1.5,1-5,1.75,2,2-3.5,3-6,4-5,4-8,5-50-flowered,6-8,9-17,abaxial,abaxially,acute,adaxially,anther,apex,apiculate,axil,bark,base,blackish,bud,calyx,cm,corolla,covering,deflexed,densely,dia,diam,dirty,drying,elliptic,filament,flattened-reniform,fruiting,furcate,glabrous,globose,green,greenish-yellow,greyish-brown,lamina,lateral,leaf,lobed,long,main,member,minor,minutely,mm,oblique,occasionally,opposite,ovary,overlapping,pair,pale,papillose,pedicel,petiole,pit,pitted,plant,pore,pubescent,ripening,rounded,scar,shaped,shiny,short,simple,size,sparsely,stem,stigma,stout,style,surface,tear-drop,tip,touching,tree,treelet,trichome,tuft,uniseriate,usually,vein,way,white,woody,x,yellow	-20,1.1-1.5,1.2-1.8,1.5-2,20,7-8,abrupt,along,anthesi,apar,apical,appearing,basal,berry,black,branched,bright,bristly,covered,cyathiform,dark,deltoid,denser,differing,difoliate,eaf,edicel,eed,enclosed,expanded,f,fleshy,free,geminat,gently,glabrou,growing,incrassate,lat,like,live,lobe,lon,lower,m.,mainly,major,margin,middle,minute,nflorescence,often,older,one,overtopping,papillo,partially,poricidal,portion,prominent,quite,raised,reflexed,ruit,straight,tall,tapering,terminal,tub,tube,ud,unit,widening,widest,ympodial,young	4-20,branching,colour,flower,form,fruit,growth,hair,height,inflorescence,length,number,position,seed,shape,texture	.5,/4,0.25-0.5,0.7-1.2,1-1.5,1-5,1.75,2,2-3.5,3-6,4-5,4-8,5-50-flowered,6-8,9-17,abaxial,acute,apiculate,axil,base,blackish,bud,cm,covering,deflexed,densely,dia,diam,dirty,drying,elliptic,flattened-reniform,furcate,glabrous,globose,green,greenish-yellow,greyish-brown,lamina,lateral,leaf,lobed,long,main,member,minutely,mm,oblique,occasionally,opposite,overlapping,pair,pale,papillose,pit,pitted,pubescent,ripening,rounded,shaped,shiny,short,simple,sparsely,stout,tear-drop,tip,touching,tree,treelet,trichome,tuft,uniseriate,usually,vein,way,white,woody,x,yellow	4-20
8	wfo-0001025749	success	215	78	47	58	157	20	46	1	0.2-1.5,0.3-1.5,1-13,2.5-6,5-20,abaxial,adaxial,anther,berry,branched,calyx,chartaceous,cm,dark,dull,elongating,equal,flattened,flattened-reniform,flower,fruit,fruiting,glabrous,green-brown,lateral,leaf,length,lobed,long,margin,markedly,maturity,mauve,mm,narrow-deltate,orange-brown,orange-red,orbicular,ovate,pale,per,petiole,poricidal,prickle,rarely,red-brown,shrub,spherical,spreading,stellate-pubescent,straight,straw-yellow,tapering,tip,white,yellow,yellow-green,yellow-orange	.5,/5,0-10,0-3,0-5,0-6,0-8,0.1,0.1-0.2,0.1-0.3,0.1-0.4,0.2,0.4-0.7,0.5-0.8,0.5-0.9,0.5-1,0.5-1.3,0.5-3,0.6-4.5,0.8-0.9,1,1-10,1-2,1-3,1-6,1-8.5,1-9,1.5,1.5-2,1.5-2.5,1/4-1/3,1/5-1/2,2-10,2-2.5,2/3,3-20,3-5,4-8,5-10-12,5-6-8,5-merous,6-8,abaxially,acuminat,acute,adaxially,adnate,almost,alyx,apar,apart,apex,apically,apparently,articulated,bark,base,blade,broad-deltate,concolorous,cuneate,curved,densely,diameter,difoliate,discolorous,distance,drying,eaf,eed,erect,extending,filament,filiform,free,geminat,gently,glabrescent,gray,herbaceous,indistinct,infructescence,light,lobe,lon,long-ovate,longer,lower,magnification,mature,midpoint,midvein,moderately,narrow-ovate,nflorescence,oblong,obtuse,occasionally,older,one,open,orange-brow,orolla,oung,pair,pedicel,peduncle,pendulous,perfec,pericarp,porrect,portion,prickl,prickly,primary,procumbent,purple,ray,recurved,reduced,rounded,ruit,scar,sessile,shorter,side,smooth,sometimes,spaced,sparsely,stalk,stalked,stellate,stem,strongly,style,surface,tamen,terete,tertiary,time,toward,trichome,tube,unit,usually,variously,vary,vein,venation,visible,way,wide,without,yellowish,ympodial,½-2/	branching,colour,corolla,form,growth,hair,height,heteromorphism,inflorescence,number,orientation,plant,position,seed,shape,staman,symmetry,texture,type,zygomorphy	0.2-1.5,0.3-1.5,1-13,2.5-6,5-20,berry,branched,chartaceous,cm,dark,dull,elongating,equal,flattened,flattened-reniform,glabrous,green-brown,lateral,lobed,long,markedly,maturity,mauve,mm,narrow-deltate,orange-brown,orange-red,orbicular,ovate,pale,per,poricidal,rarely,red-brown,shrub,spherical,spreading,stellate-pubescent,straight,straw-yellow,tapering,tip,white,yellow,yellow-green,yellow-orange	zygomorphy
9	wfo-0001025754	success	164	94	61	72	92	22	59	2	-celled,.5,0.5-1,0.5-1.5,1,1-2,1-3,1.5,1.5-3,10-20,10-35,2-4,3-10,4,4-6,5-12,5-15,acuminate,acute,anther,apex,asymmetrical,base,berry,brown,calyx,center,chartaceous,ciliate,cm,cordate,cordiform,diameter,drying,edge,eglandular,entire,filament,fine,flower,fruit,glabrous,globose,hair,herb,immature,leaf,margin,maturing,membranaceous,mm,oblong,parallel,pedicel,per,petiole,radiating,raised,ridge,rotate,running,semitransparent,shallow,solitary,stigma,style,surface,truncate,unbranched,white,x,yellow	0.1-0.2,1-3.5,1.5-4,2-5-celled,2-7,2-foliate,3-5,3-6,abaxially,absent,abundant,adaxiall,adaxially,along,axe,barely,beyond,blade,branch,connected,decumbent,decurrent,dehiscing,densely,denser,dm,dried,eaf,eed,emarginat,equal,erect,explosively,exserted,flat,geminat,glandular,held,interpetalar,leaving,like,linear-lanceolate,lobe,long,lower,lying,main,material,maturit,mesocarp,mixed,moderately,much-branched,nearly,nfloresence,notch,often,orolla,palmately,peduncle,penden,placenta,pressure,probably,pubescen,pubescent,rachi,ruit,short,slightly,small,sometimes,sparsely,stamen,stem,straight,swollen,tal,tamen,tem,tissue,triangular,tube,unit,upright,vary,vein,visible,watery,wid,woody,ympodial	abaxial,arrangement,branching,colour,corolla,form,geminate,growth,inflorescence,length,number,orientation,ovary,pendent,prickle,seed,shape,staman,symmetry,texture,type,width	-celled,.5,0.5-1,0.5-1.5,1,1-2,1-3,1.5,1.5-3,10-20,10-35,2-4,3-10,4,4-6,5-12,5-15,acuminate,acute,asymmetrical,berry,brown,center,chartaceous,ciliate,cm,cordate,cordiform,drying,edge,eglandular,entire,fine,flower,fruit,glabrous,globose,hair,herb,immature,margin,maturing,membranaceous,mm,oblong,parallel,radiating,raised,ridge,rotate,running,semitransparent,shallow,solitary,truncate,unbranched,white,x,yellow	geminate,pendent
